Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,11,None,0,0,0,0,0,0.0013,0.018,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Maven', 'Protractor', 'OAuth2', 'InternationalizationSupport', 'Docker', 'Libsass', 'Database', 'ClusteredSession', 'MongoDB', 'Application', 'Monolithic']"
Random strategy,2,10,None,0,0,0,0,0,0.0013,0.0409,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Application', 'Database', 'Maven', 'Uaa', 'Protractor', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'Cassandra', 'MicroserviceGateway']"
Random strategy,3,11,None,0,0,0,0,0,0.0013,0.0623,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Database', 'Uaa', 'InternationalizationSupport', 'Maven', 'ClusteredSession', 'Cassandra', 'Protractor', 'SpringWebSockets', 'Libsass', 'Application', 'MicroserviceGateway']"
Random strategy,4,12,None,0,0,0,0,0,0.0014,0.0877,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'SocialLogin', 'Database', 'InternationalizationSupport', 'MongoDB', 'JWT', 'Maven', 'Protractor', 'Application', 'Docker', 'ClusteredSession', 'SpringWebSockets', 'Monolithic']"
Random strategy,5,20,None,0,0,0,0,0,0.0023,0.1259,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Application', 'InternationalizationSupport', 'Gradle', 'JWT', 'SocialLogin', 'ClusteredSession', 'Monolithic', 'Protractor', 'Database', 'Docker', 'Libsass', 'SpringWebSockets', 'SQL', 'ElasticSearch', 'Hibernate2ndLvlCache', 'EhCache', 'Development', 'MariaDBDev', 'Production', 'MariaDB']"
Random strategy,6,9,None,0,0,0,0,0,0.001,0.1418,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'SpringWebSockets', 'OAuth2', 'Application', 'Libsass', 'Protractor', 'Monolithic', 'Database', 'MongoDB', 'Gradle']"
Random strategy,7,12,None,0,0,0,0,0,0.0012,0.1674,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'OAuth2', 'SpringWebSockets', 'Application', 'Docker', 'ClusteredSession', 'Maven', 'Protractor', 'InternationalizationSupport', 'Database', 'Libsass', 'MongoDB', 'Monolithic']"
Random strategy,8,12,None,0,0,0,0,0,0.0014,0.1908,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'ClusteredSession', 'SocialLogin', 'JWT', 'Protractor', 'SpringWebSockets', 'Database', 'Libsass', 'MongoDB', 'Maven', 'Application', 'Docker', 'Monolithic']"
Random strategy,9,19,None,0,0,0,0,0,0.0022,0.2279,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Uaa', 'Gradle', 'ClusteredSession', 'InternationalizationSupport', 'SpringWebSockets', 'Database', 'SQL', 'Production', 'MariaDB', 'ElasticSearch', 'Hibernate2ndLvlCache', 'Libsass', 'HazelCast', 'Protractor', 'Docker', 'Development', 'Application', 'MicroserviceGateway', 'MariaDBDev']"
Random strategy,10,12,None,0,0,0,0,0,0.0014,0.2514,"['Gatling', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Generator', 'BackEnd', 'JHipster', 'Application', 'ClusteredSession', 'Protractor', 'Docker', 'SocialLogin', 'Libsass', 'Gradle', 'JWT', 'SpringWebSockets', 'Monolithic', 'Database', 'MongoDB']"
