Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,4,None,100,400,174,174,174,0.3814,2.0661,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Uaa', 'Gradle']"
UCT MCTS,2,7,None,100,700,173,173,173,0.681,2.0679,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'InternationalizationSupport', 'Database', 'MongoDB', 'Uaa', 'Gradle']"
UCT MCTS,3,4,None,100,400,193,193,193,0.3867,2.2976,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'JWT', 'MicroserviceApplication', 'Gradle']"
UCT MCTS,4,6,None,100,600,154,154,154,0.5873,2.2954,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'JWT', 'Server', 'Database', 'MongoDB', 'MicroserviceApplication', 'Gradle']"
UCT MCTS,5,4,None,100,400,201,201,201,0.4446,2.7017,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Maven', 'Uaa']"
UCT MCTS,6,5,None,100,500,144,144,144,0.4829,2.6995,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Uaa', 'InternationalizationSupport', 'Maven']"
UCT MCTS,7,6,None,100,600,144,144,144,0.5615,2.4776,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Uaa', 'Database', 'MongoDB', 'Server', 'Gradle', 'MicroserviceApplication']"
UCT MCTS,8,4,None,100,400,206,206,206,0.4229,2.5139,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Uaa', 'Gradle']"
UCT MCTS,9,5,None,100,500,206,206,206,0.5633,2.5238,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Uaa', 'InternationalizationSupport', 'Gradle']"
UCT MCTS,10,4,None,100,400,180,180,180,0.409,2.5216,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'MicroserviceApplication', 'Gradle', 'JWT']"
UCT MCTS,11,4,None,100,400,223,223,223,0.4788,2.6903,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'Uaa', 'MicroserviceApplication', 'Maven']"
UCT MCTS,12,4,None,100,400,171,171,171,0.4327,2.6884,"['Gatling', 'JHipster', 'Cucumber', 'TestingFrameworks', 'Authentication', 'Generator', 'BackEnd', 'Server', 'Gradle', 'MicroserviceApplication', 'Uaa']"
