Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,4,None,100,400,400,400,400,0.9253,9.8868,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Androide', 'Photo', 'Spanish', 'Screen3']"
Greedy MCTS,2,4,None,100,400,400,400,400,0.9249,10.5376,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Video', 'Spanish', 'Androide', 'Screen3']"
Greedy MCTS,3,5,None,100,500,500,500,500,1.172,12.197,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Screen2', 'Video', 'Symbia', 'GPS', 'English']"
Greedy MCTS,4,4,None,100,400,400,400,400,0.9072,10.2724,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Screen2', 'Photo', 'WindowsMobile', 'Portuguese']"
Greedy MCTS,5,4,None,100,400,400,400,400,0.962,10.2667,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Androide', 'Video', 'English', 'Screen2']"
Greedy MCTS,6,4,None,100,400,400,400,400,0.9436,10.3997,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Photo', 'English', 'Screen3', 'Symbia']"
Greedy MCTS,7,5,None,100,500,500,500,500,1.1971,12.163,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Spanish', 'TouchScreen', 'Screen1', 'Video', 'WindowsMobile']"
Greedy MCTS,8,5,None,100,500,500,500,500,1.2217,12.6326,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'Screen3', 'Video', 'SMSTransfer', 'iOS', 'Spanish']"
Greedy MCTS,9,5,None,100,500,500,500,500,1.2793,12.6731,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'WindowsMobile', 'Screen1', 'SMSTransfer', 'Spanish', 'Photo']"
Greedy MCTS,10,5,None,100,500,500,500,500,1.2834,12.8539,"['ScreenSize', 'MobileMedia2', 'MediaSelection', 'Speakerphone', 'CallManager', 'Radio', 'OS', 'Language', 'Calendar', 'MediaManagement', 'GPS', 'Symbia', 'Screen3', 'Video', 'Spanish']"
