Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,19,None,100,1900,1900,1900,0,1.3754,0.6571,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'WindowsMobile', 'Screen1', 'GPS', 'English', 'Music', 'SMSTransfer', 'ResolutionCamera', 'ReceivePhoto', 'MusicPlayer', 'CopyMedia', 'Portuguese', 'Connectivity', 'Resolution8MP', 'Spanish', 'Video', 'TVDigital', 'SendPhoto', 'Bluetooth', 'Photo']"
Parallel Flat Monte Carlo,2,22,None,100,2200,2200,2200,0,1.5687,0.7002,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Androide', 'TVDigital', 'Screen1', 'GPS', 'Favourites', 'ViewFavourites', 'Music', 'Portuguese', 'TouchScreen', 'MusicPlayer', 'Spanish', 'English', 'Connectivity', 'CopyMedia', 'WiFi', 'Photo', 'ResolutionCamera', 'GoogleMaps', 'Video', 'SetFavourites', 'Resolution8MP', 'SMSTransfer']"
Parallel Flat Monte Carlo,3,13,None,100,1300,1300,1300,0,0.9397,0.7288,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Video', 'Music', 'ResolutionCamera', 'SMSTransfer', 'ReceivePhoto', 'Photo', 'iOS', 'English', 'Screen1', 'SendPhoto', 'MusicPlayer', 'Spanish', 'Resolution3MP']"
Parallel Flat Monte Carlo,4,11,None,100,1100,1100,1100,0,0.8097,0.755,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Music', 'Screen2', 'SMSTransfer', 'ResolutionCamera', 'Spanish', 'Video', 'Photo', 'SendPhoto', 'MusicPlayer', 'Symbia', 'Resolution3MP']"
Parallel Flat Monte Carlo,5,17,None,100,1700,1700,1700,0,1.2214,0.7846,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'English', 'Video', 'TVDigital', 'Symbia', 'Photo', 'GPS', 'Connectivity', 'Spanish', 'ResolutionCamera', 'Screen1', 'Resolution8MP', 'TouchScreen', 'Music', 'SMSTransfer', 'MusicPlayer', 'SendPhoto', 'Bluetooth']"
Parallel Flat Monte Carlo,6,9,None,100,900,900,900,0,0.6701,0.8003,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Music', 'iOS', 'Connectivity', 'Bluetooth', 'Screen1', 'CopyMedia', 'SMSTransfer', 'MusicPlayer', 'Spanish']"
Parallel Flat Monte Carlo,7,18,None,100,1800,1800,1800,0,1.3168,0.8363,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'iOS', 'CopyMedia', 'Portuguese', 'Photo', 'Favourites', 'SMSTransfer', 'Screen2', 'GPS', 'ReceivePhoto', 'Connectivity', 'WiFi', 'GoogleMaps', 'Music', 'SetFavourites', 'Video', 'ViewFavourites', 'Gmail', 'MusicPlayer']"
Parallel Flat Monte Carlo,8,19,None,100,1900,1900,1900,0,1.3955,0.8785,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Spanish', 'Connectivity', 'SMSTransfer', 'TouchScreen', 'Symbia', 'ReceivePhoto', 'Portuguese', 'English', 'CopyMedia', 'WiFi', 'Screen3', 'Photo', 'Video', 'GPS', 'Favourites', 'TVDigital', 'SetFavourites', 'GoogleMaps', 'ViewFavourites']"
Parallel Flat Monte Carlo,9,19,None,100,1900,1900,1900,0,1.4155,0.9154,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Video', 'Connectivity', 'English', 'Favourites', 'WiFi', 'Photo', 'TVDigital', 'CopyMedia', 'WindowsMobile', 'Screen2', 'ViewFavourites', 'Portuguese', 'Spanish', 'TouchScreen', 'GoogleMaps', 'Bluetooth', 'Gmail', 'SetFavourites', 'SMSTransfer']"
Parallel Flat Monte Carlo,10,20,None,100,2000,2000,2000,0,1.4968,0.9532,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'CopyMedia', 'English', 'ResolutionCamera', 'Screen1', 'Favourites', 'Video', 'TVDigital', 'Portuguese', 'SMSTransfer', 'SendPhoto', 'Resolution3MP', 'Androide', 'Photo', 'Connectivity', 'WiFi', 'Spanish', 'SetFavourites', 'Gmail', 'GPS', 'ViewFavourites']"
Parallel Flat Monte Carlo,11,20,None,100,2000,2000,2000,0,1.4772,0.9916,"['Speakerphone', 'Language', 'Calendar', 'MediaSelection', 'ScreenSize', 'OS', 'CallManager', 'MediaManagement', 'Radio', 'MobileMedia2', 'Spanish', 'Screen1', 'TouchScreen', 'CopyMedia', 'WindowsMobile', 'GPS', 'SMSTransfer', 'ReceivePhoto', 'Connectivity', 'Video', 'Portuguese', 'TVDigital', 'SendPhoto', 'Photo', 'Music', 'ResolutionCamera', 'Resolution8MP', 'MusicPlayer', 'WiFi', 'GoogleMaps']"
