Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,3,None,100,300,99,99,0,0.0502,0.1185,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Ham']"
Flat Monte Carlo,2,3,None,100,300,95,95,0,0.0493,0.128,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Mozzarella']"
Flat Monte Carlo,3,3,None,100,300,107,107,0,0.0501,0.1446,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Ham']"
Flat Monte Carlo,4,3,None,100,300,99,99,0,0.0503,0.1429,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,5,3,None,100,300,114,114,0,0.055,0.1608,"['Size', 'Dough', 'Topping', 'Pizza', 'Sicilian', 'Normal', 'Salami']"
Flat Monte Carlo,6,3,None,100,300,103,103,0,0.0505,0.1591,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Salami']"
Flat Monte Carlo,7,3,None,100,300,103,103,0,0.0522,0.1608,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Salami']"
Flat Monte Carlo,8,3,None,100,300,98,98,0,0.0507,0.161,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Salami']"
Flat Monte Carlo,9,3,None,100,300,99,99,0,0.0522,0.1671,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Mozzarella']"
Flat Monte Carlo,10,3,None,100,300,99,99,0,0.0532,0.1729,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,11,3,None,100,300,101,101,0,0.0519,0.1787,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,12,3,None,100,300,96,96,0,0.0494,0.1795,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,13,3,None,100,300,98,98,0,0.0523,0.1869,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,14,3,None,100,300,98,98,0,0.0497,0.1908,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Ham']"
Flat Monte Carlo,15,3,None,100,300,104,104,0,0.0519,0.2017,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,16,3,None,100,300,91,91,0,0.05,0.2,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Salami']"
Flat Monte Carlo,17,3,None,100,300,104,104,0,0.0515,0.2109,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,18,3,None,100,300,102,102,0,0.0515,0.2139,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,19,3,None,100,300,103,103,0,0.0514,0.2192,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,20,3,None,100,300,104,104,0,0.0536,0.2264,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,21,3,None,100,300,96,96,0,0.0511,0.2247,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,22,3,None,100,300,100,100,0,0.0514,0.2316,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Ham']"
Flat Monte Carlo,23,3,None,100,300,115,115,0,0.054,0.2512,"['Size', 'Dough', 'Topping', 'Pizza', 'Neapolitan', 'Normal', 'Salami']"
Flat Monte Carlo,24,3,None,100,300,100,100,0,0.0529,0.2495,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,25,3,None,100,300,97,97,0,0.0512,0.2444,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
Flat Monte Carlo,26,3,None,100,300,101,101,0,0.0511,0.253,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Ham']"
Flat Monte Carlo,27,3,None,100,300,99,99,0,0.0505,0.2564,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Neapolitan', 'Mozzarella']"
Flat Monte Carlo,28,3,None,100,300,104,104,0,0.0503,0.2657,"['Size', 'Dough', 'Topping', 'Pizza', 'Sicilian', 'Normal', 'Salami']"
Flat Monte Carlo,29,3,None,100,300,114,114,0,0.0542,0.2798,"['Size', 'Dough', 'Topping', 'Pizza', 'Neapolitan', 'Normal', 'Salami']"
Flat Monte Carlo,30,3,None,100,300,111,111,0,0.0508,0.2814,"['Size', 'Dough', 'Topping', 'Pizza', 'Normal', 'Sicilian', 'Mozzarella']"
