Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,3,None,100,300,87,87,87,0.1888,0.4953,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Ham', 'Neapolitan']"
Greedy MCTS,2,3,None,100,300,75,75,75,0.137,0.3993,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Neapolitan', 'Ham']"
Greedy MCTS,3,3,None,100,300,91,91,91,0.171,0.5096,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Sicilian', 'Mozzarella']"
Greedy MCTS,4,3,None,100,300,86,86,86,0.1996,0.4939,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Mozzarella', 'Neapolitan']"
Greedy MCTS,5,3,None,100,300,82,82,82,0.1322,0.4724,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Salami']"
Greedy MCTS,6,3,None,100,300,95,95,95,0.1858,0.562,"['Pizza', 'Size', 'Dough', 'Topping', 'Neapolitan', 'Big', 'Mozzarella']"
Greedy MCTS,7,3,None,100,300,90,90,90,0.1882,0.5466,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Mozzarella', 'Neapolitan']"
Greedy MCTS,8,3,None,100,300,93,93,93,0.1505,0.5757,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Ham']"
Greedy MCTS,9,3,None,100,300,91,91,91,0.1826,0.5656,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Sicilian', 'Mozzarella']"
Greedy MCTS,10,3,None,100,300,87,87,87,0.1505,0.5501,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Ham']"
Greedy MCTS,11,3,None,100,300,70,70,70,0.1319,0.4762,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Neapolitan', 'Salami']"
Greedy MCTS,12,4,None,100,400,97,97,97,0.247,0.6196,"['Pizza', 'Size', 'Dough', 'Topping', 'Sicilian', 'Big', 'CheesyCrust', 'Salami']"
Greedy MCTS,13,3,None,100,300,78,78,78,0.1804,0.5346,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Mozzarella', 'Sicilian']"
Greedy MCTS,14,3,None,100,300,80,80,80,0.1345,0.5289,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Neapolitan', 'Ham']"
Greedy MCTS,15,3,None,100,300,76,76,76,0.1328,0.5084,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Mozzarella']"
Greedy MCTS,16,3,None,100,300,64,64,64,0.1371,0.4659,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Mozzarella', 'Sicilian']"
Greedy MCTS,17,3,None,100,300,101,101,101,0.1939,0.688,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Ham', 'Sicilian']"
Greedy MCTS,18,3,None,100,300,87,87,87,0.163,0.6076,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Sicilian', 'Ham']"
Greedy MCTS,19,3,None,100,300,89,89,89,0.141,0.6219,"['Pizza', 'Size', 'Dough', 'Topping', 'Neapolitan', 'Normal', 'Ham']"
Greedy MCTS,20,3,None,100,300,85,85,85,0.1661,0.5963,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Neapolitan', 'Salami']"
Greedy MCTS,21,3,None,100,300,85,85,85,0.145,0.6186,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Ham', 'Sicilian']"
Greedy MCTS,22,3,None,100,300,87,87,87,0.1381,0.6301,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Ham']"
Greedy MCTS,23,3,None,100,300,98,98,98,0.1969,0.7074,"['Pizza', 'Size', 'Dough', 'Topping', 'Salami', 'Big', 'Neapolitan']"
Greedy MCTS,24,3,None,100,300,91,91,91,0.1277,0.6702,"['Pizza', 'Size', 'Dough', 'Topping', 'Sicilian', 'Normal', 'Salami']"
Greedy MCTS,25,3,None,100,300,87,87,87,0.1411,0.6832,"['Pizza', 'Size', 'Dough', 'Topping', 'Sicilian', 'Normal', 'Mozzarella']"
Greedy MCTS,26,3,None,100,300,90,90,90,0.1351,0.6997,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Neapolitan', 'Ham']"
Greedy MCTS,27,3,None,100,300,87,87,87,0.1475,0.6843,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Mozzarella', 'Sicilian']"
Greedy MCTS,28,3,None,100,300,95,95,95,0.2063,0.7303,"['Pizza', 'Size', 'Dough', 'Topping', 'Big', 'Salami', 'Sicilian']"
Greedy MCTS,29,3,None,100,300,36,36,36,0.1132,0.4309,"['Pizza', 'Size', 'Dough', 'Topping', 'Normal', 'Sicilian', 'Ham']"
Greedy MCTS,30,3,None,100,300,88,88,88,0.2014,0.7059,"['Pizza', 'Size', 'Dough', 'Topping', 'Ham', 'Big', 'Sicilian']"
