Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,3,None,100,300,300,300,0,0.189,0.5887,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,2,3,None,100,300,300,300,0,0.1862,0.6041,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Mozzarella']"
Parallel Flat Monte Carlo,3,3,None,100,300,300,300,0,0.1907,0.6097,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Salami']"
Parallel Flat Monte Carlo,4,3,None,100,300,300,300,0,0.1853,0.6181,"['Dough', 'Topping', 'Pizza', 'Size', 'Sicilian', 'Normal', 'Mozzarella']"
Parallel Flat Monte Carlo,5,3,None,100,300,300,300,0,0.1958,0.6375,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,6,3,None,100,300,300,300,0,0.1847,0.6421,"['Dough', 'Topping', 'Pizza', 'Size', 'Neapolitan', 'Normal', 'Mozzarella']"
Parallel Flat Monte Carlo,7,3,None,100,300,300,300,0,0.2021,0.6472,"['Dough', 'Topping', 'Pizza', 'Size', 'Big', 'Neapolitan', 'Salami']"
Parallel Flat Monte Carlo,8,3,None,100,300,300,300,0,0.1929,0.6524,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Mozzarella']"
Parallel Flat Monte Carlo,9,3,None,100,300,300,300,0,0.1846,0.6573,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Mozzarella']"
Parallel Flat Monte Carlo,10,3,None,100,300,300,300,0,0.1858,0.6622,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Salami']"
Parallel Flat Monte Carlo,11,3,None,100,300,300,300,0,0.1893,0.6671,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Ham']"
Parallel Flat Monte Carlo,12,3,None,100,300,300,300,0,0.1888,0.6724,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Salami']"
Parallel Flat Monte Carlo,13,3,None,100,300,300,300,0,0.1864,0.6771,"['Dough', 'Topping', 'Pizza', 'Size', 'Big', 'Sicilian', 'Salami']"
Parallel Flat Monte Carlo,14,3,None,100,300,300,300,0,0.1885,0.6819,"['Dough', 'Topping', 'Pizza', 'Size', 'Neapolitan', 'Normal', 'Salami']"
Parallel Flat Monte Carlo,15,3,None,100,300,300,300,0,0.186,0.687,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Ham']"
Parallel Flat Monte Carlo,16,3,None,100,300,300,300,0,0.1885,0.6917,"['Dough', 'Topping', 'Pizza', 'Size', 'Neapolitan', 'Big', 'Mozzarella']"
Parallel Flat Monte Carlo,17,3,None,100,300,300,300,0,0.1913,0.6968,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Mozzarella']"
Parallel Flat Monte Carlo,18,3,None,100,300,300,300,0,0.1862,0.702,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,19,3,None,100,300,300,300,0,0.1901,0.7067,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Ham']"
Parallel Flat Monte Carlo,20,3,None,100,300,300,300,0,0.1905,0.7116,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Salami']"
Parallel Flat Monte Carlo,21,3,None,100,300,300,300,0,0.1945,0.7167,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,22,3,None,100,300,300,300,0,0.1915,0.7217,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Mozzarella']"
Parallel Flat Monte Carlo,23,3,None,100,300,300,300,0,0.1878,0.7271,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,24,3,None,100,300,300,300,0,0.1894,0.7319,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Ham']"
Parallel Flat Monte Carlo,25,3,None,100,300,300,300,0,0.1898,0.737,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Salami']"
Parallel Flat Monte Carlo,26,3,None,100,300,300,300,0,0.1911,0.7416,"['Dough', 'Topping', 'Pizza', 'Size', 'Neapolitan', 'Normal', 'Salami']"
Parallel Flat Monte Carlo,27,3,None,100,300,300,300,0,0.2076,0.7468,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Mozzarella']"
Parallel Flat Monte Carlo,28,3,None,100,300,300,300,0,0.1952,0.7518,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Mozzarella']"
Parallel Flat Monte Carlo,29,3,None,100,300,300,300,0,0.1933,0.7567,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Neapolitan', 'Ham']"
Parallel Flat Monte Carlo,30,3,None,100,300,300,300,0,0.1961,0.7615,"['Dough', 'Topping', 'Pizza', 'Size', 'Normal', 'Sicilian', 'Ham']"
