Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,3,None,0,0,0,0,0,0.0003,0.0115,"['Topping', 'Size', 'Pizza', 'Dough', 'Big', 'Mozzarella', 'Neapolitan']"
Random strategy,2,3,None,0,0,0,0,0,0.0002,0.0217,"['Topping', 'Size', 'Pizza', 'Dough', 'Big', 'Neapolitan', 'Salami']"
Random strategy,3,6,None,0,0,0,0,0,0.0004,0.0288,"['Topping', 'Size', 'Pizza', 'Dough', 'Mozzarella', 'CheesyCrust', 'Ham', 'Big', 'Salami', 'Sicilian']"
Random strategy,4,5,None,0,0,0,0,0,0.0003,0.0355,"['Topping', 'Size', 'Pizza', 'Dough', 'CheesyCrust', 'Salami', 'Neapolitan', 'Ham', 'Big']"
Random strategy,5,3,None,0,0,0,0,0,0.0002,0.0402,"['Topping', 'Size', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Salami']"
Random strategy,6,5,None,0,0,0,0,0,0.0003,0.0476,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Salami', 'CheesyCrust', 'Neapolitan', 'Big']"
Random strategy,7,5,None,0,0,0,0,0,0.0003,0.0555,"['Topping', 'Size', 'Pizza', 'Dough', 'Salami', 'CheesyCrust', 'Neapolitan', 'Ham', 'Big']"
Random strategy,8,6,None,0,0,0,0,0,0.0003,0.0644,"['Topping', 'Size', 'Pizza', 'Dough', 'Neapolitan', 'CheesyCrust', 'Mozzarella', 'Salami', 'Ham', 'Big']"
Random strategy,9,5,None,0,0,0,0,0,0.0003,0.072,"['Topping', 'Size', 'Pizza', 'Dough', 'Normal', 'Mozzarella', 'Salami', 'Ham', 'Sicilian']"
Random strategy,10,5,None,0,0,0,0,0,0.0003,0.0797,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Salami', 'Neapolitan', 'Mozzarella', 'Normal']"
Random strategy,11,3,None,0,0,0,0,0,0.0002,0.0845,"['Topping', 'Size', 'Pizza', 'Dough', 'Salami', 'Normal', 'Sicilian']"
Random strategy,12,6,None,0,0,0,0,0,0.0005,0.0938,"['Topping', 'Size', 'Pizza', 'Dough', 'Sicilian', 'Mozzarella', 'Salami', 'Ham', 'CheesyCrust', 'Big']"
Random strategy,13,3,None,0,0,0,0,0,0.0002,0.0986,"['Topping', 'Size', 'Pizza', 'Dough', 'Neapolitan', 'Normal', 'Mozzarella']"
Random strategy,14,4,None,0,0,0,0,0,0.0003,0.1047,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Neapolitan', 'Salami', 'Big']"
Random strategy,15,4,None,0,0,0,0,0,0.0003,0.1108,"['Topping', 'Size', 'Pizza', 'Dough', 'CheesyCrust', 'Neapolitan', 'Big', 'Mozzarella']"
Random strategy,16,5,None,0,0,0,0,0,0.0003,0.1184,"['Topping', 'Size', 'Pizza', 'Dough', 'Big', 'Ham', 'Salami', 'Mozzarella', 'Sicilian']"
Random strategy,17,3,None,0,0,0,0,0,0.0002,0.1233,"['Topping', 'Size', 'Pizza', 'Dough', 'Neapolitan', 'Mozzarella', 'Big']"
Random strategy,18,3,None,0,0,0,0,0,0.0002,0.1282,"['Topping', 'Size', 'Pizza', 'Dough', 'Sicilian', 'Mozzarella', 'Normal']"
Random strategy,19,3,None,0,0,0,0,0,0.0002,0.1331,"['Topping', 'Size', 'Pizza', 'Dough', 'Mozzarella', 'Sicilian', 'Normal']"
Random strategy,20,3,None,0,0,0,0,0,0.0002,0.1379,"['Topping', 'Size', 'Pizza', 'Dough', 'Neapolitan', 'Normal', 'Ham']"
Random strategy,21,3,None,0,0,0,0,0,0.0002,0.1428,"['Topping', 'Size', 'Pizza', 'Dough', 'Mozzarella', 'Big', 'Neapolitan']"
Random strategy,22,5,None,0,0,0,0,0,0.0003,0.1504,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Mozzarella', 'Sicilian', 'Salami', 'Normal']"
Random strategy,23,3,None,0,0,0,0,0,0.0002,0.1557,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Neapolitan', 'Normal']"
Random strategy,24,3,None,0,0,0,0,0,0.0002,0.1606,"['Topping', 'Size', 'Pizza', 'Dough', 'Big', 'Mozzarella', 'Sicilian']"
Random strategy,25,3,None,0,0,0,0,0,0.0002,0.1654,"['Topping', 'Size', 'Pizza', 'Dough', 'Normal', 'Salami', 'Neapolitan']"
Random strategy,26,4,None,0,0,0,0,0,0.0002,0.1716,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Normal', 'Mozzarella', 'Sicilian']"
Random strategy,27,3,None,0,0,0,0,0,0.0002,0.1764,"['Topping', 'Size', 'Pizza', 'Dough', 'Neapolitan', 'Big', 'Ham']"
Random strategy,28,3,None,0,0,0,0,0,0.0002,0.1813,"['Topping', 'Size', 'Pizza', 'Dough', 'Normal', 'Ham', 'Sicilian']"
Random strategy,29,4,None,0,0,0,0,0,0.0003,0.1874,"['Topping', 'Size', 'Pizza', 'Dough', 'Ham', 'Neapolitan', 'Salami', 'Big']"
Random strategy,30,4,None,0,0,0,0,0,0.0002,0.1935,"['Topping', 'Size', 'Pizza', 'Dough', 'CheesyCrust', 'Ham', 'Neapolitan', 'Big']"
