Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,5,None,100,500,463,463,0,0.5675,0.6843,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Hard', 'PC', 'EN', 'M_780', 'Germany_Leopard']"
Flat Monte Carlo,2,5,None,100,500,450,450,0,0.578,0.6863,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'PC', 'EN', 'M_240', 'Hard', 'USA_M1Abrams']"
Flat Monte Carlo,3,5,None,100,500,451,451,0,0.5691,0.6937,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'PC', 'EN', 'Hard', 'M_240', 'Germany_Leopard']"
Flat Monte Carlo,4,7,None,100,700,629,629,0,0.8114,0.9511,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Soundeffekt', 'DE', 'Hard', 'Sound_fuer_Handy', 'M_600', 'Handy', 'China_Type99']"
Flat Monte Carlo,5,6,None,100,600,573,573,0,0.7628,0.9476,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Image', 'Easy', 'EN', 'PC', 'M_780', 'USA_M1Abrams']"
Flat Monte Carlo,6,5,None,100,500,473,473,0,0.6401,0.8927,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Easy', 'Germany_Leopard', 'M_240', 'Handy', 'EN']"
Flat Monte Carlo,7,5,None,100,500,461,461,0,0.5648,0.7639,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'DE', 'PC', 'Easy', 'USA_M1Abrams', 'M_600']"
Flat Monte Carlo,8,5,None,100,500,470,470,0,0.6235,0.7856,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'China_Type99', 'M_240', 'DE', 'Hard', 'Handy']"
Flat Monte Carlo,9,5,None,100,500,472,472,0,0.6229,0.7967,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Handy', 'M_600', 'DE', 'Germany_Leopard', 'Hard']"
Flat Monte Carlo,10,5,None,100,500,471,471,0,0.6378,0.8046,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_600', 'USA_M1Abrams', 'Handy', 'Easy', 'EN']"
Flat Monte Carlo,11,5,None,100,500,470,470,0,0.6228,0.8145,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'EN', 'Germany_Leopard', 'M_780', 'PC', 'Hard']"
Flat Monte Carlo,12,5,None,100,500,447,447,0,0.5747,0.8099,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'PC', 'M_600', 'Easy', 'EN', 'China_Type99']"
Flat Monte Carlo,13,5,None,100,500,461,461,0,0.6004,0.8179,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_600', 'DE', 'Easy', 'PC', 'USA_M1Abrams']"
Flat Monte Carlo,14,6,None,100,600,545,545,0,0.6834,0.9424,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Easy', 'M_240', 'explodieren', 'EN', 'Handy', 'USA_M1Abrams']"
Flat Monte Carlo,15,5,None,100,500,462,462,0,0.6103,0.9395,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_780', 'PC', 'DE', 'USA_M1Abrams', 'Easy']"
Flat Monte Carlo,16,5,None,100,500,452,452,0,0.6014,0.8397,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_240', 'PC', 'Hard', 'EN', 'China_Type99']"
Flat Monte Carlo,17,5,None,100,500,444,444,0,0.5634,0.8346,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'EN', 'M_240', 'Easy', 'Handy', 'Germany_Leopard']"
Flat Monte Carlo,18,5,None,100,500,465,465,0,0.6342,0.8796,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_600', 'Germany_Leopard', 'Hard', 'DE', 'Handy']"
Flat Monte Carlo,19,5,None,100,500,466,466,0,0.6253,0.889,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_600', 'Germany_Leopard', 'Hard', 'Handy', 'DE']"
Flat Monte Carlo,20,5,None,100,500,463,463,0,0.5832,0.894,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'EN', 'Handy', 'M_600', 'Easy', 'USA_M1Abrams']"
Flat Monte Carlo,21,6,None,100,600,541,541,0,0.6961,1.0104,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Easy', 'explodieren', 'M_780', 'EN', 'Handy', 'USA_M1Abrams']"
Flat Monte Carlo,22,5,None,100,500,449,449,0,0.5861,1.0073,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'PC', 'M_780', 'DE', 'Easy', 'USA_M1Abrams']"
Flat Monte Carlo,23,5,None,100,500,469,469,0,0.6042,0.9334,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'M_240', 'PC', 'China_Type99', 'DE', 'Easy']"
Flat Monte Carlo,24,5,None,100,500,479,479,0,0.6382,0.9571,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Handy', 'Germany_Leopard', 'M_780', 'DE', 'Hard']"
Flat Monte Carlo,25,6,None,100,600,569,569,0,0.7085,1.0986,"['Language', 'TankWar', 'Tanks', 'AI', 'Map', 'Platform', 'GUI', 'Germany_Leopard', 'Easy', 'DE', 'Image', 'PC', 'M_600']"
