Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,5,None,100,500,500,500,500,0.8904,9.0763,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_600', 'PC', 'Easy', 'EN', 'Germany_Leopard']"
Greedy MCTS,2,5,None,100,500,500,500,500,0.8589,9.3286,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'PC', 'Hard', 'M_240', 'Germany_Leopard']"
Greedy MCTS,3,5,None,100,500,500,500,500,0.9653,9.9888,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'China_Type99', 'Easy', 'M_240', 'Handy', 'DE']"
Greedy MCTS,4,5,None,100,500,500,500,500,0.8542,9.4845,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'China_Type99', 'DE', 'Handy', 'M_240', 'Easy']"
Greedy MCTS,5,5,None,100,500,500,500,500,0.8173,9.4494,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'Hard', 'PC', 'M_240', 'Germany_Leopard']"
Greedy MCTS,6,5,None,100,500,500,500,500,0.8884,9.2545,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_240', 'Handy', 'Hard', 'EN', 'China_Type99']"
Greedy MCTS,7,5,None,100,500,500,500,500,0.8602,9.6539,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'Hard', 'M_780', 'Handy', 'Germany_Leopard']"
Greedy MCTS,8,5,None,100,500,500,500,500,0.9131,9.9468,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Hard', 'DE', 'M_780', 'Handy', 'Germany_Leopard']"
Greedy MCTS,9,5,None,100,500,500,500,500,0.877,9.5666,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_780', 'DE', 'Germany_Leopard', 'Hard', 'Handy']"
Greedy MCTS,10,5,None,100,500,500,500,500,0.8566,9.3943,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_780', 'EN', 'PC', 'China_Type99', 'Easy']"
Greedy MCTS,11,5,None,100,500,500,500,500,0.8271,9.6215,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'DE', 'Germany_Leopard', 'Easy', 'Handy', 'M_780']"
Greedy MCTS,12,5,None,100,500,500,500,500,0.863,9.7074,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'China_Type99', 'Easy', 'M_240', 'Handy', 'DE']"
Greedy MCTS,13,5,None,100,500,500,500,500,0.845,9.4111,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Easy', 'China_Type99', 'PC', 'DE', 'M_240']"
Greedy MCTS,14,5,None,100,500,500,500,500,0.9219,9.768,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'DE', 'M_780', 'Hard', 'Handy', 'China_Type99']"
Greedy MCTS,15,5,None,100,500,500,500,500,0.8166,9.3262,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'Germany_Leopard', 'PC', 'Easy', 'M_780']"
Greedy MCTS,16,5,None,100,500,500,500,500,0.8752,9.7714,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'DE', 'Handy', 'M_600', 'China_Type99', 'Hard']"
Greedy MCTS,17,5,None,100,500,500,500,500,0.8789,10.1669,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Handy', 'USA_M1Abrams', 'EN', 'Easy', 'M_780']"
Greedy MCTS,18,5,None,100,500,500,500,500,0.8691,9.2109,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_780', 'Easy', 'Handy', 'Germany_Leopard', 'DE']"
Greedy MCTS,19,5,None,100,500,500,500,500,0.8281,9.6954,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Germany_Leopard', 'PC', 'EN', 'Easy', 'M_240']"
Greedy MCTS,20,5,None,100,500,500,500,500,0.8649,9.8955,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'Handy', 'M_240', 'China_Type99', 'Hard']"
Greedy MCTS,21,5,None,100,500,500,500,500,0.8781,9.9905,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'China_Type99', 'EN', 'Handy', 'Easy', 'M_600']"
Greedy MCTS,22,7,None,100,700,700,700,700,1.4867,16.4381,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Tools', 'M_240', 'Hard', 'USA_M1Abrams', 'EN', 'PC', 'Bombe']"
Greedy MCTS,23,7,None,100,700,700,700,700,1.4274,13.7463,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Record', 'Easy', 'M_780', 'Handy', 'Re_fuer_PC', 'China_Type99', 'DE']"
Greedy MCTS,24,5,None,100,500,500,500,500,0.8927,9.978,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_240', 'DE', 'China_Type99', 'PC', 'Hard']"
Greedy MCTS,25,5,None,100,500,500,500,500,0.828,9.7329,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'USA_M1Abrams', 'DE', 'Easy', 'M_240', 'PC']"
Greedy MCTS,26,5,None,100,500,500,500,500,0.8941,10.2148,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'China_Type99', 'DE', 'M_600', 'Handy', 'Easy']"
Greedy MCTS,27,5,None,100,500,500,500,500,0.9282,10.1689,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'Hard', 'Handy', 'Germany_Leopard', 'M_240']"
Greedy MCTS,28,6,None,100,600,600,600,600,1.1032,10.9964,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'M_240', 'China_Type99', 'explodieren', 'Easy', 'DE', 'PC']"
Greedy MCTS,29,5,None,100,500,500,500,500,0.8461,9.9687,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'EN', 'China_Type99', 'Hard', 'Handy', 'M_240']"
Greedy MCTS,30,5,None,100,500,500,500,500,0.8642,9.8281,"['Tanks', 'Language', 'GUI', 'TankWar', 'AI', 'Platform', 'Map', 'Hard', 'M_780', 'DE', 'PC', 'China_Type99']"
