Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,9,None,100,900,900,900,0,0.61,0.6223,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Hard', 'M_780', 'China_Type99', 'Handy', 'Image', 'IMG_tool', 'fuer_Handy', 'fuer_PC', 'DE']"
Parallel Flat Monte Carlo,2,11,None,100,1100,1100,1100,0,0.7864,0.6706,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Soundeffekt', 'Sound_fuer_Handy', 'China_Type99', 'M_600', 'explodieren', 'DE', 'Image', 'Handy', 'fuer_Handy', 'IMG_tool', 'Hard']"
Parallel Flat Monte Carlo,3,7,None,100,700,700,700,0,0.4992,0.6846,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'DE', 'Image', 'USA_M1Abrams', 'China_Type99', 'Easy', 'M_780', 'Handy']"
Parallel Flat Monte Carlo,4,9,None,100,900,900,900,0,0.6417,0.6989,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'USA_M1Abrams', 'Image', 'fuer_PC', 'M_780', 'EN', 'explodieren', 'fuer_Handy', 'Easy', 'Handy']"
Parallel Flat Monte Carlo,5,15,None,100,1500,1500,1500,0,1.0648,0.7331,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'M_600', 'Hard', 'Record', 'DE', 'Image', 'explodieren', 'IMG_tool', 'Tools', 'PC', 'Bombe', 'fuer_Handy', 'Energie', 'Germany_Leopard', 'China_Type99', 'Re_fuer_PC']"
Parallel Flat Monte Carlo,6,13,None,100,1300,1300,1300,0,0.9264,0.7512,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'EN', 'PC', 'Tools', 'Hard', 'Soundeffekt', 'Energie', 'M_780', 'Feuerkraft', 'China_Type99', 'USA_M1Abrams', 'Beschleunigung', 'explodieren', 'Sound_fuer_Handy']"
Parallel Flat Monte Carlo,7,8,None,100,800,800,800,0,0.5734,0.769,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Soundeffekt', 'Sound_fuer_Handy', 'Germany_Leopard', 'DE', 'USA_M1Abrams', 'Handy', 'Hard', 'M_600']"
Parallel Flat Monte Carlo,8,12,None,100,1200,1200,1200,0,0.889,0.7914,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Image', 'USA_M1Abrams', 'Germany_Leopard', 'Easy', 'Handy', 'M_780', 'Soundeffekt', 'explodieren', 'IMG_tool', 'DE', 'fuer_PC', 'Sound_fuer_pc']"
Parallel Flat Monte Carlo,9,8,None,100,800,800,800,0,0.5912,0.8066,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Soundeffekt', 'M_240', 'Sound_fuer_Handy', 'EN', 'explodieren', 'Germany_Leopard', 'Handy', 'Easy']"
Parallel Flat Monte Carlo,10,12,None,100,1200,1200,1200,0,0.8867,0.8295,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'China_Type99', 'Image', 'explodieren', 'Germany_Leopard', 'M_780', 'PC', 'fuer_Handy', 'USA_M1Abrams', 'Record', 'EN', 'Re_fuer_Handy', 'Hard']"
Parallel Flat Monte Carlo,11,9,None,100,900,900,900,0,0.6672,0.8459,"['Language', 'GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Soundeffekt', 'Image', 'M_780', 'Germany_Leopard', 'EN', 'Easy', 'explodieren', 'Sound_fuer_Handy', 'PC']"
