Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,5,None,100,500,500,500,500,0.8883,9.7603,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'M_240', 'Hard', 'DE', 'USA_M1Abrams', 'Handy']"
UCT MCTS,2,5,None,100,500,500,500,500,0.8411,9.7647,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'Easy', 'M_780', 'Handy', 'EN', 'China_Type99']"
UCT MCTS,3,5,None,100,500,500,500,500,0.8075,9.7554,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'M_780', 'China_Type99', 'EN', 'Easy', 'Handy']"
UCT MCTS,4,5,None,100,500,500,500,500,0.8827,9.5982,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'PC', 'DE', 'M_600', 'Easy', 'China_Type99']"
UCT MCTS,5,5,None,100,500,500,500,500,0.863,9.5975,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'PC', 'M_240', 'Hard', 'DE', 'China_Type99']"
UCT MCTS,6,5,None,100,500,500,500,500,0.8439,9.4416,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'PC', 'Hard', 'M_780', 'DE', 'China_Type99']"
UCT MCTS,7,5,None,100,500,500,500,500,0.847,9.8065,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'M_240', 'Handy', 'Germany_Leopard', 'EN', 'Easy']"
UCT MCTS,8,5,None,100,500,500,500,500,0.8197,9.8057,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'M_600', 'Hard', 'EN', 'PC', 'Germany_Leopard']"
UCT MCTS,9,5,None,100,500,500,500,500,0.8153,9.3246,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'M_240', 'PC', 'EN', 'Easy', 'China_Type99']"
UCT MCTS,10,5,None,100,500,500,500,500,0.9149,10.0414,"['GUI', 'Platform', 'TankWar', 'Tanks', 'AI', 'Map', 'Language', 'Hard', 'PC', 'M_780', 'China_Type99', 'EN']"
