Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,0,None,100,0,0,0,0,0.0001,0.0075,"['base', 'wget']"
Greedy MCTS,2,0,None,100,0,0,0,0,0.0,0.0095,"['base', 'wget']"
Greedy MCTS,3,0,None,100,0,0,0,0,0.0,0.011,"['base', 'wget']"
Greedy MCTS,4,0,None,100,0,0,0,0,0.0,0.0126,"['base', 'wget']"
Greedy MCTS,5,0,None,100,0,0,0,0,0.0,0.0142,"['base', 'wget']"
Greedy MCTS,6,0,None,100,0,0,0,0,0.0,0.0161,"['base', 'wget']"
Greedy MCTS,7,0,None,100,0,0,0,0,0.0001,0.018,"['base', 'wget']"
Greedy MCTS,8,0,None,100,0,0,0,0,0.0,0.0196,"['base', 'wget']"
Greedy MCTS,9,0,None,100,0,0,0,0,0.0,0.0212,"['base', 'wget']"
Greedy MCTS,10,0,None,100,0,0,0,0,0.0,0.0229,"['base', 'wget']"
Greedy MCTS,11,0,None,100,0,0,0,0,0.0,0.0249,"['base', 'wget']"
Greedy MCTS,12,0,None,100,0,0,0,0,0.0,0.0268,"['base', 'wget']"
Greedy MCTS,13,0,None,100,0,0,0,0,0.0,0.0285,"['base', 'wget']"
Greedy MCTS,14,0,None,100,0,0,0,0,0.0,0.0302,"['base', 'wget']"
Greedy MCTS,15,0,None,100,0,0,0,0,0.0,0.0319,"['base', 'wget']"
Greedy MCTS,16,0,None,100,0,0,0,0,0.0,0.0336,"['base', 'wget']"
Greedy MCTS,17,0,None,100,0,0,0,0,0.0,0.0352,"['base', 'wget']"
Greedy MCTS,18,0,None,100,0,0,0,0,0.0,0.037,"['base', 'wget']"
Greedy MCTS,19,0,None,100,0,0,0,0,0.0,0.0387,"['base', 'wget']"
Greedy MCTS,20,0,None,100,0,0,0,0,0.0,0.0403,"['base', 'wget']"
Greedy MCTS,21,0,None,100,0,0,0,0,0.0,0.042,"['base', 'wget']"
Greedy MCTS,22,0,None,100,0,0,0,0,0.0,0.0442,"['base', 'wget']"
Greedy MCTS,23,0,None,100,0,0,0,0,0.0,0.0465,"['base', 'wget']"
Greedy MCTS,24,0,None,100,0,0,0,0,0.0,0.0481,"['base', 'wget']"
Greedy MCTS,25,0,None,100,0,0,0,0,0.0,0.0498,"['base', 'wget']"
Greedy MCTS,26,0,None,100,0,0,0,0,0.0,0.0516,"['base', 'wget']"
Greedy MCTS,27,0,None,100,0,0,0,0,0.0,0.0532,"['base', 'wget']"
Greedy MCTS,28,0,None,100,0,0,0,0,0.0,0.0549,"['base', 'wget']"
Greedy MCTS,29,0,None,100,0,0,0,0,0.0,0.0566,"['base', 'wget']"
Greedy MCTS,30,0,None,100,0,0,0,0,0.0,0.0583,"['base', 'wget']"
