Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,0,None,100,0,0,0,0,0.0,0.001,"['base', 'wget']"
Parallel Flat Monte Carlo,2,0,None,100,0,0,0,0,0.0,0.0075,"['base', 'wget']"
Parallel Flat Monte Carlo,3,0,None,100,0,0,0,0,0.0,0.0082,"['base', 'wget']"
Parallel Flat Monte Carlo,4,0,None,100,0,0,0,0,0.0,0.0091,"['base', 'wget']"
Parallel Flat Monte Carlo,5,0,None,100,0,0,0,0,0.0,0.0101,"['base', 'wget']"
Parallel Flat Monte Carlo,6,0,None,100,0,0,0,0,0.0,0.011,"['base', 'wget']"
Parallel Flat Monte Carlo,7,0,None,100,0,0,0,0,0.0,0.0123,"['base', 'wget']"
Parallel Flat Monte Carlo,8,0,None,100,0,0,0,0,0.0,0.0132,"['base', 'wget']"
Parallel Flat Monte Carlo,9,0,None,100,0,0,0,0,0.0,0.0142,"['base', 'wget']"
Parallel Flat Monte Carlo,10,0,None,100,0,0,0,0,0.0,0.0152,"['base', 'wget']"
Parallel Flat Monte Carlo,11,0,None,100,0,0,0,0,0.0,0.0161,"['base', 'wget']"
Parallel Flat Monte Carlo,12,0,None,100,0,0,0,0,0.0,0.0174,"['base', 'wget']"
Parallel Flat Monte Carlo,13,0,None,100,0,0,0,0,0.0,0.0183,"['base', 'wget']"
Parallel Flat Monte Carlo,14,0,None,100,0,0,0,0,0.0,0.0192,"['base', 'wget']"
Parallel Flat Monte Carlo,15,0,None,100,0,0,0,0,0.0,0.0202,"['base', 'wget']"
Parallel Flat Monte Carlo,16,0,None,100,0,0,0,0,0.0,0.0211,"['base', 'wget']"
Parallel Flat Monte Carlo,17,0,None,100,0,0,0,0,0.0,0.0221,"['base', 'wget']"
Parallel Flat Monte Carlo,18,0,None,100,0,0,0,0,0.0,0.0231,"['base', 'wget']"
Parallel Flat Monte Carlo,19,0,None,100,0,0,0,0,0.0,0.0241,"['base', 'wget']"
Parallel Flat Monte Carlo,20,0,None,100,0,0,0,0,0.0,0.0251,"['base', 'wget']"
Parallel Flat Monte Carlo,21,0,None,100,0,0,0,0,0.0,0.0261,"['base', 'wget']"
Parallel Flat Monte Carlo,22,0,None,100,0,0,0,0,0.0,0.0271,"['base', 'wget']"
Parallel Flat Monte Carlo,23,0,None,100,0,0,0,0,0.0,0.0286,"['base', 'wget']"
Parallel Flat Monte Carlo,24,0,None,100,0,0,0,0,0.0,0.0296,"['base', 'wget']"
Parallel Flat Monte Carlo,25,0,None,100,0,0,0,0,0.0,0.0306,"['base', 'wget']"
Parallel Flat Monte Carlo,26,0,None,100,0,0,0,0,0.0,0.0316,"['base', 'wget']"
Parallel Flat Monte Carlo,27,0,None,100,0,0,0,0,0.0,0.0326,"['base', 'wget']"
Parallel Flat Monte Carlo,28,0,None,100,0,0,0,0,0.0,0.0336,"['base', 'wget']"
Parallel Flat Monte Carlo,29,0,None,100,0,0,0,0,0.0,0.0346,"['base', 'wget']"
Parallel Flat Monte Carlo,30,0,None,100,0,0,0,0,0.0,0.0356,"['base', 'wget']"
