Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,0,None,0,0,0,0,0,0.0,0.001,"['wget', 'base']"
Random strategy,2,0,None,0,0,0,0,0,0.0,0.0077,"['wget', 'base']"
Random strategy,3,0,None,0,0,0,0,0,0.0,0.0085,"['wget', 'base']"
Random strategy,4,0,None,0,0,0,0,0,0.0,0.0093,"['wget', 'base']"
Random strategy,5,0,None,0,0,0,0,0,0.0,0.0103,"['wget', 'base']"
Random strategy,6,0,None,0,0,0,0,0,0.0,0.0113,"['wget', 'base']"
Random strategy,7,0,None,0,0,0,0,0,0.0,0.0125,"['wget', 'base']"
Random strategy,8,0,None,0,0,0,0,0,0.0,0.0134,"['wget', 'base']"
Random strategy,9,0,None,0,0,0,0,0,0.0,0.0144,"['wget', 'base']"
Random strategy,10,0,None,0,0,0,0,0,0.0,0.0154,"['wget', 'base']"
Random strategy,11,0,None,0,0,0,0,0,0.0,0.0163,"['wget', 'base']"
Random strategy,12,0,None,0,0,0,0,0,0.0,0.0176,"['wget', 'base']"
Random strategy,13,0,None,0,0,0,0,0,0.0,0.0185,"['wget', 'base']"
Random strategy,14,0,None,0,0,0,0,0,0.0,0.0195,"['wget', 'base']"
Random strategy,15,0,None,0,0,0,0,0,0.0,0.0204,"['wget', 'base']"
Random strategy,16,0,None,0,0,0,0,0,0.0,0.0213,"['wget', 'base']"
Random strategy,17,0,None,0,0,0,0,0,0.0,0.0223,"['wget', 'base']"
Random strategy,18,0,None,0,0,0,0,0,0.0,0.0233,"['wget', 'base']"
Random strategy,19,0,None,0,0,0,0,0,0.0,0.0243,"['wget', 'base']"
Random strategy,20,0,None,0,0,0,0,0,0.0,0.0253,"['wget', 'base']"
Random strategy,21,0,None,0,0,0,0,0,0.0,0.0263,"['wget', 'base']"
Random strategy,22,0,None,0,0,0,0,0,0.0,0.0273,"['wget', 'base']"
Random strategy,23,0,None,0,0,0,0,0,0.0,0.0288,"['wget', 'base']"
Random strategy,24,0,None,0,0,0,0,0,0.0,0.0298,"['wget', 'base']"
Random strategy,25,0,None,0,0,0,0,0,0.0,0.0308,"['wget', 'base']"
Random strategy,26,0,None,0,0,0,0,0,0.0,0.0318,"['wget', 'base']"
Random strategy,27,0,None,0,0,0,0,0,0.0,0.0328,"['wget', 'base']"
Random strategy,28,0,None,0,0,0,0,0,0.0,0.0338,"['wget', 'base']"
Random strategy,29,0,None,0,0,0,0,0,0.0,0.0348,"['wget', 'base']"
Random strategy,30,0,None,0,0,0,0,0,0.0,0.0358,"['wget', 'base']"
