Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,0,None,100,0,0,0,0,0.0,0.0012,"['base', 'wget']"
UCT MCTS,2,0,None,100,0,0,0,0,0.0,0.0069,"['base', 'wget']"
UCT MCTS,3,0,None,100,0,0,0,0,0.0,0.0079,"['base', 'wget']"
UCT MCTS,4,0,None,100,0,0,0,0,0.0,0.0089,"['base', 'wget']"
UCT MCTS,5,0,None,100,0,0,0,0,0.0,0.0099,"['base', 'wget']"
UCT MCTS,6,0,None,100,0,0,0,0,0.0,0.011,"['base', 'wget']"
UCT MCTS,7,0,None,100,0,0,0,0,0.0,0.0123,"['base', 'wget']"
UCT MCTS,8,0,None,100,0,0,0,0,0.0,0.0133,"['base', 'wget']"
UCT MCTS,9,0,None,100,0,0,0,0,0.0,0.0143,"['base', 'wget']"
UCT MCTS,10,0,None,100,0,0,0,0,0.0,0.0154,"['base', 'wget']"
UCT MCTS,11,0,None,100,0,0,0,0,0.0,0.0164,"['base', 'wget']"
UCT MCTS,12,0,None,100,0,0,0,0,0.0,0.0177,"['base', 'wget']"
UCT MCTS,13,0,None,100,0,0,0,0,0.0,0.0187,"['base', 'wget']"
UCT MCTS,14,0,None,100,0,0,0,0,0.0,0.0197,"['base', 'wget']"
UCT MCTS,15,0,None,100,0,0,0,0,0.0,0.0207,"['base', 'wget']"
UCT MCTS,16,0,None,100,0,0,0,0,0.0,0.0217,"['base', 'wget']"
UCT MCTS,17,0,None,100,0,0,0,0,0.0,0.0227,"['base', 'wget']"
UCT MCTS,18,0,None,100,0,0,0,0,0.0,0.0238,"['base', 'wget']"
UCT MCTS,19,0,None,100,0,0,0,0,0.0,0.0248,"['base', 'wget']"
UCT MCTS,20,0,None,100,0,0,0,0,0.0,0.0259,"['base', 'wget']"
UCT MCTS,21,0,None,100,0,0,0,0,0.0,0.0269,"['base', 'wget']"
UCT MCTS,22,0,None,100,0,0,0,0,0.0,0.028,"['base', 'wget']"
UCT MCTS,23,0,None,100,0,0,0,0,0.0,0.0296,"['base', 'wget']"
UCT MCTS,24,0,None,100,0,0,0,0,0.0,0.0306,"['base', 'wget']"
UCT MCTS,25,0,None,100,0,0,0,0,0.0,0.0317,"['base', 'wget']"
UCT MCTS,26,0,None,100,0,0,0,0,0.0,0.0328,"['base', 'wget']"
UCT MCTS,27,0,None,100,0,0,0,0,0.0,0.0339,"['base', 'wget']"
UCT MCTS,28,0,None,100,0,0,0,0,0.0,0.0349,"['base', 'wget']"
UCT MCTS,29,0,None,100,0,0,0,0,0.0,0.036,"['base', 'wget']"
UCT MCTS,30,0,None,100,0,0,0,0,0.0,0.037,"['base', 'wget']"
