Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,10,None,100,900,598,598,0,0.4447,0.6587,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Search', 'Benchmark', 'Weight', 'DFS', 'Algorithms', 'Num']"
Flat Monte Carlo,2,10,None,100,900,547,547,0,0.4645,0.6623,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Directed', 'Undirected', 'Search', 'Algorithms', 'Shortest']"
Flat Monte Carlo,3,10,None,100,900,551,551,0,0.4698,0.6484,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Directed', 'Undirected', 'Weight', 'Search', 'Algorithms', 'Prim']"
Flat Monte Carlo,4,10,None,100,900,581,581,0,0.4459,0.6956,"['GPL', 'Driver', 'Search', 'DFS', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Algorithms', 'Prim']"
Flat Monte Carlo,5,10,None,100,900,582,582,0,0.4669,0.7132,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Weight', 'Benchmark', 'Search', 'Directed', 'Algorithms', 'Prim']"
Flat Monte Carlo,6,10,None,100,900,569,569,0,0.4625,0.7167,"['GPL', 'GraphType', 'Driver', 'Directed', 'Weight', 'Benchmark', 'Undirected', 'Search', 'Algorithms', 'CC']"
Flat Monte Carlo,7,11,None,100,1000,577,577,0,0.475,0.7383,"['GPL', 'Search', 'Driver', 'Weight', 'GraphType', 'Benchmark', 'Undirected', 'Directed', 'DFS', 'Algorithms', 'Num']"
Flat Monte Carlo,8,11,None,100,1000,649,649,0,0.4893,0.8261,"['GPL', 'GraphType', 'Search', 'Driver', 'Benchmark', 'DFS', 'Directed', 'BFS', 'Undirected', 'Algorithms', 'Num']"
Flat Monte Carlo,9,10,None,100,900,622,622,0,0.4601,0.825,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Search', 'Benchmark', 'DFS', 'Directed', 'Algorithms', 'Cycle']"
Flat Monte Carlo,10,10,None,100,900,602,602,0,0.4473,0.8189,"['GPL', 'GraphType', 'Driver', 'Weight', 'Search', 'Benchmark', 'DFS', 'Undirected', 'Algorithms', 'CC']"
Flat Monte Carlo,11,10,None,100,900,535,535,0,0.4656,0.8128,"['GPL', 'Weight', 'Driver', 'Benchmark', 'GraphType', 'Directed', 'Search', 'Undirected', 'Algorithms', 'Prim']"
Flat Monte Carlo,12,10,None,100,900,575,575,0,0.4587,0.8169,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Directed', 'Search', 'Algorithms', 'Shortest']"
Flat Monte Carlo,13,11,None,100,1000,522,522,0,0.4771,0.8157,"['GPL', 'Driver', 'Weight', 'GraphType', 'Benchmark', 'Undirected', 'Directed', 'Search', 'DFS', 'Algorithms', 'Shortest']"
Flat Monte Carlo,14,9,None,100,800,515,515,0,0.4323,0.7882,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Directed', 'Weight', 'Undirected', 'Algorithms', 'Shortest']"
Flat Monte Carlo,15,10,None,100,900,593,593,0,0.4522,0.8802,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Benchmark', 'Search', 'Weight', 'Directed', 'Algorithms', 'Prim']"
