Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,12,None,100,1200,841,841,841,3.4773,7.4211,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Search', 'DFS', 'Undirected', 'Weight', 'Directed', 'BFS', 'Algorithms', 'Num']"
UCT MCTS,2,12,None,100,1200,724,724,724,3.5729,7.4233,"['GPL', 'GraphType', 'Undirected', 'Directed', 'Driver', 'Search', 'Weight', 'Benchmark', 'DFS', 'Algorithms', 'BFS', 'Prim']"
UCT MCTS,3,12,None,100,1200,825,825,825,3.544,6.8678,"['GPL', 'GraphType', 'Driver', 'Weight', 'Search', 'Benchmark', 'Undirected', 'Directed', 'BFS', 'Algorithms', 'DFS', 'Shortest']"
UCT MCTS,4,12,None,100,1200,740,740,740,3.6347,6.8657,"['GPL', 'Driver', 'Weight', 'GraphType', 'Benchmark', 'Undirected', 'Search', 'Directed', 'Algorithms', 'BFS', 'DFS', 'Prim']"
UCT MCTS,5,12,None,100,1200,775,775,775,3.4153,6.3279,"['GPL', 'Weight', 'GraphType', 'Directed', 'Driver', 'Benchmark', 'Search', 'Undirected', 'Algorithms', 'DFS', 'BFS', 'Cycle']"
UCT MCTS,6,12,None,100,1200,625,625,625,3.5937,6.3257,"['GPL', 'GraphType', 'Undirected', 'Directed', 'Driver', 'Weight', 'Benchmark', 'Search', 'DFS', 'Algorithms', 'BFS', 'Prim']"
UCT MCTS,7,9,None,100,900,822,822,822,2.3105,6.9067,"['GPL', 'GraphType', 'Undirected', 'Driver', 'Benchmark', 'Weight', 'Search', 'Algorithms', 'Prim']"
UCT MCTS,8,12,None,100,1200,793,793,793,3.4717,6.9566,"['GPL', 'GraphType', 'Driver', 'Weight', 'Benchmark', 'Directed', 'Undirected', 'Search', 'Algorithms', 'BFS', 'DFS', 'Cycle']"
UCT MCTS,9,12,None,100,1200,801,801,801,3.4663,6.9545,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Undirected', 'Search', 'Weight', 'Directed', 'Algorithms', 'DFS', 'BFS', 'Shortest']"
UCT MCTS,10,12,None,100,1200,783,783,783,3.489,6.9573,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Undirected', 'Directed', 'Weight', 'Search', 'Algorithms', 'BFS', 'DFS', 'Num']"
UCT MCTS,11,12,None,100,1200,815,815,815,3.4528,7.176,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Search', 'DFS', 'Directed', 'Algorithms', 'BFS', 'Undirected', 'Kruskal']"
UCT MCTS,12,12,None,100,1200,776,776,776,3.44,7.1742,"['GPL', 'Driver', 'GraphType', 'Undirected', 'Benchmark', 'Weight', 'Search', 'Directed', 'Algorithms', 'BFS', 'DFS', 'Prim']"
UCT MCTS,13,12,None,100,1200,691,691,691,3.4279,6.8446,"['GPL', 'GraphType', 'Weight', 'Driver', 'Directed', 'Benchmark', 'Search', 'Undirected', 'Algorithms', 'BFS', 'DFS', 'Shortest']"
UCT MCTS,14,12,None,100,1200,804,804,804,3.4208,7.1674,"['GPL', 'Driver', 'GraphType', 'Undirected', 'Benchmark', 'Directed', 'Search', 'Weight', 'DFS', 'BFS', 'Algorithms', 'Prim']"
UCT MCTS,15,12,None,100,1200,848,848,848,3.2539,7.1655,"['GPL', 'Weight', 'GraphType', 'Directed', 'Undirected', 'Driver', 'Benchmark', 'Search', 'BFS', 'Algorithms', 'DFS', 'Prim']"
UCT MCTS,16,12,None,100,1200,845,845,845,3.1813,8.0839,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Undirected', 'Weight', 'BFS', 'Directed', 'Algorithms', 'DFS', 'Prim']"
UCT MCTS,17,12,None,100,1200,746,746,746,3.5252,8.0819,"['GPL', 'GraphType', 'Directed', 'Undirected', 'Driver', 'Search', 'Benchmark', 'Weight', 'Algorithms', 'BFS', 'DFS', 'CC']"
