Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,3,None,100,200,153,153,0,13.2477,0.6811,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,2,3,None,100,200,170,170,0,14.7497,0.7709,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,3,3,None,100,200,153,153,0,13.6513,0.7497,"['FQAs', 'Security', 'Non_Repudiation']"
Flat Monte Carlo,4,3,None,100,200,172,172,0,14.4348,0.8026,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,5,3,None,100,200,173,173,0,15.3527,0.8395,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,6,3,None,100,200,157,157,0,13.4194,0.8183,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,7,3,None,100,200,165,165,0,14.8277,0.822,"['FQAs', 'Security', 'Confidentiality']"
Flat Monte Carlo,8,3,None,100,200,166,166,0,14.8321,0.8404,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,9,3,None,100,200,160,160,0,14.1842,0.8296,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,10,3,None,100,200,159,159,0,13.6172,0.8302,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,11,3,None,100,200,157,157,0,13.8623,0.8336,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,12,3,None,100,200,153,153,0,13.2366,0.8399,"['FQAs', 'Security', 'Confidentiality']"
Flat Monte Carlo,13,3,None,100,200,158,158,0,13.5911,0.8624,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,14,3,None,100,200,160,160,0,14.0909,0.8822,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,15,3,None,100,200,149,149,0,13.3628,0.8653,"['FQAs', 'Security', 'Confidentiality']"
Flat Monte Carlo,16,3,None,100,200,160,160,0,13.7861,0.9133,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,17,3,None,100,200,156,156,0,13.9647,0.919,"['FQAs', 'Security', 'Non_Repudiation']"
Flat Monte Carlo,18,3,None,100,200,161,161,0,14.2797,0.94,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,19,3,None,100,200,170,170,0,14.7688,0.9869,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,20,3,None,100,200,155,155,0,14.1082,0.9657,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,21,3,None,100,200,142,142,0,12.3905,0.937,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,22,3,None,100,200,157,157,0,13.745,0.9886,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,23,3,None,100,200,163,163,0,14.2173,1.0185,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,24,3,None,100,200,164,164,0,14.9692,1.0416,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,25,3,None,100,200,157,157,0,13.638,1.0293,"['FQAs', 'Security', 'Non_Repudiation']"
Flat Monte Carlo,26,3,None,100,200,165,165,0,14.6117,1.0732,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,27,3,None,100,200,152,152,0,12.9677,1.052,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,28,3,None,100,200,153,153,0,12.8342,1.0421,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,29,3,None,100,200,162,162,0,14.521,1.1019,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,30,3,None,100,200,161,161,0,14.1727,1.1011,"['FQAs', 'ContextAwareness', 'UserAware']"
