Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,131,None,0,0,0,0,0,0.0887,0.5502,"['FQAs', 'Persistence', 'FileStorage', 'TemporalFile', 'Usability', 'FileType', 'ExecutionControl', 'FileStorageImplementations', 'Internationalization', 'ContextAwareness', 'Locale', 'Shortcuts', 'UserAware', 'JavaIO', 'Binary', 'LocationAware', 'DatabaseStorage', 'EnvironmentAware', 'DatabaseType', 'GPS', 'ContextualHelp', 'ExecutionControl_1', 'ContextualHelpOperations', 'Feedback', 'HelpType', 'ProgressFeedback', 'SecureDatabase', 'GoBack', 'Performance', 'TimeAware', 'Logging', 'Handler', 'HistoryLog', 'AuthenticatedUser', 'DeviceAware', 'DatabaseStorageImplementations', 'Relational', 'UserType', 'InteractionFeedback', 'FileLog', 'MySQL', 'Format', 'SystemStatusDisplay', 'LoggingOperations', 'XML', 'Undo', 'BatteryStatus', 'DataType', 'Wizard', 'Alerts', 'Strings', 'IRSensor', 'FileStorageOperations', 'Level', 'Floats', 'ModifyFile', 'WiFiLocation', 'Expert', 'ErrorLog', 'Log', 'CypheredMessages', 'Error', 'Advanced', 'ShowHelp', 'Beginner', 'Intermediate', 'TraceFile', 'ContextualHelpImplementations', 'Debug', 'Redo', 'Integers', 'Tutorial', 'Caching', 'Info', 'Cancel', 'CachingOperations', 'DatabaseStorageOperations', 'JavaWizardAPI', 'CacheUpdate', 'MaxSizeCache', 'EternalObjects', 'Warning', 'Objects', 'MaxLifeSeconds', 'Security', 'Store', 'CachingImplementations', 'LoggingImplementations', 'Non_Repudiation', 'Caffeine', 'Encryption', 'JavaUtilLogging', 'CacheType', 'KeySize', 'Privacy', 'EncryptionImplementations', 'EncryptionAlgorithms', 'Authentication', 'AuthenticationOperations', 'Symmetric', 'DESede', 'AnonymousUser', 'Integrity', 'Trace', 'LimitedSession', 'Mode', 'AuthenticationMechanism', 'AuthenticationLogging', 'DigitalCertificate', 'Hashing', 'HashingImplementations', 'CFB', 'PasswordLength', 'RemoteCache', 'Authenticate', 'Padding', 'HashingAlgorithms', 'SHA256', 'Guava', 'PasswordType', 'Confidentiality', 'BouncyCastle', 'OAEP', 'AuthenticationImplementations', 'EncryptionOperations', 'SpecialChars', 'JAAS', 'Encrypt', 'HashingOperations', 'PseudonymousCertificate', 'Hash']"
Random strategy,2,130,None,0,0,0,0,0,0.0996,1.1087,"['FQAs', 'Usability', 'ExecutionControl', 'ContextualHelp', 'Internationalization', 'Feedback', 'Logging', 'ContextualHelpImplementations', 'HistoryLog', 'ContextualHelpOperations', 'Performance', 'ProgressFeedback', 'InteractionFeedback', 'AuthenticatedUser', 'ContextAwareness', 'Locale', 'DeviceAware', 'Shortcuts', 'UserType', 'Format', 'LoggingImplementations', 'CypheredMessages', 'XML', 'BatteryStatus', 'HelpType', 'Caching', 'Expert', 'ErrorLog', 'SystemStatusDisplay', 'ShowHelp', 'CachingImplementations', 'JavaUtilLogging', 'Wizard', 'Level', 'Intermediate', 'ExecutionControl_1', 'CacheType', 'JavaWizardAPI', 'Error', 'TraceFile', 'Info', 'EternalObjects', 'EnvironmentAware', 'Advanced', 'Caffeine', 'Security', 'Trace', 'MaxSizeCache', 'Warning', 'Cancel', 'Redo', 'Handler', 'Alerts', 'Debug', 'Tutorial', 'Privacy', 'CachingOperations', 'Non_Repudiation', 'UserAware', 'Encryption', 'EncryptionOperations', 'Persistence', 'DatabaseStorage', 'EncryptionImplementations', 'DatabaseType', 'LocalCache', 'KeySize', 'Authentication', 'FileLog', 'CacheUpdate', 'PasswordType', 'Padding', 'SpecialChars', 'Decrypt', 'DatabaseStorageImplementations', 'AuthenticationOperations', 'AuthenticationLogging', 'Confidentiality', 'Undo', 'TimeAware', 'LoggingOperations', 'DataType', 'Objects', 'Hashing', 'Integrity', 'JavaxCrypto', 'Integers', 'Authenticate', 'Strings', 'OAEP', 'Relational', 'EncryptionAlgorithms', 'FileStorage', 'DatabaseStorageOperations', 'MongoDB', 'FileStorageImplementations', 'AnonymousUser', 'AuthenticationMechanism', 'SocialID', 'Mode', 'LimitedSession', 'GoBack', 'Floats', 'HashingImplementations', 'Store', 'CTS', 'Beginner', 'JavaIO', 'MaxLifeSeconds', 'FileType', 'Asymmetric', 'FileStorageOperations', 'RSA', 'CreateFile', 'AuthenticationImplementations', 'LocationAware', 'PasswordLength', 'SpringSecurity', 'TXTFile', 'WiFiLocation', 'JavaSecurityMessageDigest', 'SecureDatabase', 'HashingAlgorithms', 'SHA1', 'TemporalFile', 'IRSensor', 'Log', 'GPS', 'HashingOperations', 'Hash']"
Random strategy,3,14,None,0,0,0,0,0,0.0019,1.1578,"['FQAs', 'Performance', 'ContextAwareness', 'Caching', 'EternalObjects', 'CacheType', 'MaxLifeSeconds', 'MaxSizeCache', 'EnvironmentAware', 'CachingOperations', 'LocalCache', 'CachingImplementations', 'JavaCachingSystem', 'CacheUpdate']"
Random strategy,4,130,None,0,0,0,0,0,0.0994,1.7121,"['FQAs', 'Persistence', 'Performance', 'Caching', 'CachingOperations', 'EternalObjects', 'CacheType', 'MaxSizeCache', 'Security', 'CacheQuery', 'Usability', 'FileStorage', 'DatabaseStorage', 'Feedback', 'Internationalization', 'ContextualHelp', 'TemporalFile', 'SystemStatusDisplay', 'InteractionFeedback', 'FileType', 'ContextAwareness', 'JSONFile', 'CachingImplementations', 'LocalCache', 'DatabaseStorageImplementations', 'MongoDB', 'ContextualHelpOperations', 'MaxLifeSeconds', 'Encryption', 'DatabaseStorageOperations', 'AuthenticatedUser', 'ShowHelp', 'EncryptionImplementations', 'UserAware', 'JavaCachingSystem', 'FileStorageOperations', 'EncryptionAlgorithms', 'DeviceAware', 'FileStorageImplementations', 'LocationAware', 'HelpType', 'CreateFile', 'BatteryStatus', 'BouncyCastle', 'Locale', 'DatabaseType', 'Confidentiality', 'IRSensor', 'ProgressFeedback', 'Privacy', 'Integrity', 'Query', 'Padding', 'GPS', 'Mode', 'ECB', 'DataType', 'PKCS5', 'Hashing', 'JavaIO', 'WiFiLocation', 'Alerts', 'Integers', 'HashingOperations', 'ContextualHelpImplementations', 'NoSQL', 'Objects', 'KeySize', 'Wizard', 'HashingImplementations', 'Non_Repudiation', 'Tutorial', 'EnvironmentAware', 'Guava', 'Logging', 'HistoryLog', 'Hash', 'EncryptionOperations', 'SecureDatabase', 'TimeAware', 'Level', 'HashingAlgorithms', 'SHA256', 'Encrypt', 'ErrorLog', 'LoggingImplementations', 'UserType', 'Advanced', 'JavaWizardAPI', 'Authentication', 'Intermediate', 'AuthenticationLogging', 'LoggingOperations', 'SimpleImplementationSLF4J', 'AnonymousUser', 'PasswordLength', 'Asymmetric', 'RSA', 'CypheredMessages', 'Info', 'Expert', 'Trace', 'AuthenticationImplementations', 'Strings', 'ExecutionControl', 'PasswordType', 'Handler', 'ExecutionControl_1', 'AuthenticationMechanism', 'Floats', 'SpecialChars', 'Warning', 'SocialID', 'Redo', 'ConsoleLog', 'Undo', 'GoBack', 'Shortcuts', 'Beginner', 'SpringSecurity', 'Format', 'TraceFile', 'LimitedSession', 'Cancel', 'Debug', 'JSON', 'Log', 'Error', 'AuthenticationOperations', 'Authenticate']"
Random strategy,5,128,None,0,0,0,0,0,0.1115,2.2609,"['FQAs', 'Persistence', 'FileStorage', 'DatabaseStorage', 'DataType', 'Objects', 'Strings', 'DatabaseStorageOperations', 'Query', 'FileType', 'Usability', 'Security', 'TXTFile', 'ContextualHelp', 'Non_Repudiation', 'DatabaseStorageImplementations', 'Integrity', 'ContextualHelpImplementations', 'OracleDB', 'Performance', 'ExecutionControl', 'DatabaseType', 'Relational', 'Logging', 'Authentication', 'FileStorageOperations', 'Shortcuts', 'ModifyFile', 'Internationalization', 'ContextAwareness', 'LoggingImplementations', 'JavaUtilLogging', 'ErrorLog', 'Caching', 'ExecutionControl_1', 'HistoryLog', 'JavaWizardAPI', 'Format', 'FileStorageImplementations', 'MaxSizeCache', 'UserAware', 'JavaIO', 'UserType', 'Hashing', 'Encryption', 'TraceFile', 'TemporalFile', 'Beginner', 'TXT', 'DeviceAware', 'MaxLifeSeconds', 'Padding', 'HashingOperations', 'Cancel', 'Mode', 'Expert', 'CacheType', 'HelpType', 'EncryptionOperations', 'PasswordType', 'PKCS5', 'AuthenticationImplementations', 'Feedback', 'CypheredMessages', 'CachingImplementations', 'Integers', 'Alerts', 'JAAS', 'Undo', 'KeySize', 'LoggingOperations', 'Confidentiality', 'LimitedSession', 'EncryptionAlgorithms', 'Intermediate', 'HashingImplementations', 'AuthenticationMechanism', 'Numeric', 'PasswordLength', 'Floats', 'ECB', 'IRSensor', 'Symmetric', 'LocalCache', 'Caffeine', 'GoBack', 'EnvironmentAware', 'Pin', 'Tutorial', 'LocationAware', 'EncryptionImplementations', 'DESede', 'Advanced', 'EternalObjects', 'SecureDatabase', 'BouncyCastle', 'JavaSecurityMessageDigest', 'HashingAlgorithms', 'MD5', 'Level', 'Decrypt', 'Error', 'AnonymousUser', 'TimeAware', 'AuthenticationOperations', 'Privacy', 'ProgressFeedback', 'Authenticate', 'Hash', 'Log', 'Warning', 'Handler', 'Locale', 'BatteryStatus', 'FileLog', 'WiFiLocation', 'ContextualHelpOperations', 'AuthenticationLogging', 'SystemStatusDisplay', 'ShowHelp', 'Debug', 'GPS', 'Info', 'Trace', 'Wizard', 'InteractionFeedback', 'CachingOperations', 'CacheQuery']"
Random strategy,6,129,None,0,0,0,0,0,0.0843,2.7977,"['FQAs', 'Security', 'Authentication', 'Performance', 'AuthenticationMechanism', 'Non_Repudiation', 'ContextAwareness', 'UserPassword', 'Hashing', 'AuthenticationImplementations', 'PasswordType', 'Privacy', 'AuthenticationOperations', 'Integrity', 'Alphanumeric', 'HashingImplementations', 'DeviceAware', 'PasswordLength', 'IRSensor', 'TimeAware', 'LocationAware', 'Encryption', 'HashingAlgorithms', 'WiFiLocation', 'UserAware', 'Confidentiality', 'EncryptionAlgorithms', 'Persistence', 'LimitedSession', 'MD5', 'Mode', 'Symmetric', 'GPS', 'FileStorage', 'TemporalFile', 'CTS', 'DatabaseStorage', 'DatabaseStorageImplementations', 'SpringSecurity', 'DESede', 'DataType', 'FileStorageImplementations', 'SecureDatabase', 'FileType', 'MySQL', 'EncryptionImplementations', 'BouncyCastle', 'AnonymousUser', 'KeySize', 'BatteryStatus', 'TXTFile', 'Strings', 'Integers', 'DatabaseType', 'DatabaseStorageOperations', 'Guava', 'Authenticate', 'Store', 'Floats', 'EnvironmentAware', 'FileStorageOperations', 'JavaIO', 'HashingOperations', 'NoSQL', 'Usability', 'ContextualHelp', 'CreateFile', 'Internationalization', 'Hash', 'Caching', 'EncryptionOperations', 'ContextualHelpOperations', 'AuthenticatedUser', 'EternalObjects', 'ShowHelp', 'CachingOperations', 'CacheType', 'ExecutionControl', 'ExecutionControl_1', 'MaxLifeSeconds', 'Encrypt', 'ContextualHelpImplementations', 'JavaWizardAPI', 'Padding', 'MaxSizeCache', 'LocalCache', 'OAEP', 'CacheUpdate', 'UserType', 'Redo', 'HelpType', 'Intermediate', 'Advanced', 'AuthenticationLogging', 'Undo', 'Wizard', 'CachingImplementations', 'Logging', 'Locale', 'ErrorLog', 'Beginner', 'JavaCachingSystem', 'Tutorial', 'Feedback', 'Shortcuts', 'TraceFile', 'InteractionFeedback', 'LoggingOperations', 'GoBack', 'CypheredMessages', 'Log', 'Handler', 'Level', 'Info', 'SystemStatusDisplay', 'HistoryLog', 'Cancel', 'Trace', 'ConsoleLog', 'Debug', 'Expert', 'Alerts', 'ProgressFeedback', 'Format', 'Objects', 'LoggingImplementations', 'JSON', 'Error', 'Log4J']"
Random strategy,7,130,None,0,0,0,0,0,0.0927,3.3414,"['FQAs', 'Performance', 'Security', 'Integrity', 'Hashing', 'Authentication', 'HashingAlgorithms', 'AuthenticationImplementations', 'Non_Repudiation', 'SpringSecurity', 'Persistence', 'LimitedSession', 'AuthenticationOperations', 'MD5', 'AuthenticationLogging', 'DatabaseStorage', 'DatabaseType', 'PasswordType', 'Authenticate', 'FileStorage', 'Alphanumeric', 'FileType', 'Relational', 'HashingImplementations', 'DataType', 'Objects', 'PasswordLength', 'HashingOperations', 'ContextAwareness', 'AuthenticationMechanism', 'FileStorageOperations', 'Pin', 'Strings', 'JavaSecurityMessageDigest', 'XMLFile', 'DeviceAware', 'SecureDatabase', 'DeleteFile', 'LocationAware', 'TemporalFile', 'WiFiLocation', 'BatteryStatus', 'Integers', 'AnonymousUser', 'Floats', 'Caching', 'Usability', 'CachingImplementations', 'Confidentiality', 'FileStorageImplementations', 'Internationalization', 'TimeAware', 'ContextualHelp', 'AuthenticatedUser', 'IRSensor', 'GPS', 'MaxLifeSeconds', 'Encryption', 'Locale', 'ContextualHelpOperations', 'Caffeine', 'EncryptionOperations', 'UserAware', 'Logging', 'CacheType', 'EnvironmentAware', 'LoggingOperations', 'Level', 'Privacy', 'CachingOperations', 'Info', 'DatabaseStorageOperations', 'LocalCache', 'Decrypt', 'EncryptionImplementations', 'Error', 'CacheUpdate', 'DatabaseStorageImplementations', 'UserType', 'OracleDB', 'Hash', 'Query', 'CypheredMessages', 'MaxSizeCache', 'HelpType', 'ContextualHelpImplementations', 'Tutorial', 'JavaxCrypto', 'ErrorLog', 'Trace', 'KeySize', 'Format', 'TraceFile', 'JSON', 'Feedback', 'Alerts', 'Expert', 'LoggingImplementations', 'Debug', 'ProgressFeedback', 'JavaUtilLogging', 'Wizard', 'Mode', 'Handler', 'CFB', 'HistoryLog', 'JavaIO', 'ConsoleLog', 'Padding', 'SystemStatusDisplay', 'InteractionFeedback', 'Advanced', 'EternalObjects', 'EncryptionAlgorithms', 'Beginner', 'Log', 'ExecutionControl', 'OAEP', 'Shortcuts', 'ExecutionControl_1', 'Redo', 'ShowHelp', 'Asymmetric', 'Warning', 'DSA', 'Undo', 'Cancel', 'GoBack', 'Intermediate', 'JavaWizardAPI']"
Random strategy,8,130,None,0,0,0,0,0,0.0952,3.8867,"['FQAs', 'Persistence', 'Performance', 'DatabaseStorage', 'ContextAwareness', 'DatabaseStorageImplementations', 'EnvironmentAware', 'Caching', 'DatabaseType', 'UserAware', 'Security', 'Confidentiality', 'Relational', 'Usability', 'CachingImplementations', 'TimeAware', 'CacheType', 'JavaCachingSystem', 'DeviceAware', 'CachingOperations', 'Feedback', 'EternalObjects', 'Privacy', 'OracleDB', 'ExecutionControl', 'SecureDatabase', 'DataType', 'ContextualHelp', 'ExecutionControl_1', 'Internationalization', 'Integrity', 'HelpType', 'Integers', 'MaxLifeSeconds', 'Non_Repudiation', 'Undo', 'SystemStatusDisplay', 'Objects', 'Redo', 'BatteryStatus', 'LocalCache', 'DatabaseStorageOperations', 'FileStorage', 'Cancel', 'ContextualHelpOperations', 'MaxSizeCache', 'IRSensor', 'ContextualHelpImplementations', 'Strings', 'FileType', 'UserType', 'Locale', 'TemporalFile', 'Wizard', 'Floats', 'Query', 'CacheQuery', 'Encryption', 'Shortcuts', 'Binary', 'Alerts', 'Expert', 'ProgressFeedback', 'KeySize', 'Hashing', 'EncryptionAlgorithms', 'JavaWizardAPI', 'Symmetric', 'DES', 'Mode', 'CTS', 'Advanced', 'AuthenticatedUser', 'Logging', 'Authentication', 'AuthenticationLogging', 'PasswordLength', 'Beginner', 'EncryptionOperations', 'Intermediate', 'InteractionFeedback', 'ErrorLog', 'LimitedSession', 'FileStorageOperations', 'Handler', 'LoggingOperations', 'EncryptionImplementations', 'Encrypt', 'ModifyFile', 'BouncyCastle', 'GoBack', 'ConsoleLog', 'FileStorageImplementations', 'JavaIO', 'Format', 'HashingAlgorithms', 'CypheredMessages', 'AuthenticationMechanism', 'HTML', 'SHA256', 'Pin', 'Level', 'AuthenticationImplementations', 'AnonymousUser', 'LocationAware', 'Error', 'JAAS', 'LoggingImplementations', 'Trace', 'Debug', 'ShowHelp', 'JavaUtilLogging', 'AuthenticationOperations', 'Log', 'WiFiLocation', 'Authenticate', 'Tutorial', 'HistoryLog', 'TraceFile', 'HashingImplementations', 'HashingOperations', 'Info', 'GPS', 'Hash', 'JavaSecurityMessageDigest', 'Warning', 'PasswordType', 'Padding', 'SpecialChars', 'OAEP']"
Random strategy,9,129,None,0,0,0,0,0,0.1071,4.4401,"['FQAs', 'Usability', 'Internationalization', 'ExecutionControl', 'Shortcuts', 'Persistence', 'DatabaseStorage', 'Security', 'DataType', 'DatabaseStorageOperations', 'Non_Repudiation', 'Objects', 'ContextAwareness', 'UserAware', 'Authentication', 'Performance', 'Encryption', 'DatabaseType', 'ExecutionControl_1', 'Integrity', 'Caching', 'EternalObjects', 'Query', 'MaxLifeSeconds', 'LocationAware', 'Feedback', 'Integers', 'InteractionFeedback', 'Alerts', 'ContextualHelp', 'EncryptionOperations', 'CacheType', 'UserType', 'RemoteCache', 'LimitedSession', 'GoBack', 'Advanced', 'KeySize', 'Confidentiality', 'FileStorage', 'DeviceAware', 'AuthenticationLogging', 'Mode', 'Padding', 'PKCS5', 'Strings', 'CachingOperations', 'TimeAware', 'DatabaseStorageImplementations', 'Logging', 'Intermediate', 'ECB', 'CacheUpdate', 'ErrorLog', 'PasswordType', 'Cancel', 'MongoDB', 'Floats', 'Locale', 'AuthenticationMechanism', 'Numeric', 'MatrixCode', 'SecureDatabase', 'Beginner', 'Level', 'BatteryStatus', 'FileStorageImplementations', 'Info', 'TraceFile', 'Undo', 'AuthenticationOperations', 'CachingImplementations', 'TemporalFile', 'EncryptionImplementations', 'Redo', 'AnonymousUser', 'Decrypt', 'Debug', 'AuthenticatedUser', 'SystemStatusDisplay', 'Handler', 'ProgressFeedback', 'MaxSizeCache', 'Error', 'Hashing', 'LoggingImplementations', 'DatabaseLog', 'Log4J', 'Format', 'XML', 'EnvironmentAware', 'FileType', 'IRSensor', 'ContextualHelpOperations', 'ContextualHelpImplementations', 'NoSQL', 'Caffeine', 'JavaWizardAPI', 'Authenticate', 'HelpType', 'HashingOperations', 'EncryptionAlgorithms', 'GPS', 'BouncyCastle', 'FileStorageOperations', 'HashingAlgorithms', 'TXTFile', 'SHA256', 'HistoryLog', 'HashingImplementations', 'Expert', 'Asymmetric', 'ShowHelp', 'ModifyFile', 'Hash', 'LoggingOperations', 'Log', 'WiFiLocation', 'Privacy', 'ECDSA', 'Warning', 'PasswordLength', 'JavaIO', 'Tutorial', 'CypheredMessages', 'JavaSecurityMessageDigest', 'Trace', 'AuthenticationImplementations', 'JAAS']"
Random strategy,10,3,None,0,0,0,0,0,0.0003,4.4445,"['FQAs', 'ContextAwareness', 'UserAware']"
