Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,6,None,100,600,600,600,600,5.0871,13.8068,"['AAFMFramework', 'Interoperability', 'SPLOT', 'Metamodels', 'System', 'Win']"
Greedy MCTS,2,12,None,100,1200,1200,1200,1200,9.7891,35.6595,"['AAFMFramework', 'Packages', 'Interoperability', 'FeatureIDE', 'System', 'DepMng', 'wheel', 'Win', 'SPLOT', 'pip', 'setuptools', 'Metamodels']"
Greedy MCTS,3,7,None,100,700,700,700,700,4.9137,15.4775,"['AAFMFramework', 'Metamodels', 'DecisionModel', 'System', 'Interoperability', 'FeatureIDE', 'Win']"
Greedy MCTS,4,15,None,100,1500,1500,1500,1500,11.1563,47.7649,"['AAFMFramework', 'Packages', 'Metamodels', 'FeatureModel', 'Utils', 'System', 'ParserTechnology', 'Win', 'DepMng', 'APISolvers', 'pip', 'pybind11', 'setuptools', 'SimpleParse', 'satyrn']"
Greedy MCTS,5,17,None,100,1700,1700,1700,1700,12.5328,51.1479,"['AAFMFramework', 'Packages', 'Interoperability', 'System', 'DepMng', 'pip', 'Win', 'Utils', 'pkgresources', 'six', 'APISolvers', 'pybind11', 'SPLOT', 'setuptools', 'Metamodels', 'FeatureModel', 'pycosat']"
Greedy MCTS,6,4,None,100,400,400,400,400,3.1532,8.0464,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Greedy MCTS,7,18,None,100,1800,1800,1800,1800,14.7434,61.91,"['AAFMFramework', 'Packages', 'System', 'Utils', 'Win', 'DepMng', 'APISolvers', 'Interoperability', 'ParserTechnology', 'pycosat', 'satispy', 'pybind11', 'pip', 'antlr4python3runtime', 'setuptools', 'SimpleParse', 'Metamodels', 'SPLOT']"
Greedy MCTS,8,23,None,100,2300,2300,2300,2300,23.1575,76.5588,"['AAFMFramework', 'Metamodels', 'Interoperability', 'FeatureModel', 'Packages', 'Utils', 'FeatureIDE', 'CNFModel', 'DepMng', 'six', 'System', 'Win', 'APISolvers', 'pip', 'satispy', 'setuptools', 'DecisionModel', 'pybind11', 'pycryptosat', 'pythonsat', 'AutomatedReasoning', 'Solvers', 'CaDiCaL']"
Greedy MCTS,9,12,None,100,1200,1200,1200,1200,8.6671,34.3766,"['AAFMFramework', 'Packages', 'Metamodels', 'FeatureModel', 'Utils', 'System', 'DepMng', 'setuptools', 'pip', 'pkgresources', 'pybind11', 'Win']"
Greedy MCTS,10,4,None,100,400,400,400,400,2.9791,8.2207,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,11,7,None,100,700,700,700,700,5.9818,19.0994,"['AAFMFramework', 'Metamodels', 'Interoperability', 'SPLOT', 'System', 'FeatureModel', 'Win']"
Greedy MCTS,12,5,None,100,500,500,500,500,3.0308,13.7725,"['AAFMFramework', 'Metamodels', 'DecisionModel', 'System', 'Win']"
Greedy MCTS,13,4,None,100,400,400,400,400,3.1177,8.2455,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,14,4,None,100,400,400,400,400,2.7011,9.6021,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Greedy MCTS,15,4,None,100,400,400,400,400,2.9577,7.9517,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Greedy MCTS,16,6,None,100,600,600,600,600,4.3793,14.7166,"['AAFMFramework', 'Metamodels', 'DecisionModel', 'System', 'FeatureModel', 'Win']"
Greedy MCTS,17,4,None,100,400,400,400,400,2.8862,8.3397,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Greedy MCTS,18,4,None,100,400,400,400,400,2.6799,9.9134,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,19,6,None,100,600,600,600,600,4.2493,14.2754,"['AAFMFramework', 'Metamodels', 'DecisionModel', 'System', 'FeatureModel', 'Win']"
Greedy MCTS,20,18,None,100,1800,1800,1800,1800,15.0932,64.3828,"['AAFMFramework', 'Interoperability', 'FeatureIDE', 'Packages', 'Utils', 'DepMng', 'APISolvers', 'System', 'pip', 'pycryptosat', 'Win', 'pybind11', 'ParserTechnology', 'SPLOT', 'setuptools', 'six', 'SimpleParse', 'Metamodels']"
Greedy MCTS,21,10,None,100,1000,1000,1000,1000,6.3228,28.9899,"['AAFMFramework', 'Packages', 'System', 'Win', 'Metamodels', 'Utils', 'pybind11', 'DepMng', 'setuptools', 'pip']"
Greedy MCTS,22,4,None,100,400,400,400,400,2.8313,7.9046,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,23,4,None,100,400,400,400,400,2.8569,9.4643,"['AAFMFramework', 'System', 'Linux', 'Metamodels']"
Greedy MCTS,24,11,None,100,1100,1100,1100,1100,7.4074,31.723,"['AAFMFramework', 'Packages', 'Utils', 'System', 'DepMng', 'Win', 'pip', 'pkgresources', 'Metamodels', 'pybind11', 'setuptools']"
Greedy MCTS,25,26,None,100,2600,2600,2600,2600,28.061,80.6642,"['AAFMFramework', 'Interoperability', 'Metamodels', 'Packages', 'SPLOT', 'DepMng', 'Utils', 'DecisionModel', 'FeatureIDE', 'CNFModel', 'pkgresources', 'pip', 'System', 'FeatureModel', 'APISolvers', 'pycryptosat', 'pybind11', 'Win', 'setuptools', 'pylgl', 'wheel', 'six', 'pythonsat', 'AutomatedReasoning', 'Solvers', 'Glucose']"
Greedy MCTS,26,4,None,100,400,400,400,400,2.9333,10.7407,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Greedy MCTS,27,4,None,100,400,400,400,400,2.6925,9.3631,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Greedy MCTS,28,14,None,100,1400,1400,1400,1400,10.2964,43.4862,"['AAFMFramework', 'Metamodels', 'Packages', 'Utils', 'pybind11', 'DepMng', 'APISolvers', 'satispy', 'wheel', 'System', 'six', 'Win', 'setuptools', 'pip']"
Greedy MCTS,29,10,None,100,1000,1000,1000,1000,6.2899,31.4149,"['AAFMFramework', 'Packages', 'Metamodels', 'System', 'DepMng', 'Utils', 'pip', 'pybind11', 'Win', 'setuptools']"
Greedy MCTS,30,11,None,100,1100,1100,1100,1100,7.1615,33.1667,"['AAFMFramework', 'Packages', 'Utils', 'System', 'DepMng', 'setuptools', 'pkgresources', 'Win', 'pybind11', 'pip', 'Metamodels']"
