Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,4,None,100,400,400,400,400,2.9378,7.7861,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
UCT MCTS,2,4,None,100,400,400,400,400,2.685,7.9724,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
UCT MCTS,3,4,None,100,400,400,400,400,2.8835,8.1786,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
UCT MCTS,4,5,None,100,500,500,500,500,4.0761,10.5294,"['AAFMFramework', 'Metamodels', 'FeatureModel', 'System', 'Win']"
UCT MCTS,5,5,None,100,500,500,500,500,3.5213,11.3096,"['AAFMFramework', 'Metamodels', 'System', 'FeatureModel', 'Win']"
UCT MCTS,6,4,None,100,400,400,400,400,2.7646,11.3089,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
UCT MCTS,7,4,None,100,400,400,400,400,2.6316,8.7915,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
UCT MCTS,8,12,None,100,1200,1200,1200,1200,8.2368,33.7163,"['AAFMFramework', 'Packages', 'System', 'Utils', 'DepMng', 'pip', 'wheel', 'Win', 'pkgresources', 'setuptools', 'Metamodels', 'pybind11']"
UCT MCTS,9,4,None,100,400,400,400,400,3.249,33.7166,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
UCT MCTS,10,6,None,100,600,600,600,600,4.4919,13.5677,"['AAFMFramework', 'System', 'Win', 'Interoperability', 'FeatureIDE', 'Metamodels']"
UCT MCTS,11,4,None,100,400,400,400,400,2.8895,13.5669,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
UCT MCTS,12,13,None,100,1300,1300,1300,1300,9.7126,40.2684,"['AAFMFramework', 'System', 'Packages', 'Win', 'APISolvers', 'DepMng', 'Utils', 'Metamodels', 'wheel', 'satispy', 'pip', 'pybind11', 'setuptools']"
UCT MCTS,13,4,None,100,400,400,400,400,3.0754,40.2677,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
UCT MCTS,14,6,None,100,600,600,600,600,4.4723,13.5652,"['AAFMFramework', 'Metamodels', 'FeatureModel', 'System', 'DecisionModel', 'Win']"
UCT MCTS,15,4,None,100,400,400,400,400,2.9634,13.5645,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
UCT MCTS,16,4,None,100,400,400,400,400,3.2715,8.9041,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
UCT MCTS,17,15,None,100,1500,1500,1500,1500,11.2446,48.774,"['AAFMFramework', 'Metamodels', 'Packages', 'ParserTechnology', 'Utils', 'DepMng', 'wheel', 'System', 'Win', 'SimpleParse', 'APISolvers', 'pybind11', 'setuptools', 'pip', 'pydepqbf']"
UCT MCTS,18,12,None,100,1200,1200,1200,1200,8.4132,48.7733,"['AAFMFramework', 'Packages', 'System', 'APISolvers', 'DepMng', 'Utils', 'pip', 'Win', 'pybind11', 'setuptools', 'Metamodels', 'pyglucose']"
UCT MCTS,19,6,None,100,600,600,600,600,4.2515,42.5549,"['AAFMFramework', 'Metamodels', 'Interoperability', 'System', 'Win', 'FeatureIDE']"
UCT MCTS,20,5,None,100,500,500,500,500,3.8863,15.2736,"['AAFMFramework', 'Metamodels', 'System', 'FeatureModel', 'Win']"
UCT MCTS,21,13,None,100,1300,1300,1300,1300,9.5673,39.1712,"['AAFMFramework', 'System', 'Packages', 'Utils', 'Win', 'ParserTechnology', 'larkparser', 'pybind11', 'DepMng', 'antlr4python3runtime', 'setuptools', 'pip', 'Metamodels']"
UCT MCTS,22,12,None,100,1200,1200,1200,1200,8.4189,40.1649,"['AAFMFramework', 'Packages', 'DepMng', 'Metamodels', 'System', 'pip', 'Utils', 'ParserTechnology', 'setuptools', 'Win', 'pybind11', 'larkparser']"
UCT MCTS,23,6,None,100,600,600,600,600,4.2596,40.1647,"['AAFMFramework', 'Interoperability', 'System', 'FeatureIDE', 'Metamodels', 'Win']"
UCT MCTS,24,9,None,100,900,900,900,900,8.3511,24.6614,"['AAFMFramework', 'Interoperability', 'Metamodels', 'SPLOT', 'DecisionModel', 'System', 'FeatureIDE', 'FeatureModel', 'Win']"
UCT MCTS,25,6,None,100,600,600,600,600,4.9868,24.6601,"['AAFMFramework', 'Interoperability', 'System', 'Metamodels', 'Win', 'FeatureIDE']"
UCT MCTS,26,5,None,100,500,500,500,500,3.6559,13.7888,"['AAFMFramework', 'Metamodels', 'DecisionModel', 'System', 'Win']"
UCT MCTS,27,6,None,100,600,600,600,600,4.2234,14.1188,"['AAFMFramework', 'Interoperability', 'System', 'Win', 'Metamodels', 'SPLOT']"
UCT MCTS,28,10,None,100,1000,1000,1000,1000,7.3966,27.1409,"['AAFMFramework', 'Metamodels', 'Packages', 'DecisionModel', 'System', 'Win', 'DepMng', 'wheel', 'pip', 'setuptools']"
UCT MCTS,29,7,None,100,700,700,700,700,5.3063,27.1397,"['AAFMFramework', 'Interoperability', 'Metamodels', 'System', 'Win', 'FeatureModel', 'SPLOT']"
UCT MCTS,30,4,None,100,400,400,400,400,2.5022,16.6681,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
