Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,14,None,100,1300,581,581,0,1.3812,0.9698,"['JHipster', 'InternationalizationSupport', 'Authentication', 'Uaa', 'BackEnd', 'Database', 'Cassandra', 'Gradle', 'Generator', 'Server', 'TestingFrameworks', 'MicroserviceApplication', 'Gatling', 'Cucumber']"
Flat Monte Carlo,2,18,None,100,1700,821,821,0,1.9575,1.3974,"['JHipster', 'Authentication', 'InternationalizationSupport', 'JWT', 'ClusteredSession', 'BackEnd', 'Libsass', 'Maven', 'SpringWebSockets', 'Database', 'Cassandra', 'TestingFrameworks', 'Generator', 'Protractor', 'Application', 'Monolithic', 'Gatling', 'Cucumber']"
Flat Monte Carlo,3,14,None,100,1300,576,576,0,1.2284,1.3923,"['JHipster', 'Database', 'Docker', 'Cassandra', 'Authentication', 'Generator', 'Server', 'Uaa', 'TestingFrameworks', 'Cucumber', 'MicroserviceApplication', 'Gatling', 'BackEnd', 'Maven']"
Flat Monte Carlo,4,14,None,100,1300,754,754,0,1.3056,1.345,"['JHipster', 'Generator', 'Server', 'Docker', 'TestingFrameworks', 'Database', 'Cassandra', 'BackEnd', 'Authentication', 'Cucumber', 'Gatling', 'MicroserviceApplication', 'JWT', 'Gradle']"
Flat Monte Carlo,5,12,None,100,1100,809,809,0,1.384,1.4659,"['JHipster', 'Generator', 'Authentication', 'Server', 'MicroserviceApplication', 'InternationalizationSupport', 'TestingFrameworks', 'Cucumber', 'BackEnd', 'Maven', 'Gatling', 'JWT']"
Flat Monte Carlo,6,15,None,100,1400,991,991,0,1.5598,1.7671,"['JHipster', 'ClusteredSession', 'Database', 'Cassandra', 'Authentication', 'BackEnd', 'Generator', 'TestingFrameworks', 'JWT', 'Protractor', 'Gatling', 'Application', 'Cucumber', 'Maven', 'MicroserviceGateway']"
Flat Monte Carlo,7,18,None,100,1700,909,909,0,1.8731,1.7623,"['JHipster', 'SpringWebSockets', 'Generator', 'Docker', 'Libsass', 'InternationalizationSupport', 'Database', 'Cassandra', 'BackEnd', 'TestingFrameworks', 'Application', 'Maven', 'Authentication', 'Monolithic', 'Cucumber', 'Protractor', 'Gatling', 'JWT']"
Flat Monte Carlo,8,15,None,100,1300,596,596,0,1.3779,1.6682,"['JHipster', 'Generator', 'Server', 'UaaServer', 'Docker', 'TestingFrameworks', 'InternationalizationSupport', 'Gatling', 'Database', 'MongoDB', 'Authentication', 'Uaa', 'Cucumber', 'BackEnd', 'Gradle']"
Flat Monte Carlo,9,13,None,100,1200,572,572,0,1.1748,1.2122,"['JHipster', 'Database', 'Authentication', 'Cassandra', 'Generator', 'Server', 'MicroserviceApplication', 'JWT', 'BackEnd', 'TestingFrameworks', 'Maven', 'Gatling', 'Cucumber']"
Flat Monte Carlo,10,12,None,100,1100,780,780,0,1.3847,1.5666,"['JHipster', 'Docker', 'Generator', 'Server', 'TestingFrameworks', 'Cucumber', 'Gatling', 'Authentication', 'MicroserviceApplication', 'JWT', 'BackEnd', 'Gradle']"
Flat Monte Carlo,11,13,None,100,1200,596,596,0,1.1073,1.5616,"['JHipster', 'Database', 'MongoDB', 'Generator', 'Server', 'Authentication', 'TestingFrameworks', 'JWT', 'BackEnd', 'Cucumber', 'MicroserviceApplication', 'Gatling', 'Gradle']"
Flat Monte Carlo,12,14,None,100,1300,697,697,0,1.2408,1.4739,"['JHipster', 'Generator', 'Server', 'Database', 'Docker', 'MongoDB', 'TestingFrameworks', 'BackEnd', 'Authentication', 'Cucumber', 'Gatling', 'Maven', 'MicroserviceApplication', 'JWT']"
Flat Monte Carlo,13,14,None,100,1300,735,735,0,1.4262,1.5736,"['JHipster', 'Generator', 'Server', 'Authentication', 'Docker', 'UaaServer', 'TestingFrameworks', 'BackEnd', 'Gatling', 'Database', 'MongoDB', 'Gradle', 'Cucumber', 'Uaa']"
Flat Monte Carlo,14,17,None,100,1600,877,877,0,1.6284,1.8232,"['JHipster', 'Libsass', 'SpringWebSockets', 'Database', 'Cassandra', 'InternationalizationSupport', 'TestingFrameworks', 'Authentication', 'Generator', 'JWT', 'Gatling', 'Cucumber', 'Protractor', 'Application', 'BackEnd', 'MicroserviceGateway', 'Maven']"
Flat Monte Carlo,15,11,None,100,1000,729,729,0,1.2657,1.8169,"['JHipster', 'Authentication', 'Generator', 'Server', 'JWT', 'TestingFrameworks', 'BackEnd', 'MicroserviceApplication', 'Gatling', 'Maven', 'Cucumber']"
Flat Monte Carlo,16,17,None,100,1600,779,779,0,1.7493,1.7273,"['JHipster', 'Docker', 'Authentication', 'InternationalizationSupport', 'SpringWebSockets', 'Uaa', 'BackEnd', 'Database', 'Cassandra', 'Generator', 'TestingFrameworks', 'Application', 'Gatling', 'Gradle', 'Protractor', 'Cucumber', 'MicroserviceGateway']"
Flat Monte Carlo,17,12,None,100,1100,770,770,0,1.3032,1.741,"['JHipster', 'Generator', 'Server', 'MicroserviceApplication', 'TestingFrameworks', 'InternationalizationSupport', 'BackEnd', 'Authentication', 'Gradle', 'JWT', 'Gatling', 'Cucumber']"
Flat Monte Carlo,18,13,None,100,1200,810,810,0,1.5134,1.8346,"['JHipster', 'Docker', 'BackEnd', 'Generator', 'Server', 'TestingFrameworks', 'Authentication', 'Maven', 'InternationalizationSupport', 'JWT', 'Gatling', 'MicroserviceApplication', 'Cucumber']"
