Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,20,None,0,0,0,0,0,0.0018,0.0355,"['JHipster', 'Authentication', 'TestingFrameworks', 'JWT', 'Cucumber', 'SocialLogin', 'Gatling', 'InternationalizationSupport', 'ClusteredSession', 'Database', 'BackEnd', 'Libsass', 'Docker', 'Gradle', 'Protractor', 'MongoDB', 'Generator', 'SpringWebSockets', 'Application', 'Monolithic']"
Random strategy,2,20,None,0,0,0,0,0,0.0019,0.0782,"['JHipster', 'Generator', 'TestingFrameworks', 'Docker', 'Authentication', 'InternationalizationSupport', 'HTTPSession', 'ClusteredSession', 'SpringWebSockets', 'BackEnd', 'Gradle', 'Libsass', 'Gatling', 'Database', 'MongoDB', 'Protractor', 'Application', 'Cucumber', 'SocialLogin', 'Monolithic']"
Random strategy,3,20,None,0,0,0,0,0,0.0016,0.1167,"['JHipster', 'Libsass', 'TestingFrameworks', 'InternationalizationSupport', 'ClusteredSession', 'Protractor', 'Generator', 'Gatling', 'Cucumber', 'Application', 'Docker', 'Database', 'SocialLogin', 'Monolithic', 'MongoDB', 'BackEnd', 'Gradle', 'SpringWebSockets', 'Authentication', 'HTTPSession']"
Random strategy,4,27,None,0,0,0,0,0,0.0026,0.1682,"['JHipster', 'Libsass', 'TestingFrameworks', 'Authentication', 'SocialLogin', 'SpringWebSockets', 'HTTPSession', 'Cucumber', 'Docker', 'BackEnd', 'ClusteredSession', 'Gatling', 'Protractor', 'InternationalizationSupport', 'Database', 'SQL', 'Maven', 'Production', 'PostgreSQL', 'Generator', 'Application', 'ElasticSearch', 'Development', 'PostgreSQLDev', 'Hibernate2ndLvlCache', 'HazelCast', 'Monolithic']"
Random strategy,5,18,None,0,0,0,0,0,0.0018,0.2013,"['JHipster', 'SpringWebSockets', 'TestingFrameworks', 'Authentication', 'Database', 'Cassandra', 'Protractor', 'Uaa', 'BackEnd', 'Generator', 'Docker', 'Gatling', 'Application', 'InternationalizationSupport', 'MicroserviceGateway', 'Cucumber', 'ClusteredSession', 'Maven']"
Random strategy,6,19,None,0,0,0,0,0,0.0016,0.2399,"['JHipster', 'Authentication', 'OAuth2', 'Database', 'MongoDB', 'BackEnd', 'Maven', 'ClusteredSession', 'SpringWebSockets', 'Docker', 'Generator', 'TestingFrameworks', 'Application', 'Protractor', 'InternationalizationSupport', 'Cucumber', 'Libsass', 'Monolithic', 'Gatling']"
Random strategy,7,20,None,0,0,0,0,0,0.0017,0.2784,"['JHipster', 'SocialLogin', 'Database', 'ClusteredSession', 'Generator', 'MongoDB', 'SpringWebSockets', 'Application', 'Monolithic', 'Docker', 'Authentication', 'JWT', 'BackEnd', 'Libsass', 'Gradle', 'TestingFrameworks', 'InternationalizationSupport', 'Cucumber', 'Protractor', 'Gatling']"
Random strategy,8,19,None,0,0,0,0,0,0.0016,0.3156,"['JHipster', 'Database', 'Libsass', 'Cassandra', 'InternationalizationSupport', 'Docker', 'TestingFrameworks', 'BackEnd', 'Generator', 'Gatling', 'Protractor', 'Authentication', 'ClusteredSession', 'Uaa', 'SpringWebSockets', 'Maven', 'Application', 'Cucumber', 'MicroserviceGateway']"
Random strategy,9,20,None,0,0,0,0,0,0.0018,0.3542,"['JHipster', 'Docker', 'SocialLogin', 'TestingFrameworks', 'Authentication', 'Database', 'BackEnd', 'Maven', 'Gatling', 'MongoDB', 'ClusteredSession', 'Protractor', 'HTTPSession', 'Cucumber', 'Libsass', 'InternationalizationSupport', 'SpringWebSockets', 'Generator', 'Application', 'Monolithic']"
Random strategy,10,26,None,0,0,0,0,0,0.003,0.4046,"['JHipster', 'Docker', 'Authentication', 'TestingFrameworks', 'OAuth2', 'Libsass', 'BackEnd', 'Generator', 'Application', 'Database', 'Maven', 'Monolithic', 'SQL', 'SpringWebSockets', 'Cucumber', 'Protractor', 'Gatling', 'ClusteredSession', 'Hibernate2ndLvlCache', 'ElasticSearch', 'Development', 'Production', 'InternationalizationSupport', 'MariaDBDev', 'MariaDB', 'HazelCast']"
Random strategy,11,20,None,0,0,0,0,0,0.0015,0.4431,"['JHipster', 'ClusteredSession', 'SpringWebSockets', 'TestingFrameworks', 'SocialLogin', 'InternationalizationSupport', 'Docker', 'Authentication', 'BackEnd', 'Libsass', 'Gradle', 'Gatling', 'HTTPSession', 'Cucumber', 'Protractor', 'Database', 'Generator', 'Application', 'Monolithic', 'MongoDB']"
Random strategy,12,20,None,0,0,0,0,0,0.0017,0.4819,"['JHipster', 'Libsass', 'BackEnd', 'SpringWebSockets', 'Docker', 'TestingFrameworks', 'Generator', 'SocialLogin', 'Gradle', 'Gatling', 'Protractor', 'Application', 'Authentication', 'HTTPSession', 'InternationalizationSupport', 'ClusteredSession', 'Cucumber', 'Monolithic', 'Database', 'MongoDB']"
Random strategy,13,15,None,0,0,0,0,0,0.0013,0.5088,"['JHipster', 'Generator', 'Server', 'BackEnd', 'Gradle', 'UaaServer', 'InternationalizationSupport', 'Database', 'Docker', 'Authentication', 'Cassandra', 'TestingFrameworks', 'Uaa', 'Cucumber', 'Gatling']"
Random strategy,14,20,None,0,0,0,0,0,0.0017,0.5492,"['JHipster', 'Authentication', 'SocialLogin', 'BackEnd', 'JWT', 'InternationalizationSupport', 'Database', 'Gradle', 'MongoDB', 'Libsass', 'SpringWebSockets', 'ClusteredSession', 'Generator', 'TestingFrameworks', 'Protractor', 'Cucumber', 'Docker', 'Gatling', 'Application', 'Monolithic']"
Random strategy,15,20,None,0,0,0,0,0,0.0018,0.5878,"['JHipster', 'Authentication', 'HTTPSession', 'SpringWebSockets', 'BackEnd', 'TestingFrameworks', 'Maven', 'InternationalizationSupport', 'Generator', 'Libsass', 'ClusteredSession', 'Docker', 'Database', 'MongoDB', 'Application', 'Monolithic', 'SocialLogin', 'Protractor', 'Cucumber', 'Gatling']"
Random strategy,16,20,None,0,0,0,0,0,0.0018,0.6262,"['JHipster', 'Generator', 'BackEnd', 'Gradle', 'SocialLogin', 'InternationalizationSupport', 'Application', 'Docker', 'TestingFrameworks', 'Libsass', 'Protractor', 'SpringWebSockets', 'Cucumber', 'Monolithic', 'Database', 'Authentication', 'ClusteredSession', 'JWT', 'Gatling', 'MongoDB']"
Random strategy,17,20,None,0,0,0,0,0,0.0017,0.6647,"['JHipster', 'TestingFrameworks', 'SocialLogin', 'Libsass', 'Database', 'Protractor', 'Cucumber', 'Gatling', 'MongoDB', 'ClusteredSession', 'Generator', 'BackEnd', 'SpringWebSockets', 'Gradle', 'Docker', 'Authentication', 'HTTPSession', 'Application', 'InternationalizationSupport', 'Monolithic']"
Random strategy,18,19,None,0,0,0,0,0,0.0018,0.7015,"['JHipster', 'Database', 'TestingFrameworks', 'ClusteredSession', 'Authentication', 'Uaa', 'Generator', 'Gatling', 'Cassandra', 'Application', 'Libsass', 'MicroserviceGateway', 'SpringWebSockets', 'Cucumber', 'InternationalizationSupport', 'Docker', 'BackEnd', 'Gradle', 'Protractor']"
Random strategy,19,28,None,0,0,0,0,0,0.0035,0.7557,"['JHipster', 'TestingFrameworks', 'InternationalizationSupport', 'Cucumber', 'SpringWebSockets', 'Generator', 'Database', 'SQL', 'Gatling', 'Application', 'ClusteredSession', 'Protractor', 'Authentication', 'ElasticSearch', 'Docker', 'Production', 'MariaDB', 'Libsass', 'SocialLogin', 'BackEnd', 'Development', 'HTTPSession', 'Hibernate2ndLvlCache', 'Gradle', 'H2', 'DiskBased', 'EhCache', 'Monolithic']"
Random strategy,20,26,None,0,0,0,0,0,0.0028,0.8056,"['JHipster', 'Docker', 'BackEnd', 'Authentication', 'InternationalizationSupport', 'TestingFrameworks', 'Cucumber', 'Gatling', 'JWT', 'SocialLogin', 'Generator', 'Maven', 'Protractor', 'Application', 'ClusteredSession', 'Monolithic', 'SpringWebSockets', 'Libsass', 'Database', 'SQL', 'Production', 'MariaDB', 'Hibernate2ndLvlCache', 'Development', 'MariaDBDev', 'EhCache']"
Random strategy,21,27,None,0,0,0,0,0,0.0031,0.8576,"['JHipster', 'Generator', 'Database', 'InternationalizationSupport', 'TestingFrameworks', 'Libsass', 'SQL', 'Application', 'Production', 'ElasticSearch', 'SpringWebSockets', 'MicroserviceGateway', 'Protractor', 'PostgreSQL', 'ClusteredSession', 'Gatling', 'Authentication', 'Docker', 'Cucumber', 'Hibernate2ndLvlCache', 'JWT', 'HazelCast', 'Development', 'H2', 'BackEnd', 'Gradle', 'InMemory']"
Random strategy,22,27,None,0,0,0,0,0,0.0031,0.9093,"['JHipster', 'InternationalizationSupport', 'Authentication', 'HTTPSession', 'Docker', 'Generator', 'ClusteredSession', 'SpringWebSockets', 'BackEnd', 'SocialLogin', 'Maven', 'TestingFrameworks', 'Cucumber', 'Protractor', 'Database', 'SQL', 'Production', 'ElasticSearch', 'Application', 'Development', 'Gatling', 'H2', 'Hibernate2ndLvlCache', 'HazelCast', 'MySQL', 'DiskBased', 'Monolithic']"
Random strategy,23,20,None,0,0,0,0,0,0.0018,0.9483,"['JHipster', 'SocialLogin', 'Docker', 'InternationalizationSupport', 'Database', 'MongoDB', 'Generator', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Libsass', 'Cucumber', 'SpringWebSockets', 'Application', 'HTTPSession', 'Gradle', 'Protractor', 'ClusteredSession', 'Gatling', 'Monolithic']"
