Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,16,None,100,1600,1600,1600,1600,7.4915,38.9383,"['MobileMedia2', 'TVDigital', 'Language', 'Speakerphone', 'MediaSelection', 'ScreenSize', 'Radio', 'OS', 'WindowsMobile', 'CallManager', 'Portuguese', 'Video', 'Calendar', 'MediaManagement', 'SMSTransfer', 'Screen1']"
Greedy MCTS,2,15,None,100,1500,1500,1500,1500,7.8664,33.2117,"['MobileMedia2', 'OS', 'MediaSelection', 'WindowsMobile', 'Photo', 'CallManager', 'Calendar', 'Language', 'ScreenSize', 'Radio', 'English', 'Speakerphone', 'GPS', 'Screen2', 'MediaManagement']"
Greedy MCTS,3,18,None,100,1800,1800,1800,1800,11.1669,33.0577,"['MobileMedia2', 'Radio', 'TVDigital', 'OS', 'GPS', 'ScreenSize', 'iOS', 'Screen2', 'MediaSelection', 'Music', 'CallManager', 'Calendar', 'Photo', 'Speakerphone', 'MusicPlayer', 'Language', 'Spanish', 'MediaManagement']"
Greedy MCTS,4,16,None,100,1600,1600,1600,1600,8.9076,32.6766,"['MobileMedia2', 'OS', 'WindowsMobile', 'ScreenSize', 'MediaSelection', 'Screen2', 'CallManager', 'Video', 'Calendar', 'Speakerphone', 'Radio', 'Language', 'TVDigital', 'Photo', 'Spanish', 'MediaManagement']"
Greedy MCTS,5,15,None,100,1500,1500,1500,1500,7.4545,35.0071,"['MobileMedia2', 'ScreenSize', 'Calendar', 'Language', 'English', 'MediaSelection', 'Photo', 'Screen3', 'Radio', 'Speakerphone', 'CallManager', 'OS', 'MediaManagement', 'Video', 'WindowsMobile']"
Greedy MCTS,6,16,None,100,1600,1600,1600,1600,7.5042,40.8312,"['MobileMedia2', 'MediaSelection', 'OS', 'Music', 'Radio', 'MusicPlayer', 'CallManager', 'Calendar', 'ScreenSize', 'Screen1', 'Speakerphone', 'Photo', 'Language', 'MediaManagement', 'Spanish', 'Androide']"
Greedy MCTS,7,16,None,100,1600,1600,1600,1600,8.4339,34.6906,"['MobileMedia2', 'Calendar', 'CallManager', 'Language', 'MediaSelection', 'TVDigital', 'English', 'OS', 'Speakerphone', 'TouchScreen', 'Radio', 'ScreenSize', 'Androide', 'Screen3', 'MediaManagement', 'Video']"
Greedy MCTS,8,21,None,100,2100,2100,2100,2100,11.9707,39.9841,"['MobileMedia2', 'MediaSelection', 'GPS', 'Calendar', 'Video', 'OS', 'Photo', 'Radio', 'Music', 'ScreenSize', 'CallManager', 'Speakerphone', 'Symbia', 'Screen2', 'MusicPlayer', 'Language', 'Portuguese', 'TouchScreen', 'Connectivity', 'Bluetooth', 'MediaManagement']"
Greedy MCTS,9,17,None,100,1700,1700,1700,1700,8.204,38.4105,"['MobileMedia2', 'CallManager', 'ScreenSize', 'MediaSelection', 'Speakerphone', 'GPS', 'OS', 'Radio', 'Calendar', 'iOS', 'TouchScreen', 'Language', 'Video', 'Screen2', 'MediaManagement', 'SMSTransfer', 'Spanish']"
Greedy MCTS,10,17,None,100,1700,1700,1700,1700,8.7409,36.765,"['MobileMedia2', 'OS', 'Radio', 'Speakerphone', 'CallManager', 'MediaSelection', 'Photo', 'Language', 'Calendar', 'Music', 'ScreenSize', 'Screen3', 'GPS', 'MusicPlayer', 'Androide', 'Spanish', 'MediaManagement']"
Greedy MCTS,11,16,None,100,1600,1600,1600,1600,9.2725,34.1708,"['MobileMedia2', 'Radio', 'CallManager', 'ScreenSize', 'OS', 'MediaSelection', 'Video', 'Symbia', 'Music', 'MusicPlayer', 'Language', 'Screen1', 'Spanish', 'Calendar', 'Speakerphone', 'MediaManagement']"
Greedy MCTS,12,16,None,100,1600,1600,1600,1600,7.5686,42.2221,"['MobileMedia2', 'Language', 'MediaSelection', 'Calendar', 'OS', 'Radio', 'ScreenSize', 'Speakerphone', 'TVDigital', 'WindowsMobile', 'Photo', 'GPS', 'Portuguese', 'MediaManagement', 'CallManager', 'Screen2']"
Greedy MCTS,13,16,None,100,1600,1600,1600,1600,9.4415,34.2904,"['MobileMedia2', 'CallManager', 'MediaSelection', 'Speakerphone', 'ScreenSize', 'TouchScreen', 'Screen2', 'Video', 'Calendar', 'OS', 'Language', 'Symbia', 'GPS', 'Radio', 'Spanish', 'MediaManagement']"
Greedy MCTS,14,15,None,100,1500,1500,1500,1500,7.9502,32.3661,"['MobileMedia2', 'ScreenSize', 'Speakerphone', 'CallManager', 'OS', 'Symbia', 'MediaSelection', 'Photo', 'Video', 'Screen3', 'Radio', 'Language', 'Spanish', 'Calendar', 'MediaManagement']"
Greedy MCTS,15,17,None,100,1700,1700,1700,1700,8.6137,39.4078,"['MobileMedia2', 'OS', 'Language', 'Radio', 'ScreenSize', 'CallManager', 'GPS', 'Calendar', 'Androide', 'Screen3', 'TVDigital', 'Speakerphone', 'MediaSelection', 'Spanish', 'Video', 'Photo', 'MediaManagement']"
Greedy MCTS,16,18,None,100,1800,1800,1800,1800,9.7932,35.6736,"['MobileMedia2', 'OS', 'CallManager', 'Androide', 'TVDigital', 'MediaSelection', 'Music', 'Radio', 'Speakerphone', 'ScreenSize', 'Calendar', 'Language', 'Photo', 'MusicPlayer', 'Portuguese', 'Screen3', 'Video', 'MediaManagement']"
Greedy MCTS,17,14,None,100,1400,1400,1400,1400,6.4428,35.694,"['MobileMedia2', 'Radio', 'CallManager', 'Language', 'OS', 'MediaSelection', 'Speakerphone', 'ScreenSize', 'Calendar', 'Symbia', 'Spanish', 'MediaManagement', 'Photo', 'Screen2']"
Greedy MCTS,18,15,None,100,1500,1500,1500,1500,6.9625,38.8006,"['MobileMedia2', 'ScreenSize', 'Speakerphone', 'Language', 'Portuguese', 'MediaSelection', 'TouchScreen', 'Radio', 'Calendar', 'CallManager', 'OS', 'Symbia', 'Screen1', 'Video', 'MediaManagement']"
Greedy MCTS,19,18,None,100,1800,1800,1800,1800,10.164,37.9196,"['MobileMedia2', 'TouchScreen', 'MediaSelection', 'Calendar', 'Radio', 'Language', 'Speakerphone', 'CallManager', 'GPS', 'Photo', 'TVDigital', 'ScreenSize', 'OS', 'Screen3', 'MediaManagement', 'English', 'SMSTransfer', 'WindowsMobile']"
Greedy MCTS,20,15,None,100,1500,1500,1500,1500,7.9391,34.5025,"['MobileMedia2', 'Radio', 'OS', 'Symbia', 'Language', 'ScreenSize', 'MediaSelection', 'Calendar', 'Speakerphone', 'Video', 'TVDigital', 'CallManager', 'Screen2', 'Spanish', 'MediaManagement']"
Greedy MCTS,21,19,None,100,1900,1900,1900,1900,11.6309,37.6416,"['MobileMedia2', 'Calendar', 'Language', 'Spanish', 'Radio', 'TouchScreen', 'OS', 'English', 'WindowsMobile', 'CallManager', 'Portuguese', 'MediaSelection', 'Music', 'Video', 'Speakerphone', 'ScreenSize', 'MusicPlayer', 'Screen2', 'MediaManagement']"
