Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,27,None,100,2600,2600,2600,0,2.0283,0.6712,"['MobileMedia2', 'Speakerphone', 'TVDigital', 'OS', 'CallManager', 'iOS', 'TouchScreen', 'ScreenSize', 'MediaManagement', 'Screen2', 'Radio', 'Connectivity', 'GPS', 'Language', 'Spanish', 'MediaSelection', 'Favourites', 'ViewFavourites', 'Photo', 'SetFavourites', 'Video', 'Portuguese', 'ResolutionCamera', 'Resolution8MP', 'Calendar', 'WiFi', 'GoogleMaps']"
Parallel Flat Monte Carlo,2,29,None,100,2800,2800,2800,0,2.1892,0.7378,"['MobileMedia2', 'GPS', 'MediaSelection', 'ScreenSize', 'Language', 'Connectivity', 'TVDigital', 'CallManager', 'Music', 'ResolutionCamera', 'Calendar', 'MediaManagement', 'English', 'Speakerphone', 'Favourites', 'Screen1', 'Spanish', 'OS', 'Resolution8MP', 'Androide', 'Video', 'WiFi', 'Photo', 'Bluetooth', 'ViewFavourites', 'Radio', 'Youtube', 'MusicPlayer', 'SetFavourites']"
Parallel Flat Monte Carlo,3,26,None,100,2500,2500,2500,0,1.987,0.7865,"['MobileMedia2', 'Speakerphone', 'GPS', 'MediaManagement', 'OS', 'ScreenSize', 'Symbia', 'CopyMedia', 'CallManager', 'ResolutionCamera', 'SMSTransfer', 'Language', 'ReceivePhoto', 'Spanish', 'Calendar', 'Favourites', 'Radio', 'MediaSelection', 'Resolution8MP', 'SetFavourites', 'Music', 'ViewFavourites', 'Screen3', 'Video', 'MusicPlayer', 'Photo']"
Parallel Flat Monte Carlo,4,29,None,100,2800,2800,2800,0,2.1931,0.8448,"['MobileMedia2', 'TouchScreen', 'ScreenSize', 'Language', 'Screen3', 'Speakerphone', 'Calendar', 'TVDigital', 'Connectivity', 'Radio', 'WiFi', 'Portuguese', 'Bluetooth', 'MediaSelection', 'OS', 'GoogleMaps', 'Gmail', 'Youtube', 'GPS', 'English', 'MediaManagement', 'WindowsMobile', 'CallManager', 'ResolutionCamera', 'Photo', 'CopyMedia', 'SMSTransfer', 'Video', 'Resolution3MP']"
Parallel Flat Monte Carlo,5,29,None,100,2800,2800,2800,0,2.2126,0.901,"['MobileMedia2', 'TVDigital', 'MediaSelection', 'Video', 'Language', 'Speakerphone', 'OS', 'Spanish', 'Portuguese', 'Connectivity', 'Calendar', 'WiFi', 'Androide', 'ScreenSize', 'GPS', 'English', 'Music', 'Bluetooth', 'Screen1', 'TouchScreen', 'MediaManagement', 'GoogleMaps', 'ResolutionCamera', 'Gmail', 'MusicPlayer', 'CallManager', 'Radio', 'Photo', 'Resolution3MP']"
Parallel Flat Monte Carlo,6,23,None,100,2200,2200,2200,0,1.7687,0.9425,"['MobileMedia2', 'Speakerphone', 'TVDigital', 'MediaSelection', 'Calendar', 'Music', 'OS', 'TouchScreen', 'Language', 'MusicPlayer', 'Radio', 'CallManager', 'Spanish', 'Androide', 'Connectivity', 'Video', 'MediaManagement', 'ScreenSize', 'WiFi', 'Gmail', 'GPS', 'Bluetooth', 'Screen3']"
Parallel Flat Monte Carlo,7,30,None,100,2900,2900,2900,0,2.3871,1.0022,"['MobileMedia2', 'MediaManagement', 'ScreenSize', 'TouchScreen', 'Connectivity', 'CallManager', 'Screen2', 'Favourites', 'OS', 'SetFavourites', 'Radio', 'GPS', 'WindowsMobile', 'WiFi', 'Bluetooth', 'SMSTransfer', 'TVDigital', 'MediaSelection', 'Speakerphone', 'SendPhoto', 'Gmail', 'Video', 'ReceivePhoto', 'Language', 'Calendar', 'Spanish', 'ResolutionCamera', 'Photo', 'ViewFavourites', 'Resolution8MP']"
Parallel Flat Monte Carlo,8,30,None,100,2900,2900,2900,0,2.3824,1.0597,"['MobileMedia2', 'GPS', 'CallManager', 'Speakerphone', 'MediaSelection', 'Photo', 'Radio', 'TVDigital', 'TouchScreen', 'MediaManagement', 'Music', 'CopyMedia', 'Favourites', 'ViewFavourites', 'ResolutionCamera', 'Language', 'Resolution8MP', 'Spanish', 'MusicPlayer', 'Video', 'OS', 'Symbia', 'Calendar', 'SMSTransfer', 'Connectivity', 'ScreenSize', 'SendPhoto', 'Screen1', 'SetFavourites', 'Bluetooth']"
Parallel Flat Monte Carlo,9,27,None,100,2600,2600,2600,0,2.1861,1.1104,"['MobileMedia2', 'CallManager', 'Connectivity', 'Language', 'WiFi', 'MediaSelection', 'Portuguese', 'GPS', 'ScreenSize', 'Video', 'Screen1', 'Music', 'Spanish', 'OS', 'ResolutionCamera', 'Gmail', 'Photo', 'iOS', 'Resolution8MP', 'English', 'TouchScreen', 'Calendar', 'Youtube', 'Radio', 'MusicPlayer', 'Speakerphone', 'MediaManagement']"
Parallel Flat Monte Carlo,10,25,None,100,2400,2400,2400,0,2.0685,1.1626,"['MobileMedia2', 'OS', 'ResolutionCamera', 'MediaSelection', 'Radio', 'TVDigital', 'TouchScreen', 'Symbia', 'ScreenSize', 'GPS', 'Screen2', 'CallManager', 'Photo', 'Calendar', 'Connectivity', 'Bluetooth', 'Music', 'Video', 'Speakerphone', 'Language', 'MediaManagement', 'English', 'Spanish', 'Resolution8MP', 'MusicPlayer']"
