Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,37,None,0,0,0,0,0,0.0055,0.0671,"['MobileMedia2', 'Language', 'Speakerphone', 'ResolutionCamera', 'GPS', 'English', 'Resolution3MP', 'Spanish', 'Portuguese', 'TouchScreen', 'ScreenSize', 'Connectivity', 'Bluetooth', 'OS', 'WiFi', 'MediaSelection', 'Symbia', 'Screen2', 'Calendar', 'CallManager', 'MediaManagement', 'TVDigital', 'Radio', 'SMSTransfer', 'Music', 'SendPhoto', 'CopyMedia', 'MusicPlayer', 'Gmail', 'Video', 'Favourites', 'ReceivePhoto', 'ViewFavourites', 'SetFavourites', 'Youtube', 'GoogleMaps', 'Photo']"
Random strategy,2,36,None,0,0,0,0,0,0.0049,0.14,"['MobileMedia2', 'Connectivity', 'TVDigital', 'Speakerphone', 'OS', 'Calendar', 'TouchScreen', 'WiFi', 'MediaManagement', 'Symbia', 'Radio', 'Language', 'Bluetooth', 'GPS', 'MediaSelection', 'Portuguese', 'Video', 'Youtube', 'Spanish', 'Gmail', 'Favourites', 'SetFavourites', 'CallManager', 'ResolutionCamera', 'ViewFavourites', 'English', 'ScreenSize', 'Screen2', 'Resolution8MP', 'SMSTransfer', 'GoogleMaps', 'ReceivePhoto', 'CopyMedia', 'Music', 'Photo', 'MusicPlayer']"
Random strategy,3,37,None,0,0,0,0,0,0.0043,0.2107,"['MobileMedia2', 'OS', 'MediaSelection', 'GPS', 'Symbia', 'ScreenSize', 'CallManager', 'Screen3', 'ResolutionCamera', 'Connectivity', 'Video', 'Bluetooth', 'Resolution3MP', 'Language', 'Portuguese', 'Speakerphone', 'TouchScreen', 'Radio', 'Music', 'TVDigital', 'MusicPlayer', 'English', 'Photo', 'Spanish', 'MediaManagement', 'WiFi', 'SMSTransfer', 'Favourites', 'ReceivePhoto', 'CopyMedia', 'SetFavourites', 'GoogleMaps', 'Calendar', 'Gmail', 'SendPhoto', 'Youtube', 'ViewFavourites']"
Random strategy,4,33,None,0,0,0,0,0,0.0038,0.2733,"['MobileMedia2', 'Radio', 'OS', 'Symbia', 'MediaManagement', 'CallManager', 'TVDigital', 'Calendar', 'MediaSelection', 'GPS', 'TouchScreen', 'Photo', 'Speakerphone', 'Language', 'Spanish', 'ResolutionCamera', 'Resolution8MP', 'Video', 'CopyMedia', 'Music', 'MusicPlayer', 'SMSTransfer', 'English', 'Connectivity', 'Bluetooth', 'ScreenSize', 'SendPhoto', 'WiFi', 'ReceivePhoto', 'Youtube', 'GoogleMaps', 'Portuguese', 'Screen2']"
Random strategy,5,37,None,0,0,0,0,0,0.0039,0.3436,"['MobileMedia2', 'MediaManagement', 'Speakerphone', 'Connectivity', 'Bluetooth', 'TVDigital', 'SMSTransfer', 'Calendar', 'Radio', 'ScreenSize', 'CallManager', 'SendPhoto', 'Favourites', 'Screen2', 'ViewFavourites', 'GPS', 'Language', 'Spanish', 'ReceivePhoto', 'WiFi', 'CopyMedia', 'Portuguese', 'MediaSelection', 'English', 'Video', 'Youtube', 'Photo', 'ResolutionCamera', 'Music', 'Gmail', 'Resolution8MP', 'MusicPlayer', 'SetFavourites', 'TouchScreen', 'GoogleMaps', 'OS', 'Symbia']"
Random strategy,6,36,None,0,0,0,0,0,0.0038,0.4118,"['MobileMedia2', 'ResolutionCamera', 'ScreenSize', 'Connectivity', 'Language', 'Resolution8MP', 'WiFi', 'Portuguese', 'Screen2', 'GPS', 'Spanish', 'Radio', 'Youtube', 'OS', 'Speakerphone', 'WindowsMobile', 'English', 'Gmail', 'TouchScreen', 'TVDigital', 'GoogleMaps', 'MediaManagement', 'CallManager', 'Bluetooth', 'MediaSelection', 'Video', 'CopyMedia', 'Favourites', 'SetFavourites', 'ViewFavourites', 'Photo', 'SMSTransfer', 'Music', 'SendPhoto', 'MusicPlayer', 'Calendar']"
Random strategy,7,32,None,0,0,0,0,0,0.0036,0.4736,"['MobileMedia2', 'MediaManagement', 'Connectivity', 'TVDigital', 'ScreenSize', 'GPS', 'CallManager', 'Favourites', 'TouchScreen', 'SMSTransfer', 'SendPhoto', 'Screen2', 'SetFavourites', 'Calendar', 'OS', 'MediaSelection', 'Music', 'Androide', 'Video', 'Language', 'ViewFavourites', 'Radio', 'Spanish', 'ResolutionCamera', 'ReceivePhoto', 'MusicPlayer', 'Photo', 'Portuguese', 'Bluetooth', 'CopyMedia', 'Resolution3MP', 'Speakerphone']"
Random strategy,8,35,None,0,0,0,0,0,0.0039,0.5403,"['MobileMedia2', 'MediaManagement', 'OS', 'MediaSelection', 'Photo', 'CopyMedia', 'Music', 'Androide', 'ScreenSize', 'SMSTransfer', 'GPS', 'Speakerphone', 'MusicPlayer', 'Screen3', 'TouchScreen', 'Radio', 'TVDigital', 'ResolutionCamera', 'Calendar', 'ReceivePhoto', 'Video', 'Favourites', 'SendPhoto', 'CallManager', 'Language', 'Resolution3MP', 'English', 'SetFavourites', 'Connectivity', 'Portuguese', 'Spanish', 'WiFi', 'Gmail', 'GoogleMaps', 'ViewFavourites']"
Random strategy,9,36,None,0,0,0,0,0,0.004,0.6088,"['MobileMedia2', 'GPS', 'Language', 'TVDigital', 'Connectivity', 'Calendar', 'CallManager', 'TouchScreen', 'English', 'MediaManagement', 'MediaSelection', 'Favourites', 'ScreenSize', 'Video', 'Portuguese', 'SetFavourites', 'OS', 'ViewFavourites', 'Androide', 'Screen3', 'ResolutionCamera', 'Photo', 'CopyMedia', 'Resolution3MP', 'SMSTransfer', 'Spanish', 'Radio', 'Bluetooth', 'Music', 'SendPhoto', 'WiFi', 'Youtube', 'Speakerphone', 'Gmail', 'GoogleMaps', 'MusicPlayer']"
Random strategy,10,36,None,0,0,0,0,0,0.004,0.6768,"['MobileMedia2', 'ResolutionCamera', 'Resolution3MP', 'ScreenSize', 'Calendar', 'MediaSelection', 'CallManager', 'Screen1', 'Language', 'OS', 'English', 'TVDigital', 'Radio', 'Portuguese', 'iOS', 'GPS', 'Video', 'MediaManagement', 'TouchScreen', 'Spanish', 'SMSTransfer', 'Favourites', 'Speakerphone', 'ViewFavourites', 'Connectivity', 'Bluetooth', 'SendPhoto', 'SetFavourites', 'ReceivePhoto', 'CopyMedia', 'WiFi', 'Music', 'GoogleMaps', 'Photo', 'Youtube', 'MusicPlayer']"
Random strategy,11,35,None,0,0,0,0,0,0.0038,0.7434,"['MobileMedia2', 'Speakerphone', 'MediaSelection', 'Music', 'ScreenSize', 'GPS', 'MusicPlayer', 'OS', 'TVDigital', 'TouchScreen', 'WindowsMobile', 'Screen3', 'Connectivity', 'Calendar', 'Video', 'WiFi', 'MediaManagement', 'ResolutionCamera', 'Photo', 'Resolution8MP', 'Gmail', 'CopyMedia', 'SMSTransfer', 'SendPhoto', 'ReceivePhoto', 'Favourites', 'CallManager', 'Language', 'Youtube', 'Portuguese', 'Radio', 'ViewFavourites', 'English', 'Spanish', 'SetFavourites']"
Random strategy,12,33,None,0,0,0,0,0,0.0036,0.8069,"['MobileMedia2', 'Radio', 'Speakerphone', 'TVDigital', 'Calendar', 'TouchScreen', 'ResolutionCamera', 'GPS', 'MediaManagement', 'MediaSelection', 'Language', 'Favourites', 'English', 'OS', 'Connectivity', 'CallManager', 'Video', 'WindowsMobile', 'ViewFavourites', 'SMSTransfer', 'SendPhoto', 'SetFavourites', 'Spanish', 'Portuguese', 'Bluetooth', 'CopyMedia', 'Resolution8MP', 'Music', 'ReceivePhoto', 'ScreenSize', 'Screen2', 'Photo', 'MusicPlayer']"
