Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,15,None,100,1500,1500,1500,1500,6.9747,34.6675,"['MobileMedia2', 'MediaSelection', 'GPS', 'Calendar', 'ScreenSize', 'Radio', 'Screen2', 'Language', 'OS', 'Speakerphone', 'iOS', 'CallManager', 'Photo', 'English', 'MediaManagement']"
UCT MCTS,2,16,None,100,1600,1600,1600,1600,8.3591,34.6675,"['MobileMedia2', 'Speakerphone', 'Calendar', 'ScreenSize', 'TVDigital', 'Screen3', 'OS', 'iOS', 'MediaSelection', 'TouchScreen', 'Video', 'CallManager', 'Radio', 'Language', 'Portuguese', 'MediaManagement']"
UCT MCTS,3,18,None,100,1800,1800,1800,1800,8.81,39.481,"['MobileMedia2', 'OS', 'MediaSelection', 'Symbia', 'Radio', 'TVDigital', 'Speakerphone', 'CallManager', 'Language', 'Calendar', 'ScreenSize', 'Screen1', 'GPS', 'Portuguese', 'MediaManagement', 'SMSTransfer', 'ReceivePhoto', 'Photo']"
UCT MCTS,4,19,None,100,1900,1900,1900,1900,8.771,45.6504,"['MobileMedia2', 'MediaSelection', 'Video', 'CallManager', 'Radio', 'Calendar', 'Music', 'OS', 'Language', 'Speakerphone', 'Connectivity', 'ScreenSize', 'MusicPlayer', 'Photo', 'Screen2', 'English', 'Bluetooth', 'MediaManagement', 'iOS']"
UCT MCTS,5,18,None,100,1800,1800,1800,1800,8.7645,45.6464,"['MobileMedia2', 'ResolutionCamera', 'TouchScreen', 'CallManager', 'ScreenSize', 'Calendar', 'Screen1', 'MediaSelection', 'Speakerphone', 'Language', 'OS', 'Photo', 'Radio', 'Portuguese', 'Video', 'Resolution8MP', 'MediaManagement', 'Symbia']"
UCT MCTS,6,15,None,100,1500,1500,1500,1500,6.7532,39.1304,"['MobileMedia2', 'MediaSelection', 'Calendar', 'OS', 'iOS', 'TVDigital', 'Video', 'ScreenSize', 'Radio', 'Language', 'CallManager', 'Screen2', 'English', 'MediaManagement', 'Speakerphone']"
UCT MCTS,7,14,None,100,1400,1400,1400,1400,6.8546,35.7675,"['MobileMedia2', 'CallManager', 'ScreenSize', 'Screen1', 'OS', 'iOS', 'Speakerphone', 'MediaSelection', 'Language', 'Photo', 'English', 'Calendar', 'Radio', 'MediaManagement']"
UCT MCTS,8,15,None,100,1500,1500,1500,1500,6.964,32.8529,"['MobileMedia2', 'Speakerphone', 'GPS', 'OS', 'Radio', 'Androide', 'MediaSelection', 'Video', 'Calendar', 'ScreenSize', 'Language', 'Screen1', 'MediaManagement', 'CallManager', 'English']"
UCT MCTS,9,15,None,100,1500,1500,1500,1500,6.8149,35.822,"['MobileMedia2', 'OS', 'WindowsMobile', 'MediaSelection', 'ScreenSize', 'Photo', 'Calendar', 'Language', 'CallManager', 'Screen2', 'Speakerphone', 'Portuguese', 'Radio', 'Video', 'MediaManagement']"
UCT MCTS,10,17,None,100,1700,1700,1700,1700,9.6927,35.8209,"['MobileMedia2', 'CallManager', 'OS', 'TouchScreen', 'TVDigital', 'GPS', 'ScreenSize', 'MediaSelection', 'Speakerphone', 'Radio', 'Screen2', 'Calendar', 'Androide', 'Language', 'Photo', 'MediaManagement', 'English']"
