Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,7,None,100,500,159,159,0,0.1206,0.1764,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Ham']"
Flat Monte Carlo,2,7,None,100,500,192,192,0,0.1254,0.2281,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Flat Monte Carlo,3,7,None,100,500,159,159,0,0.1266,0.2264,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Salami']"
Flat Monte Carlo,4,7,None,100,500,161,161,0,0.1242,0.2156,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,5,7,None,100,500,162,162,0,0.1243,0.2266,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,6,7,None,100,500,187,187,0,0.123,0.2641,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,7,7,None,100,500,148,148,0,0.1237,0.2628,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Salami']"
Flat Monte Carlo,8,7,None,100,500,173,173,0,0.1192,0.2728,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Ham']"
Flat Monte Carlo,9,7,None,100,500,163,163,0,0.1228,0.2711,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,10,7,None,100,500,200,200,0,0.1267,0.3172,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Flat Monte Carlo,11,7,None,100,500,158,158,0,0.1239,0.3155,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Flat Monte Carlo,12,7,None,100,500,151,151,0,0.1224,0.2893,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Ham']"
Flat Monte Carlo,13,7,None,100,500,161,161,0,0.1236,0.3083,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,14,7,None,100,500,188,188,0,0.1224,0.3476,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Mozzarella']"
Flat Monte Carlo,15,7,None,100,500,148,148,0,0.1228,0.3459,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Mozzarella']"
Flat Monte Carlo,16,7,None,100,500,156,156,0,0.1185,0.3345,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Flat Monte Carlo,17,7,None,100,500,159,159,0,0.1204,0.3469,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,18,7,None,100,500,157,157,0,0.1202,0.3551,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Flat Monte Carlo,19,7,None,100,500,181,181,0,0.1247,0.3919,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Ham']"
Flat Monte Carlo,20,7,None,100,500,162,162,0,0.123,0.3902,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Flat Monte Carlo,21,8,None,100,600,171,171,0,0.1505,0.4092,"['Pizza', 'CheesyCrust', 'Size', 'Dough', 'Big', 'Sicilian', 'Topping', 'Salami']"
Flat Monte Carlo,22,7,None,100,500,198,198,0,0.1261,0.438,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,23,7,None,100,500,162,162,0,0.1275,0.4368,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,24,7,None,100,500,162,162,0,0.1267,0.423,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,25,7,None,100,500,164,164,0,0.1231,0.4355,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,26,7,None,100,500,195,195,0,0.1212,0.4766,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Flat Monte Carlo,27,7,None,100,500,162,162,0,0.1211,0.4749,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Mozzarella']"
Flat Monte Carlo,28,7,None,100,500,149,149,0,0.1206,0.4519,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Flat Monte Carlo,29,7,None,100,500,155,155,0,0.1217,0.467,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Ham']"
Flat Monte Carlo,30,7,None,100,500,158,158,0,0.1205,0.4802,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
