Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,7,None,100,700,125,125,125,0.5006,0.6722,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,2,7,None,100,700,120,120,120,0.4838,0.6307,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Greedy MCTS,3,7,None,100,700,147,147,147,0.5905,0.8203,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,4,7,None,100,700,119,119,119,0.4818,0.6836,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Greedy MCTS,5,7,None,100,700,58,58,58,0.3226,0.3829,"['Pizza', 'Dough', 'Sicilian', 'Size', 'Normal', 'Topping', 'Salami']"
Greedy MCTS,6,7,None,100,700,126,126,126,0.5133,0.7561,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Greedy MCTS,7,7,None,100,700,147,147,147,0.5477,0.8946,"['Pizza', 'Size', 'Dough', 'Normal', 'Topping', 'Sicilian', 'Ham']"
Greedy MCTS,8,7,None,100,700,149,149,149,0.5749,0.9195,"['Pizza', 'Size', 'Dough', 'Normal', 'Topping', 'Mozzarella', 'Sicilian']"
Greedy MCTS,9,7,None,100,700,107,107,107,0.4164,0.6578,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,10,7,None,100,700,115,115,115,0.5009,0.7394,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Salami']"
Greedy MCTS,11,7,None,100,700,131,131,131,0.5265,0.8435,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Greedy MCTS,12,7,None,100,700,147,147,147,0.5418,0.9678,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Greedy MCTS,13,8,None,100,800,140,140,140,0.7221,0.9131,"['Pizza', 'Dough', 'Sicilian', 'Size', 'Topping', 'Big', 'CheesyCrust', 'Ham']"
Greedy MCTS,14,8,None,100,800,128,128,128,0.6087,0.8429,"['Pizza', 'Dough', 'Sicilian', 'Topping', 'Mozzarella', 'Size', 'Ham', 'Normal']"
Greedy MCTS,15,7,None,100,700,127,127,127,0.5184,0.8667,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Greedy MCTS,16,7,None,100,700,141,141,141,0.5628,0.9891,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Greedy MCTS,17,7,None,100,700,125,125,125,0.5455,0.9585,"['Pizza', 'Topping', 'Size', 'Dough', 'Normal', 'Ham', 'Neapolitan']"
Greedy MCTS,18,7,None,100,700,150,150,150,0.5953,1.057,"['Pizza', 'Dough', 'Size', 'Sicilian', 'Topping', 'Mozzarella', 'Normal']"
Greedy MCTS,19,7,None,100,700,125,125,125,0.5065,0.9296,"['Pizza', 'Size', 'Dough', 'Neapolitan', 'Normal', 'Topping', 'Salami']"
Greedy MCTS,20,7,None,100,700,128,128,128,0.5532,0.9872,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Greedy MCTS,21,7,None,100,700,92,92,92,0.4108,0.7519,"['Pizza', 'Dough', 'Neapolitan', 'Size', 'Normal', 'Topping', 'Salami']"
Greedy MCTS,22,7,None,100,700,49,49,49,0.3232,0.6022,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,23,7,None,100,700,143,143,143,0.569,1.1091,"['Pizza', 'Dough', 'Size', 'Topping', 'Normal', 'Sicilian', 'Mozzarella']"
Greedy MCTS,24,7,None,100,700,133,133,133,0.5079,1.0558,"['Pizza', 'Size', 'Dough', 'Neapolitan', 'Normal', 'Topping', 'Salami']"
Greedy MCTS,25,7,None,100,700,116,116,116,0.5051,0.9599,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Greedy MCTS,26,7,None,100,700,138,138,138,0.5387,1.0937,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,27,7,None,100,700,145,145,145,0.5366,1.172,"['Pizza', 'Dough', 'Size', 'Sicilian', 'Topping', 'Normal', 'Salami']"
Greedy MCTS,28,7,None,100,700,124,124,124,0.4918,1.0457,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Greedy MCTS,29,7,None,100,700,86,86,86,0.4283,0.8668,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Greedy MCTS,30,7,None,100,700,105,105,105,0.4907,0.9746,"['Pizza', 'Size', 'Normal', 'Dough', 'Topping', 'Ham', 'Neapolitan']"
