Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,7,None,100,500,500,500,0,0.3138,0.5968,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,2,7,None,100,500,500,500,0,0.3085,0.6143,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,3,7,None,100,500,500,500,0,0.3307,0.6416,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,4,7,None,100,500,500,500,0,0.3213,0.6518,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,5,7,None,100,500,500,500,0,0.321,0.6622,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,6,7,None,100,500,500,500,0,0.3195,0.6724,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,7,7,None,100,500,500,500,0,0.3222,0.6828,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,8,7,None,100,500,500,500,0,0.3245,0.693,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,9,7,None,100,500,500,500,0,0.3271,0.7032,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,10,7,None,100,500,500,500,0,0.3251,0.7134,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,11,7,None,100,500,500,500,0,0.3314,0.7236,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,12,7,None,100,500,500,500,0,0.3272,0.734,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,13,7,None,100,500,500,500,0,0.3324,0.7442,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,14,7,None,100,500,500,500,0,0.3317,0.7544,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,15,7,None,100,500,500,500,0,0.3363,0.7645,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,16,7,None,100,500,500,500,0,0.3554,0.7704,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,17,7,None,100,500,500,500,0,0.3384,0.7851,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,18,7,None,100,500,500,500,0,0.3388,0.7953,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,19,7,None,100,500,500,500,0,0.3458,0.8055,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,20,7,None,100,500,500,500,0,0.332,0.8157,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,21,7,None,100,500,500,500,0,0.3405,0.826,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,22,7,None,100,500,500,500,0,0.3387,0.8361,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,23,7,None,100,500,500,500,0,0.3419,0.8468,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,24,7,None,100,500,500,500,0,0.3361,0.857,"['Pizza', 'Dough', 'Size', 'Neapolitan', 'Normal', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,25,7,None,100,500,500,500,0,0.3448,0.8671,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,26,7,None,100,500,500,500,0,0.3459,0.8773,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Ham']"
Parallel Flat Monte Carlo,27,7,None,100,500,500,500,0,0.3451,0.8874,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,28,7,None,100,500,500,500,0,0.3475,0.8976,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Parallel Flat Monte Carlo,29,7,None,100,500,500,500,0,0.3579,0.9078,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Salami']"
Parallel Flat Monte Carlo,30,7,None,100,500,500,500,0,0.3558,0.9179,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Salami']"
