Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,7,None,100,700,151,151,151,0.5406,0.8221,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,2,7,None,100,700,188,188,188,0.5491,1.0745,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
UCT MCTS,3,7,None,100,700,172,172,172,0.5674,1.073,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,4,7,None,100,700,171,171,171,0.5412,0.9895,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,5,7,None,100,700,168,168,168,0.555,0.9854,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,6,7,None,100,700,175,175,175,0.5541,1.049,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,7,7,None,100,700,166,166,166,0.5602,1.0478,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,8,7,None,100,700,137,137,137,0.4878,0.9827,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,9,7,None,100,700,162,162,162,0.5205,0.9976,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,10,7,None,100,700,174,174,174,0.5569,1.0959,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
UCT MCTS,11,7,None,100,700,158,158,158,0.5256,1.0941,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Mozzarella']"
UCT MCTS,12,7,None,100,700,166,166,166,0.5608,1.0539,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
UCT MCTS,13,7,None,100,700,170,170,170,0.5601,1.091,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,14,7,None,100,700,154,154,154,0.5161,1.0896,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,15,7,None,100,700,170,170,170,0.5375,1.1273,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,16,7,None,100,700,177,177,177,0.5791,1.1911,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
UCT MCTS,17,7,None,100,700,165,165,165,0.5767,1.1893,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,18,7,None,100,700,170,170,170,0.566,1.1608,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,19,7,None,100,700,150,150,150,0.517,1.159,"['Pizza', 'Dough', 'Size', 'Normal', 'Sicilian', 'Topping', 'Salami']"
UCT MCTS,20,7,None,100,700,173,173,173,0.5705,1.2329,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,21,7,None,100,700,152,152,152,0.5498,1.2311,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,22,7,None,100,700,180,180,180,0.5428,1.3012,"['Pizza', 'Size', 'Normal', 'Dough', 'Sicilian', 'Topping', 'Ham']"
UCT MCTS,23,7,None,100,700,152,152,152,0.501,1.3003,"['Pizza', 'Dough', 'Size', 'Normal', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,24,7,None,100,700,157,157,157,0.5386,1.1696,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
UCT MCTS,25,7,None,100,700,165,165,165,0.5592,1.2313,"['Pizza', 'Size', 'Dough', 'Normal', 'Sicilian', 'Topping', 'Mozzarella']"
UCT MCTS,26,7,None,100,700,154,154,154,0.5111,1.2295,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,27,7,None,100,700,156,156,156,0.5284,1.2023,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,28,7,None,100,700,172,172,172,0.5716,1.3238,"['Pizza', 'Size', 'Normal', 'Topping', 'Salami', 'Dough', 'Neapolitan']"
UCT MCTS,29,7,None,100,700,172,172,172,0.5607,1.338,"['Pizza', 'Size', 'Normal', 'Dough', 'Neapolitan', 'Topping', 'Ham']"
UCT MCTS,30,7,None,100,700,178,178,178,0.587,1.3972,"['Pizza', 'Size', 'Dough', 'Normal', 'Neapolitan', 'Topping', 'Mozzarella']"
