Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,17,None,100,1600,1511,1511,0,2.704,2.2048,"['TankWar', 'Record', 'AI', 'Platform', 'Tanks', 'explodieren', 'Easy', 'Germany_Leopard', 'PC', 'Re_fuer_Handy', 'Soundeffekt', 'Language', 'DE', 'GUI', 'Map', 'Sound_fuer_pc', 'M_240']"
Flat Monte Carlo,2,12,None,100,1100,1062,1062,0,2.0757,2.2026,"['TankWar', 'Tanks', 'USA_M1Abrams', 'Platform', 'AI', 'Handy', 'GUI', 'Language', 'EN', 'Hard', 'Map', 'M_780']"
Flat Monte Carlo,3,15,None,100,1400,1340,1340,0,2.4477,1.9902,"['TankWar', 'explodieren', 'Record', 'Re_fuer_Handy', 'Tanks', 'AI', 'Language', 'Easy', 'DE', 'GUI', 'Map', 'Platform', 'PC', 'China_Type99', 'M_600']"
Flat Monte Carlo,4,15,None,100,1400,1361,1361,0,2.4829,2.0502,"['TankWar', 'GUI', 'explodieren', 'AI', 'Language', 'DE', 'Record', 'Map', 'Platform', 'Re_fuer_Handy', 'Tanks', 'China_Type99', 'M_780', 'PC', 'Easy']"
Flat Monte Carlo,5,14,None,100,1300,1258,1258,0,2.3618,2.0453,"['TankWar', 'Platform', 'Record', 'Tanks', 'PC', 'Re_fuer_Handy', 'China_Type99', 'AI', 'Language', 'GUI', 'Map', 'M_600', 'Easy', 'EN']"
Flat Monte Carlo,6,14,None,100,1300,1262,1262,0,2.3029,1.9707,"['TankWar', 'Platform', 'Handy', 'AI', 'Language', 'GUI', 'DE', 'Soundeffekt', 'Map', 'M_600', 'Tanks', 'Germany_Leopard', 'Sound_fuer_Handy', 'Easy']"
Flat Monte Carlo,7,12,None,100,1100,1070,1070,0,2.1273,1.9672,"['TankWar', 'AI', 'Language', 'Tanks', 'Platform', 'DE', 'Hard', 'PC', 'USA_M1Abrams', 'GUI', 'Map', 'M_600']"
Flat Monte Carlo,8,14,None,100,1300,1241,1241,0,2.4584,1.9854,"['TankWar', 'GUI', 'Tanks', 'Soundeffekt', 'USA_M1Abrams', 'Map', 'Platform', 'Language', 'DE', 'Handy', 'AI', 'Easy', 'Sound_fuer_pc', 'M_780']"
Flat Monte Carlo,9,17,None,100,1600,1545,1545,0,2.9058,2.4746,"['TankWar', 'GUI', 'Map', 'M_780', 'Soundeffekt', 'Language', 'Sound_fuer_pc', 'DE', 'Image', 'fuer_Handy', 'AI', 'Platform', 'fuer_PC', 'Handy', 'Tanks', 'USA_M1Abrams', 'Easy']"
Flat Monte Carlo,10,15,None,100,1400,1319,1319,0,2.4144,2.4695,"['TankWar', 'Platform', 'Soundeffekt', 'AI', 'Language', 'GUI', 'explodieren', 'PC', 'DE', 'Hard', 'Tanks', 'Map', 'Sound_fuer_Handy', 'M_780', 'USA_M1Abrams']"
Flat Monte Carlo,11,15,None,100,1400,1326,1326,0,2.4937,2.1882,"['TankWar', 'AI', 'Hard', 'Soundeffekt', 'explodieren', 'GUI', 'Platform', 'Language', 'Sound_fuer_Handy', 'DE', 'Tanks', 'Map', 'M_780', 'PC', 'Germany_Leopard']"
Flat Monte Carlo,12,17,None,100,1600,1502,1502,0,2.6685,2.5028,"['TankWar', 'Platform', 'AI', 'Language', 'Record', 'PC', 'explodieren', 'Soundeffekt', 'Easy', 'Re_fuer_Handy', 'EN', 'GUI', 'Map', 'Tanks', 'Sound_fuer_pc', 'M_600', 'China_Type99']"
Flat Monte Carlo,13,14,None,100,1300,1232,1232,0,2.2578,2.4978,"['TankWar', 'Soundeffekt', 'Platform', 'AI', 'Hard', 'Sound_fuer_pc', 'GUI', 'Language', 'PC', 'Map', 'EN', 'Tanks', 'M_240', 'China_Type99']"
Flat Monte Carlo,14,15,None,100,1400,1326,1326,0,2.4914,2.2725,"['TankWar', 'explodieren', 'Language', 'GUI', 'DE', 'Map', 'Soundeffekt', 'AI', 'Hard', 'M_600', 'Platform', 'PC', 'Tanks', 'Sound_fuer_Handy', 'USA_M1Abrams']"
Flat Monte Carlo,15,15,None,100,1400,1313,1313,0,2.4535,2.2867,"['TankWar', 'Tanks', 'GUI', 'Map', 'explodieren', 'Language', 'Record', 'AI', 'Re_fuer_PC', 'M_600', 'Platform', 'Easy', 'PC', 'EN', 'China_Type99']"
Flat Monte Carlo,16,12,None,100,1100,1066,1066,0,2.0494,2.2831,"['TankWar', 'GUI', 'Language', 'Platform', 'Handy', 'AI', 'Tanks', 'Map', 'M_600', 'Germany_Leopard', 'EN', 'Hard']"
Flat Monte Carlo,17,15,None,100,1400,1319,1319,0,2.4956,2.3404,"['TankWar', 'AI', 'explodieren', 'Language', 'Record', 'Easy', 'Re_fuer_PC', 'DE', 'GUI', 'Map', 'M_600', 'Tanks', 'Platform', 'Handy', 'USA_M1Abrams']"
Flat Monte Carlo,18,13,None,100,1200,1162,1162,0,2.1698,2.3355,"['TankWar', 'AI', 'GUI', 'Language', 'Map', 'Tanks', 'M_240', 'explodieren', 'Platform', 'EN', 'China_Type99', 'PC', 'Easy']"
Flat Monte Carlo,19,14,None,100,1300,1247,1247,0,2.3844,2.2952,"['TankWar', 'explodieren', 'Tanks', 'Platform', 'Handy', 'China_Type99', 'Language', 'USA_M1Abrams', 'GUI', 'Map', 'AI', 'Easy', 'M_780', 'DE']"
Flat Monte Carlo,20,16,None,100,1500,1426,1426,0,2.4638,2.6103,"['TankWar', 'Language', 'EN', 'Platform', 'Record', 'AI', 'Easy', 'GUI', 'Soundeffekt', 'Map', 'M_240', 'Tanks', 'Sound_fuer_pc', 'Handy', 'Re_fuer_PC', 'China_Type99']"
Flat Monte Carlo,21,14,None,100,1300,1251,1251,0,2.3507,2.6077,"['TankWar', 'Tanks', 'GUI', 'AI', 'Record', 'Language', 'Re_fuer_Handy', 'Hard', 'Platform', 'EN', 'Map', 'USA_M1Abrams', 'PC', 'M_600']"
Flat Monte Carlo,22,12,None,100,1100,1065,1065,0,2.0714,2.3507,"['TankWar', 'Tanks', 'GUI', 'AI', 'Map', 'USA_M1Abrams', 'Platform', 'M_240', 'Language', 'Easy', 'PC', 'EN']"
Flat Monte Carlo,23,15,None,100,1400,1342,1342,0,2.4217,2.5345,"['TankWar', 'AI', 'Soundeffekt', 'Language', 'Sound_fuer_pc', 'GUI', 'explodieren', 'Platform', 'Tanks', 'Germany_Leopard', 'Map', 'Easy', 'PC', 'EN', 'M_600']"
Flat Monte Carlo,24,17,None,100,1600,1495,1495,0,2.7102,2.8079,"['TankWar', 'Platform', 'PC', 'explodieren', 'AI', 'Language', 'Record', 'Soundeffekt', 'Sound_fuer_Handy', 'Re_fuer_PC', 'DE', 'GUI', 'Map', 'Tanks', 'Hard', 'M_600', 'China_Type99']"
Flat Monte Carlo,25,14,None,100,1300,1259,1259,0,2.3079,2.8028,"['TankWar', 'Language', 'AI', 'GUI', 'Platform', 'Tanks', 'China_Type99', 'PC', 'Record', 'EN', 'Map', 'Easy', 'Re_fuer_Handy', 'M_600']"
Flat Monte Carlo,26,15,None,100,1400,1326,1326,0,2.4848,2.593,"['TankWar', 'AI', 'Language', 'DE', 'Easy', 'Soundeffekt', 'Platform', 'explodieren', 'Handy', 'Sound_fuer_Handy', 'GUI', 'Map', 'Tanks', 'M_780', 'USA_M1Abrams']"
Flat Monte Carlo,27,12,None,100,1100,1058,1058,0,2.0787,2.589,"['TankWar', 'Tanks', 'Platform', 'China_Type99', 'Handy', 'AI', 'GUI', 'Map', 'Language', 'DE', 'Hard', 'M_240']"
Flat Monte Carlo,28,15,None,100,1400,1352,1352,0,2.4719,2.6859,"['TankWar', 'GUI', 'AI', 'Easy', 'Map', 'Record', 'Language', 'Re_fuer_Handy', 'Tanks', 'Platform', 'explodieren', 'M_240', 'China_Type99', 'PC', 'EN']"
Flat Monte Carlo,29,12,None,100,1100,1061,1061,0,2.0981,2.681,"['TankWar', 'Platform', 'Language', 'DE', 'Handy', 'AI', 'Hard', 'Tanks', 'GUI', 'Map', 'Germany_Leopard', 'M_600']"
Flat Monte Carlo,30,14,None,100,1300,1243,1243,0,2.2995,2.5799,"['TankWar', 'AI', 'Language', 'EN', 'GUI', 'Record', 'Platform', 'Map', 'Handy', 'Re_fuer_Handy', 'M_240', 'Tanks', 'Easy', 'China_Type99']"
