Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,24,None,100,2300,2300,2300,0,1.6712,0.673,"['TankWar', 'Soundeffekt', 'Tools', 'Tanks', 'Bombe', 'Feuerkraft', 'Energie', 'einfrieren', 'Beschleunigung', 'explodieren', 'Germany_Leopard', 'Mars', 'AI', 'Easy', 'USA_M1Abrams', 'Language', 'Sound_fuer_pc', 'Platform', 'Handy', 'GUI', 'Map', 'China_Type99', 'M_600', 'DE']"
Parallel Flat Monte Carlo,2,19,None,100,1800,1800,1800,0,1.3223,0.7115,"['TankWar', 'Platform', 'Tanks', 'explodieren', 'Language', 'PC', 'Soundeffekt', 'USA_M1Abrams', 'China_Type99', 'AI', 'EN', 'Sound_fuer_pc', 'Germany_Leopard', 'Easy', 'Record', 'GUI', 'Re_fuer_PC', 'Map', 'M_780']"
Parallel Flat Monte Carlo,3,17,None,100,1600,1600,1600,0,1.2042,0.7459,"['TankWar', 'Record', 'explodieren', 'GUI', 'Re_fuer_PC', 'Map', 'Tanks', 'Germany_Leopard', 'USA_M1Abrams', 'China_Type99', 'Language', 'M_780', 'DE', 'AI', 'Platform', 'Easy', 'Handy']"
Parallel Flat Monte Carlo,4,20,None,100,1900,1900,1900,0,1.4471,0.7781,"['TankWar', 'Tools', 'explodieren', 'Bombe', 'GUI', 'einfrieren', 'Platform', 'Record', 'Mars', 'Language', 'Re_fuer_PC', 'Beschleunigung', 'Tanks', 'PC', 'Map', 'M_600', 'DE', 'AI', 'Easy', 'China_Type99']"
Parallel Flat Monte Carlo,5,19,None,100,1800,1800,1800,0,1.3718,0.8156,"['TankWar', 'GUI', 'explodieren', 'Platform', 'AI', 'Easy', 'Record', 'Language', 'EN', 'Tools', 'Map', 'Bombe', 'Energie', 'M_780', 'einfrieren', 'Tanks', 'Re_fuer_PC', 'USA_M1Abrams', 'Handy']"
Parallel Flat Monte Carlo,6,19,None,100,1800,1800,1800,0,1.3656,0.8497,"['TankWar', 'Record', 'Language', 'Re_fuer_Handy', 'explodieren', 'Tanks', 'EN', 'GUI', 'China_Type99', 'Germany_Leopard', 'Soundeffekt', 'Sound_fuer_Handy', 'USA_M1Abrams', 'AI', 'Platform', 'Map', 'M_780', 'Easy', 'PC']"
Parallel Flat Monte Carlo,7,24,None,100,2300,2300,2300,0,1.7449,0.8969,"['TankWar', 'Language', 'Tools', 'Beschleunigung', 'Mars', 'Record', 'GUI', 'Soundeffekt', 'Feuerkraft', 'Bombe', 'Re_fuer_PC', 'Sound_fuer_Handy', 'Image', 'fuer_PC', 'Platform', 'Handy', 'Tanks', 'China_Type99', 'Energie', 'AI', 'Map', 'EN', 'Hard', 'M_240']"
Parallel Flat Monte Carlo,8,22,None,100,2100,2100,2100,0,1.6224,0.9409,"['TankWar', 'GUI', 'Soundeffekt', 'Image', 'Tanks', 'Map', 'Sound_fuer_Handy', 'Record', 'M_240', 'Platform', 'fuer_PC', 'Re_fuer_Handy', 'AI', 'explodieren', 'Tools', 'fuer_Handy', 'Language', 'PC', 'Germany_Leopard', 'Easy', 'EN', 'Mars']"
Parallel Flat Monte Carlo,9,18,None,100,1700,1700,1700,0,1.2973,0.9703,"['TankWar', 'AI', 'Platform', 'Soundeffekt', 'Language', 'GUI', 'Map', 'M_240', 'Tanks', 'Image', 'China_Type99', 'DE', 'IMG_tool', 'Germany_Leopard', 'fuer_Handy', 'Handy', 'Sound_fuer_Handy', 'Hard']"
Parallel Flat Monte Carlo,10,21,None,100,2000,2000,2000,0,1.56,1.0148,"['TankWar', 'Record', 'Tanks', 'Language', 'Tools', 'einfrieren', 'GUI', 'Mars', 'USA_M1Abrams', 'Re_fuer_PC', 'Map', 'AI', 'China_Type99', 'M_240', 'Easy', 'Feuerkraft', 'Bombe', 'explodieren', 'Platform', 'EN', 'PC']"
