Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,14,None,100,1400,1400,1400,1400,5.0806,25.7627,"['TankWar', 'Soundeffekt', 'Platform', 'Tanks', 'AI', 'Language', 'GUI', 'DE', 'Map', 'PC', 'Hard', 'Sound_fuer_Handy', 'M_600', 'USA_M1Abrams']"
UCT MCTS,2,12,None,100,1200,1200,1200,1200,4.1592,25.7661,"['TankWar', 'Platform', 'Language', 'GUI', 'AI', 'Easy', 'Tanks', 'PC', 'Map', 'M_240', 'DE', 'Germany_Leopard']"
UCT MCTS,3,12,None,100,1200,1200,1200,1200,3.9452,22.3367,"['TankWar', 'Language', 'AI', 'Platform', 'GUI', 'Map', 'EN', 'Tanks', 'PC', 'Germany_Leopard', 'Hard', 'M_240']"
UCT MCTS,4,12,None,100,1200,1200,1200,1200,4.0956,22.336,"['TankWar', 'Platform', 'Language', 'AI', 'Handy', 'GUI', 'Map', 'EN', 'Tanks', 'M_240', 'Easy', 'USA_M1Abrams']"
UCT MCTS,5,14,None,100,1400,1400,1400,1400,5.4858,23.2415,"['TankWar', 'Record', 'Re_fuer_PC', 'Platform', 'Handy', 'AI', 'Tanks', 'GUI', 'Language', 'Map', 'Easy', 'EN', 'M_780', 'China_Type99']"
UCT MCTS,6,12,None,100,1200,1200,1200,1200,3.7676,23.7484,"['TankWar', 'Language', 'Tanks', 'GUI', 'AI', 'Map', 'DE', 'Platform', 'PC', 'Germany_Leopard', 'Hard', 'M_240']"
UCT MCTS,7,12,None,100,1200,1200,1200,1200,4.0447,23.7483,"['TankWar', 'GUI', 'Platform', 'AI', 'Language', 'Map', 'Easy', 'Tanks', 'EN', 'Handy', 'USA_M1Abrams', 'M_600']"
UCT MCTS,8,14,None,100,1400,1400,1400,1400,5.4364,25.7836,"['TankWar', 'Soundeffekt', 'AI', 'Tanks', 'GUI', 'Platform', 'Language', 'Map', 'Hard', 'M_240', 'Handy', 'EN', 'Sound_fuer_Handy', 'USA_M1Abrams']"
UCT MCTS,9,14,None,100,1400,1400,1400,1400,5.7284,25.7829,"['TankWar', 'AI', 'Language', 'Soundeffekt', 'Sound_fuer_pc', 'GUI', 'DE', 'Platform', 'Map', 'M_240', 'PC', 'Tanks', 'Easy', 'China_Type99']"
UCT MCTS,10,12,None,100,1200,1200,1200,1200,4.1083,23.3298,"['TankWar', 'Tanks', 'AI', 'Platform', 'Language', 'GUI', 'Map', 'EN', 'M_240', 'Handy', 'China_Type99', 'Easy']"
UCT MCTS,11,12,None,100,1200,1200,1200,1200,4.2565,23.3291,"['TankWar', 'Platform', 'Language', 'GUI', 'Map', 'Tanks', 'AI', 'PC', 'EN', 'M_240', 'Hard', 'Germany_Leopard']"
UCT MCTS,12,13,None,100,1300,1300,1300,1300,4.2768,23.8354,"['TankWar', 'explodieren', 'AI', 'Platform', 'Language', 'Easy', 'Tanks', 'GUI', 'Map', 'DE', 'PC', 'Germany_Leopard', 'M_240']"
UCT MCTS,13,12,None,100,1200,1200,1200,1200,3.967,23.8346,"['TankWar', 'GUI', 'Platform', 'Language', 'AI', 'Hard', 'Map', 'PC', 'Tanks', 'DE', 'Germany_Leopard', 'M_600']"
UCT MCTS,14,13,None,100,1300,1300,1300,1300,4.6555,22.0974,"['TankWar', 'AI', 'Easy', 'explodieren', 'Platform', 'Language', 'Tanks', 'GUI', 'Map', 'Handy', 'EN', 'M_240', 'China_Type99']"
UCT MCTS,15,15,None,100,1500,1500,1500,1500,5.5631,25.3061,"['TankWar', 'Language', 'GUI', 'explodieren', 'AI', 'Hard', 'Platform', 'PC', 'Map', 'M_600', 'Tanks', 'DE', 'Soundeffekt', 'Sound_fuer_pc', 'USA_M1Abrams']"
UCT MCTS,16,15,None,100,1500,1500,1500,1500,6.2947,25.3057,"['TankWar', 'Record', 'AI', 'Language', 'explodieren', 'GUI', 'EN', 'Tanks', 'Hard', 'Map', 'Platform', 'Re_fuer_Handy', 'M_780', 'Handy', 'Germany_Leopard']"
UCT MCTS,17,12,None,100,1200,1200,1200,1200,4.139,25.1116,"['TankWar', 'Language', 'Platform', 'Tanks', 'GUI', 'Map', 'AI', 'Hard', 'PC', 'M_780', 'China_Type99', 'DE']"
UCT MCTS,18,14,None,100,1400,1400,1400,1400,5.668,25.6156,"['TankWar', 'AI', 'Hard', 'explodieren', 'Language', 'DE', 'GUI', 'Platform', 'Image', 'Map', 'PC', 'Tanks', 'M_600', 'Germany_Leopard']"
UCT MCTS,19,12,None,100,1200,1200,1200,1200,4.2315,25.615,"['TankWar', 'GUI', 'Platform', 'AI', 'Tanks', 'Language', 'DE', 'Map', 'Handy', 'Hard', 'M_780', 'China_Type99']"
UCT MCTS,20,12,None,100,1200,1200,1200,1200,4.3153,23.5261,"['TankWar', 'AI', 'Platform', 'PC', 'Hard', 'GUI', 'Map', 'Language', 'Tanks', 'M_240', 'EN', 'USA_M1Abrams']"
UCT MCTS,21,12,None,100,1200,1200,1200,1200,3.9654,22.1428,"['TankWar', 'Language', 'AI', 'DE', 'GUI', 'Platform', 'Tanks', 'Germany_Leopard', 'Map', 'PC', 'M_780', 'Hard']"
UCT MCTS,22,14,None,100,1400,1400,1400,1400,5.4313,25.3876,"['TankWar', 'Language', 'GUI', 'Soundeffekt', 'Map', 'Platform', 'PC', 'Tanks', 'AI', 'Hard', 'M_240', 'Sound_fuer_pc', 'EN', 'USA_M1Abrams']"
UCT MCTS,23,12,None,100,1200,1200,1200,1200,4.1524,25.3878,"['TankWar', 'Platform', 'Language', 'EN', 'GUI', 'AI', 'Map', 'Easy', 'M_780', 'Tanks', 'USA_M1Abrams', 'Handy']"
UCT MCTS,24,14,None,100,1400,1400,1400,1400,5.2977,26.3318,"['TankWar', 'AI', 'Language', 'Record', 'Platform', 'GUI', 'DE', 'Tanks', 'Map', 'Handy', 'Hard', 'M_780', 'Re_fuer_Handy', 'USA_M1Abrams']"
UCT MCTS,25,12,None,100,1200,1200,1200,1200,4.0945,26.3311,"['TankWar', 'Language', 'AI', 'Hard', 'Platform', 'EN', 'GUI', 'Tanks', 'Map', 'Handy', 'M_780', 'USA_M1Abrams']"
UCT MCTS,26,13,None,100,1300,1300,1300,1300,4.7561,23.7882,"['TankWar', 'GUI', 'Language', 'Platform', 'AI', 'Easy', 'Map', 'explodieren', 'Tanks', 'M_240', 'DE', 'PC', 'China_Type99']"
UCT MCTS,27,14,None,100,1400,1400,1400,1400,5.8298,26.0264,"['TankWar', 'Record', 'Language', 'AI', 'Tanks', 'GUI', 'Platform', 'Re_fuer_Handy', 'DE', 'Map', 'Easy', 'M_240', 'PC', 'Germany_Leopard']"
UCT MCTS,28,12,None,100,1200,1200,1200,1200,4.1841,26.0257,"['TankWar', 'Platform', 'PC', 'GUI', 'Map', 'Language', 'Tanks', 'AI', 'M_240', 'DE', 'Easy', 'Germany_Leopard']"
UCT MCTS,29,15,None,100,1500,1500,1500,1500,6.0973,25.8243,"['TankWar', 'Language', 'Tanks', 'DE', 'Germany_Leopard', 'GUI', 'Soundeffekt', 'Platform', 'AI', 'USA_M1Abrams', 'Sound_fuer_Handy', 'Map', 'Handy', 'M_240', 'Easy']"
UCT MCTS,30,12,None,100,1200,1200,1200,1200,3.9618,25.823,"['TankWar', 'Platform', 'GUI', 'Language', 'AI', 'Hard', 'Tanks', 'Handy', 'Map', 'DE', 'M_240', 'Germany_Leopard']"
