Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,2,None,100,200,200,200,200,0.1673,2.9566,"['wget', 'base']"
Greedy MCTS,2,2,None,100,200,200,200,200,0.166,2.9811,"['wget', 'base']"
Greedy MCTS,3,2,None,100,200,200,200,200,0.1718,2.9679,"['wget', 'base']"
Greedy MCTS,4,2,None,100,200,200,200,200,0.164,3.0186,"['wget', 'base']"
Greedy MCTS,5,2,None,100,200,200,200,200,0.1647,3.0049,"['wget', 'base']"
Greedy MCTS,6,2,None,100,200,200,200,200,0.1604,3.0152,"['wget', 'base']"
Greedy MCTS,7,2,None,100,200,200,200,200,0.1623,3.0182,"['wget', 'base']"
Greedy MCTS,8,2,None,100,200,200,200,200,0.177,3.0412,"['wget', 'base']"
Greedy MCTS,9,2,None,100,200,200,200,200,0.1643,3.0568,"['wget', 'base']"
Greedy MCTS,10,2,None,100,200,200,200,200,0.1661,3.079,"['wget', 'base']"
Greedy MCTS,11,2,None,100,200,200,200,200,0.1688,3.0698,"['wget', 'base']"
Greedy MCTS,12,2,None,100,200,200,200,200,0.1654,3.045,"['wget', 'base']"
Greedy MCTS,13,2,None,100,200,200,200,200,0.1677,3.0923,"['wget', 'base']"
Greedy MCTS,14,2,None,100,200,200,200,200,0.1573,3.0716,"['wget', 'base']"
Greedy MCTS,15,2,None,100,200,200,200,200,0.1662,3.1042,"['wget', 'base']"
Greedy MCTS,16,2,None,100,200,200,200,200,0.1661,3.1208,"['wget', 'base']"
Greedy MCTS,17,2,None,100,200,200,200,200,0.1613,3.1149,"['wget', 'base']"
Greedy MCTS,18,2,None,100,200,200,200,200,0.1616,3.0979,"['wget', 'base']"
Greedy MCTS,19,2,None,100,200,200,200,200,0.1715,3.1519,"['wget', 'base']"
Greedy MCTS,20,2,None,100,200,200,200,200,0.1628,3.1376,"['wget', 'base']"
Greedy MCTS,21,2,None,100,200,200,200,200,0.1681,3.1298,"['wget', 'base']"
Greedy MCTS,22,2,None,100,200,200,200,200,0.1625,3.142,"['wget', 'base']"
Greedy MCTS,23,2,None,100,200,200,200,200,0.1667,3.1705,"['wget', 'base']"
Greedy MCTS,24,2,None,100,200,200,200,200,0.1622,3.1591,"['wget', 'base']"
Greedy MCTS,25,2,None,100,200,200,200,200,0.1644,3.1681,"['wget', 'base']"
Greedy MCTS,26,2,None,100,200,200,200,200,0.1635,3.1757,"['wget', 'base']"
Greedy MCTS,27,2,None,100,200,200,200,200,0.1623,3.2184,"['wget', 'base']"
Greedy MCTS,28,2,None,100,200,200,200,200,0.1609,3.2092,"['wget', 'base']"
Greedy MCTS,29,2,None,100,200,200,200,200,0.1627,3.2054,"['wget', 'base']"
Greedy MCTS,30,2,None,100,200,200,200,200,0.1643,3.2301,"['wget', 'base']"
