Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,2,None,100,100,100,100,0,0.069,0.5738,"['wget', 'base']"
Parallel Flat Monte Carlo,2,8,None,100,700,700,700,0,0.4344,0.6144,"['wget', 'no_directories', 'no_clobber', 'no_cookies', 'save_headers', 'no_http_keep_alive', 'output_file', 'base']"
Parallel Flat Monte Carlo,3,5,None,100,400,400,400,0,0.2531,0.6282,"['wget', 'no_dns_cache', 'output_file', 'convert_links', 'base']"
Parallel Flat Monte Carlo,4,4,None,100,300,300,300,0,0.2093,0.6488,"['wget', 'no_clobber', 'no_cookies', 'base']"
Parallel Flat Monte Carlo,5,2,None,100,100,100,100,0,0.0651,0.6462,"['wget', 'base']"
Parallel Flat Monte Carlo,6,2,None,100,100,100,100,0,0.0646,0.65,"['wget', 'base']"
Parallel Flat Monte Carlo,7,4,None,100,300,300,300,0,0.1943,0.6633,"['wget', 'convert_links', 'server_response', 'base']"
Parallel Flat Monte Carlo,8,5,None,100,400,400,400,0,0.2569,0.6718,"['wget', 'save_headers', 'server_response', 'convert_links', 'base']"
Parallel Flat Monte Carlo,9,4,None,100,300,300,300,0,0.1952,0.6785,"['wget', 'strict_comments', 'no_cookies', 'base']"
Parallel Flat Monte Carlo,10,6,None,100,500,500,500,0,0.3265,0.6871,"['wget', 'no_cookies', 'no_directories', 'no_http_keep_alive', 'output_file', 'base']"
Parallel Flat Monte Carlo,11,3,None,100,200,200,200,0,0.1296,0.6936,"['wget', 'no_cookies', 'base']"
Parallel Flat Monte Carlo,12,3,None,100,200,200,200,0,0.1322,0.6991,"['wget', 'no_dns_cache', 'base']"
Parallel Flat Monte Carlo,13,5,None,100,400,400,400,0,0.2613,0.7076,"['wget', 'no_clobber', 'server_response', 'save_headers', 'base']"
Parallel Flat Monte Carlo,14,2,None,100,100,100,100,0,0.0666,0.7048,"['wget', 'base']"
Parallel Flat Monte Carlo,15,2,None,100,100,100,100,0,0.0643,0.7086,"['wget', 'base']"
Parallel Flat Monte Carlo,16,3,None,100,200,200,200,0,0.1307,0.7202,"['wget', 'no_host_directories', 'base']"
Parallel Flat Monte Carlo,17,3,None,100,200,200,200,0,0.1308,0.7253,"['wget', 'no_http_keep_alive', 'base']"
Parallel Flat Monte Carlo,18,2,None,100,100,100,100,0,0.0666,0.7228,"['wget', 'base']"
Parallel Flat Monte Carlo,19,4,None,100,300,300,300,0,0.1975,0.736,"['wget', 'save_headers', 'no_clobber', 'base']"
Parallel Flat Monte Carlo,20,3,None,100,200,200,200,0,0.1319,0.7412,"['wget', 'server_response', 'base']"
Parallel Flat Monte Carlo,21,4,None,100,300,300,300,0,0.1993,0.7481,"['wget', 'no_dns_cache', 'no_cookies', 'base']"
Parallel Flat Monte Carlo,22,2,None,100,100,100,100,0,0.0649,0.7455,"['wget', 'base']"
Parallel Flat Monte Carlo,23,2,None,100,100,100,100,0,0.0651,0.7498,"['wget', 'base']"
Parallel Flat Monte Carlo,24,2,None,100,100,100,100,0,0.0659,0.7535,"['wget', 'base']"
Parallel Flat Monte Carlo,25,4,None,100,300,300,300,0,0.1989,0.7666,"['wget', 'no_dns_cache', 'save_headers', 'base']"
Parallel Flat Monte Carlo,26,2,None,100,100,100,100,0,0.0664,0.7641,"['wget', 'base']"
Parallel Flat Monte Carlo,27,2,None,100,100,100,100,0,0.0687,0.7679,"['wget', 'base']"
Parallel Flat Monte Carlo,28,3,None,100,200,200,200,0,0.1346,0.7796,"['wget', 'output_file', 'base']"
Parallel Flat Monte Carlo,29,2,None,100,100,100,100,0,0.0685,0.7769,"['wget', 'base']"
Parallel Flat Monte Carlo,30,2,None,100,100,100,100,0,0.0666,0.7807,"['wget', 'base']"
