Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,13,None,0,0,0,0,0,0.0009,0.0224,"['wget', 'no_http_keep_alive', 'output_file', 'no_dns_cache', 'no_host_directories', 'convert_links', 'verbosity', 'save_headers', 'no_verbose', 'strict_comments', 'no_directories', 'no_clobber', 'base']"
Random strategy,2,12,None,0,0,0,0,0,0.0009,0.0462,"['wget', 'no_cookies', 'no_directories', 'no_clobber', 'verbosity', 'no_verbose', 'convert_links', 'no_host_directories', 'save_headers', 'output_file', 'no_dns_cache', 'base']"
Random strategy,3,7,None,0,0,0,0,0,0.0005,0.0571,"['wget', 'no_dns_cache', 'convert_links', 'no_http_keep_alive', 'no_clobber', 'output_file', 'base']"
Random strategy,4,15,None,0,0,0,0,0,0.001,0.0798,"['wget', 'save_headers', 'output_file', 'no_dns_cache', 'no_directories', 'no_cookies', 'verbosity', 'convert_links', 'server_response', 'no_http_keep_alive', 'no_clobber', 'no_verbose', 'strict_comments', 'no_host_directories', 'base']"
Random strategy,5,11,None,0,0,0,0,0,0.0008,0.0967,"['wget', 'server_response', 'no_directories', 'no_clobber', 'no_http_keep_alive', 'verbosity', 'no_dns_cache', 'base', 'no_host_directories', 'strict_comments', 'quiet']"
Random strategy,6,4,None,0,0,0,0,0,0.0003,0.1033,"['wget', 'no_clobber', 'no_http_keep_alive', 'base']"
Random strategy,7,11,None,0,0,0,0,0,0.0009,0.1208,"['wget', 'no_dns_cache', 'server_response', 'verbosity', 'strict_comments', 'base', 'no_directories', 'no_clobber', 'output_file', 'convert_links', 'verbose']"
Random strategy,8,5,None,0,0,0,0,0,0.0003,0.129,"['wget', 'output_file', 'no_http_keep_alive', 'strict_comments', 'base']"
Random strategy,9,5,None,0,0,0,0,0,0.0004,0.1372,"['wget', 'no_clobber', 'server_response', 'no_dns_cache', 'base']"
Random strategy,10,14,None,0,0,0,0,0,0.0009,0.1584,"['wget', 'output_file', 'no_directories', 'no_clobber', 'save_headers', 'no_cookies', 'strict_comments', 'no_host_directories', 'verbosity', 'no_http_keep_alive', 'quiet', 'server_response', 'convert_links', 'base']"
Random strategy,11,15,None,0,0,0,0,0,0.0009,0.1809,"['wget', 'no_dns_cache', 'no_clobber', 'strict_comments', 'output_file', 'no_directories', 'server_response', 'save_headers', 'convert_links', 'no_host_directories', 'no_cookies', 'no_http_keep_alive', 'verbosity', 'no_verbose', 'base']"
Random strategy,12,11,None,0,0,0,0,0,0.0008,0.1986,"['wget', 'no_directories', 'verbosity', 'verbose', 'no_host_directories', 'save_headers', 'output_file', 'no_cookies', 'no_http_keep_alive', 'convert_links', 'base']"
Random strategy,13,15,None,0,0,0,0,0,0.0011,0.2212,"['wget', 'no_host_directories', 'verbosity', 'server_response', 'convert_links', 'no_verbose', 'output_file', 'no_clobber', 'strict_comments', 'no_cookies', 'no_http_keep_alive', 'no_directories', 'no_dns_cache', 'save_headers', 'base']"
Random strategy,14,4,None,0,0,0,0,0,0.0003,0.2277,"['wget', 'server_response', 'no_host_directories', 'base']"
Random strategy,15,12,None,0,0,0,0,0,0.0008,0.2462,"['wget', 'no_http_keep_alive', 'no_host_directories', 'no_directories', 'output_file', 'verbosity', 'quiet', 'no_clobber', 'no_cookies', 'save_headers', 'no_dns_cache', 'base']"
Random strategy,16,7,None,0,0,0,0,0,0.0005,0.2573,"['wget', 'strict_comments', 'no_cookies', 'no_http_keep_alive', 'server_response', 'no_directories', 'base']"
Random strategy,17,14,None,0,0,0,0,0,0.001,0.2784,"['wget', 'no_host_directories', 'convert_links', 'no_cookies', 'no_http_keep_alive', 'server_response', 'output_file', 'no_clobber', 'no_directories', 'verbosity', 'no_verbose', 'no_dns_cache', 'save_headers', 'base']"
Random strategy,18,12,None,0,0,0,0,0,0.0009,0.2968,"['wget', 'save_headers', 'no_dns_cache', 'no_clobber', 'strict_comments', 'verbosity', 'convert_links', 'no_host_directories', 'quiet', 'server_response', 'no_directories', 'base']"
Random strategy,19,10,None,0,0,0,0,0,0.0007,0.3122,"['wget', 'save_headers', 'no_clobber', 'server_response', 'no_host_directories', 'strict_comments', 'no_directories', 'no_cookies', 'convert_links', 'base']"
Random strategy,20,14,None,0,0,0,0,0,0.0011,0.3334,"['wget', 'no_host_directories', 'no_http_keep_alive', 'server_response', 'convert_links', 'no_dns_cache', 'verbosity', 'no_directories', 'verbose', 'no_cookies', 'strict_comments', 'output_file', 'no_clobber', 'base']"
Random strategy,21,8,None,0,0,0,0,0,0.0006,0.3458,"['wget', 'no_clobber', 'save_headers', 'no_host_directories', 'server_response', 'convert_links', 'no_directories', 'base']"
Random strategy,22,10,None,0,0,0,0,0,0.0007,0.3614,"['wget', 'no_dns_cache', 'strict_comments', 'no_host_directories', 'convert_links', 'no_clobber', 'verbosity', 'output_file', 'base', 'verbose']"
Random strategy,23,2,None,0,0,0,0,0,0.0004,0.3654,"['wget', 'base']"
Random strategy,24,12,None,0,0,0,0,0,0.0009,0.384,"['wget', 'no_clobber', 'no_directories', 'no_cookies', 'no_dns_cache', 'output_file', 'verbosity', 'convert_links', 'server_response', 'base', 'save_headers', 'quiet']"
Random strategy,25,12,None,0,0,0,0,0,0.0009,0.4023,"['wget', 'no_cookies', 'no_dns_cache', 'save_headers', 'no_http_keep_alive', 'verbosity', 'convert_links', 'no_directories', 'quiet', 'no_host_directories', 'no_clobber', 'base']"
Random strategy,26,3,None,0,0,0,0,0,0.0002,0.4074,"['wget', 'no_host_directories', 'base']"
Random strategy,27,14,None,0,0,0,0,0,0.001,0.4289,"['wget', 'no_directories', 'no_cookies', 'no_http_keep_alive', 'convert_links', 'verbosity', 'strict_comments', 'no_host_directories', 'no_verbose', 'no_dns_cache', 'server_response', 'output_file', 'save_headers', 'base']"
Random strategy,28,9,None,0,0,0,0,0,0.0006,0.4429,"['wget', 'no_http_keep_alive', 'output_file', 'no_clobber', 'no_dns_cache', 'save_headers', 'no_host_directories', 'no_directories', 'base']"
Random strategy,29,12,None,0,0,0,0,0,0.0008,0.4611,"['wget', 'output_file', 'save_headers', 'no_http_keep_alive', 'no_clobber', 'no_directories', 'no_dns_cache', 'strict_comments', 'convert_links', 'verbosity', 'base', 'verbose']"
Random strategy,30,12,None,0,0,0,0,0,0.0008,0.4792,"['wget', 'save_headers', 'convert_links', 'no_cookies', 'output_file', 'no_clobber', 'no_directories', 'no_http_keep_alive', 'server_response', 'no_host_directories', 'strict_comments', 'base']"
