Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 8, None, 0, 0, 0, 0, 0.778, 4.77762
A* search, 2, 8, None, 0, 0, 0, 0, 0.7807, 4.774369
A* search, 3, 8, None, 0, 0, 0, 0, 0.7824, 4.795256999999999
A* search, 4, 8, None, 0, 0, 0, 0, 0.7698, 4.802521
A* search, 5, 8, None, 0, 0, 0, 0, 0.7852, 4.796161
A* search, 6, 8, None, 0, 0, 0, 0, 0.7706, 4.817081
A* search, 7, 8, None, 0, 0, 0, 0, 0.7825, 4.810849
A* search, 8, 8, None, 0, 0, 0, 0, 0.7797, 4.8317369999999995
A* search, 9, 8, None, 0, 0, 0, 0, 0.778, 4.839001
A* search, 10, 8, None, 0, 0, 0, 0, 0.7927, 4.846145
A* search, 11, 8, None, 0, 0, 0, 0, 0.7739, 4.853593
A* search, 12, 8, None, 0, 0, 0, 0, 0.7994, 4.847617
A* search, 13, 8, None, 0, 0, 0, 0, 0.7923, 4.868505
A* search, 14, 8, None, 0, 0, 0, 0, 0.8076, 4.86222
A* search, 15, 8, None, 0, 0, 0, 0, 0.7799, 4.883108
A* search, 16, 8, None, 0, 0, 0, 0, 0.7909, 4.890372
A* search, 17, 8, None, 0, 0, 0, 0, 0.8035, 4.884011999999999
A* search, 18, 8, None, 0, 0, 0, 0, 0.797, 4.904964
A* search, 19, 8, None, 0, 0, 0, 0, 0.7927, 4.898604
A* search, 20, 8, None, 0, 0, 0, 0, 0.7877, 4.919492
A* search, 21, 8, None, 0, 0, 0, 0, 0.7864, 4.926756
A* search, 22, 8, None, 0, 0, 0, 0, 0.7896, 4.9338359999999994
A* search, 23, 8, None, 0, 0, 0, 0, 0.7931, 4.94182
A* search, 24, 8, None, 0, 0, 0, 0, 0.8038, 4.93546
A* search, 25, 8, None, 0, 0, 0, 0, 0.7881, 4.956348
A* search, 26, 8, None, 0, 0, 0, 0, 0.7835, 4.9636759999999995
A* search, 27, 8, None, 0, 0, 0, 0, 0.8105, 4.970756
A* search, 28, 8, None, 0, 0, 0, 0, 0.7849, 4.978204
A* search, 29, 8, None, 0, 0, 0, 0, 0.7916, 4.971844
A* search, 30, 8, None, 0, 0, 0, 0, 0.7851, 4.992732
