Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 10, None, 100, 0, 0, 0, 1.8737, 0.075692
Flat Monte Carlo, 2, 11, None, 100, 0, 0, 0, 1.8142, 0.094259
Flat Monte Carlo, 3, 8, None, 100, 0, 0, 0, 1.6802, 0.111119
Flat Monte Carlo, 4, 9, None, 100, 0, 0, 0, 1.767, 0.120567
Flat Monte Carlo, 5, 11, None, 100, 0, 0, 0, 1.9635, 0.131415
Flat Monte Carlo, 6, 11, None, 100, 0, 0, 0, 1.8385, 0.14563099999999998
Flat Monte Carlo, 7, 11, None, 100, 0, 0, 0, 1.8249, 0.159947
Flat Monte Carlo, 8, 12, None, 100, 0, 0, 0, 1.9599, 0.17776699999999998
Flat Monte Carlo, 9, 10, None, 100, 0, 0, 0, 1.7787, 0.190099
Flat Monte Carlo, 10, 12, None, 100, 0, 0, 0, 1.9146, 0.20801499999999998
Flat Monte Carlo, 11, 13, None, 100, 0, 0, 0, 2.0808, 0.22186299999999998
Flat Monte Carlo, 12, 12, None, 100, 0, 0, 0, 1.8407, 0.24174299999999999
Flat Monte Carlo, 13, 12, None, 100, 0, 0, 0, 1.9959, 0.258615
Flat Monte Carlo, 14, 12, None, 100, 0, 0, 0, 1.8609, 0.273507
Flat Monte Carlo, 15, 10, None, 100, 0, 0, 0, 1.7859, 0.286823
Flat Monte Carlo, 16, 12, None, 100, 0, 0, 0, 1.9627, 0.30216699999999996
Flat Monte Carlo, 17, 11, None, 100, 0, 0, 0, 1.9088, 0.314951
Flat Monte Carlo, 18, 12, None, 100, 0, 0, 0, 1.9105, 0.33691099999999996
Flat Monte Carlo, 19, 11, None, 100, 0, 0, 0, 1.8307, 0.349699
Flat Monte Carlo, 20, 11, None, 100, 0, 0, 0, 1.8783, 0.36388699999999996
Flat Monte Carlo, 21, 11, None, 100, 0, 0, 0, 1.8945, 0.378075
Flat Monte Carlo, 22, 11, None, 100, 0, 0, 0, 1.8619, 0.392263
Flat Monte Carlo, 23, 11, None, 100, 0, 0, 0, 1.9178, 0.406983
Flat Monte Carlo, 24, 12, None, 100, 0, 0, 0, 1.826, 0.424313
Flat Monte Carlo, 25, 11, None, 100, 0, 0, 0, 1.8193, 0.43710899999999997
Flat Monte Carlo, 26, 12, None, 100, 0, 0, 0, 1.823, 0.45464499999999997
Flat Monte Carlo, 27, 11, None, 100, 0, 0, 0, 1.8091, 0.467709
Flat Monte Carlo, 28, 11, None, 100, 0, 0, 0, 1.8298, 0.482189
Flat Monte Carlo, 29, 11, None, 100, 0, 0, 0, 1.8428, 0.49664899999999995
Flat Monte Carlo, 30, 10, None, 100, 0, 0, 0, 1.7563, 0.511621
