Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, GPL, 100, 0, 0, 101, 0.2584
UCT MCTS, 2, 5, 5, Weight, 100, 0, 0, 202, 0.162
UCT MCTS, 3, 4, 4, Search, 100, 0, 0, 303, 0.229
UCT MCTS, 4, 5, 5, Driver, 100, 0, 0, 404, 0.2661
UCT MCTS, 5, 5, 5, Benchmark, 100, 0, 0, 505, 0.312
UCT MCTS, 6, 4, 4, GraphType, 100, 0, 0, 591, 0.3517
UCT MCTS, 7, 5, 5, DFS, 100, 0, 0, 688, 0.3078
UCT MCTS, 8, 4, 4, Undirected, 100, 0, 0, 771, 0.3463
UCT MCTS, 9, 3, 3, Directed, 100, 0, 0, 807, 0.391
UCT MCTS, 10, 2, 2, Algorithms, 100, 0, 0, 807, 0.3715
UCT MCTS, 11, 8, 8, BFS, 100, 0, 0, 807, 0.3309
UCT MCTS, 12, 7, 7, Prim, 100, 0, 0, 807, 0.285
UCT MCTS, 13, 1, 1, GPL, 100, 0, 0, 101, 0.2286
UCT MCTS, 14, 5, 5, Driver, 100, 0, 0, 202, 0.1819
UCT MCTS, 15, 5, 5, GraphType, 100, 0, 0, 303, 0.2354
UCT MCTS, 16, 6, 6, Weight, 100, 0, 0, 404, 0.2741
UCT MCTS, 17, 5, 5, Undirected, 100, 0, 0, 505, 0.3004
UCT MCTS, 18, 4, 4, Benchmark, 100, 0, 0, 602, 0.3436
UCT MCTS, 19, 3, 3, Directed, 100, 0, 0, 684, 0.3596
UCT MCTS, 20, 2, 2, Search, 100, 0, 0, 734, 0.3721
UCT MCTS, 21, 3, 3, DFS, 100, 0, 0, 756, 0.3851
UCT MCTS, 22, 2, 2, Algorithms, 100, 0, 0, 756, 0.3626
UCT MCTS, 23, 8, 8, BFS, 100, 0, 0, 756, 0.3182
UCT MCTS, 24, 7, 7, Shortest, 100, 0, 0, 756, 0.2711
UCT MCTS, 25, 1, 1, GPL, 100, 0, 0, 101, 0.2294
UCT MCTS, 26, 5, 5, Search, 100, 0, 0, 202, 0.1849
UCT MCTS, 27, 6, 6, Weight, 100, 0, 0, 303, 0.244
UCT MCTS, 28, 5, 5, Driver, 100, 0, 0, 404, 0.2965
UCT MCTS, 29, 5, 5, DFS, 100, 0, 0, 485, 0.3427
UCT MCTS, 30, 4, 4, GraphType, 100, 0, 0, 556, 0.3503
UCT MCTS, 31, 5, 5, Undirected, 100, 0, 0, 612, 0.3645
UCT MCTS, 32, 4, 4, Benchmark, 100, 0, 0, 625, 0.3683
UCT MCTS, 33, 3, 3, Directed, 100, 0, 0, 628, 0.3462
