Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, TankWar, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 9, 9, Language, 100, 0, 0, 0, 0.5826
Flat Monte Carlo, 3, 10, 10, EN, 100, 0, 0, 0, 0.5593
Flat Monte Carlo, 4, 8, 8, AI, 100, 0, 0, 0, 0.5175
Flat Monte Carlo, 5, 9, 9, Platform, 100, 0, 0, 0, 0.4849
Flat Monte Carlo, 6, 10, 10, Handy, 100, 0, 0, 0, 0.4461
Flat Monte Carlo, 7, 8, 8, Tanks, 100, 0, 0, 0, 0.4224
Flat Monte Carlo, 8, 10, 10, Germany_Leopard, 100, 0, 0, 0, 0.3862
Flat Monte Carlo, 9, 9, 9, USA_M1Abrams, 100, 0, 0, 0, 0.3792
Flat Monte Carlo, 10, 8, 8, Easy, 100, 0, 0, 0, 0.3216
Flat Monte Carlo, 11, 6, 6, GUI, 100, 0, 0, 0, 0.3029
Flat Monte Carlo, 12, 7, 7, Map, 100, 0, 0, 0, 0.2565
Flat Monte Carlo, 13, 9, 9, M_600, 100, 0, 0, 0, 0.109
Flat Monte Carlo, 14, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 15, 9, 9, Platform, 100, 0, 0, 0, 0.5856
Flat Monte Carlo, 16, 10, 10, GUI, 100, 0, 0, 0, 0.5513
Flat Monte Carlo, 17, 11, 11, AI, 100, 0, 0, 0, 0.5715
Flat Monte Carlo, 18, 12, 12, Language, 100, 0, 0, 0, 0.5261
Flat Monte Carlo, 19, 13, 13, PC, 100, 0, 0, 0, 0.4595
Flat Monte Carlo, 20, 11, 11, Tanks, 100, 0, 0, 0, 0.4317
Flat Monte Carlo, 21, 13, 13, Germany_Leopard, 100, 0, 0, 0, 0.4031
Flat Monte Carlo, 22, 12, 12, Map, 100, 0, 0, 0, 0.366
Flat Monte Carlo, 23, 14, 14, Hard, 100, 0, 0, 0, 0.2891
Flat Monte Carlo, 24, 12, 12, DE, 100, 0, 0, 0, 0.2561
Flat Monte Carlo, 25, 10, 10, M_600, 100, 0, 0, 0, 0.1481
Flat Monte Carlo, 26, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 27, 9, 9, Soundeffekt, 100, 0, 0, 0, 0.6052
Flat Monte Carlo, 28, 10, 10, Sound_fuer_Handy, 100, 0, 0, 0, 0.5794
Flat Monte Carlo, 29, 8, 8, AI, 100, 0, 0, 0, 0.5394
Flat Monte Carlo, 30, 9, 9, Platform, 100, 0, 0, 0, 0.5132
Flat Monte Carlo, 31, 10, 10, PC, 100, 0, 0, 0, 0.4939
Flat Monte Carlo, 32, 8, 8, Language, 100, 0, 0, 0, 0.4451
Flat Monte Carlo, 33, 9, 9, GUI, 100, 0, 0, 0, 0.3908
Flat Monte Carlo, 34, 10, 10, Hard, 100, 0, 0, 0, 0.3735
Flat Monte Carlo, 35, 8, 8, Tanks, 100, 0, 0, 0, 0.3548
Flat Monte Carlo, 36, 10, 10, Map, 100, 0, 0, 0, 0.2947
Flat Monte Carlo, 37, 12, 12, DE, 100, 0, 0, 0, 0.1947
Flat Monte Carlo, 38, 10, 10, M_780, 100, 0, 0, 0, 0.1365
Flat Monte Carlo, 39, 7, 7, USA_M1Abrams, 100, 0, 0, 0, 0.0715
Flat Monte Carlo, 40, 0, 0, TankWar, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 41, 9, 9, Soundeffekt, 100, 0, 0, 0, 0.5891
Flat Monte Carlo, 42, 10, 10, Platform, 100, 0, 0, 0, 0.5805
Flat Monte Carlo, 43, 11, 11, Handy, 100, 0, 0, 0, 0.5326
Flat Monte Carlo, 44, 9, 9, Sound_fuer_pc, 100, 0, 0, 0, 0.5128
Flat Monte Carlo, 45, 7, 7, GUI, 100, 0, 0, 0, 0.4733
Flat Monte Carlo, 46, 8, 8, AI, 100, 0, 0, 0, 0.4681
