Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 13, None, 100, 0, 0, 1212, 6.3694, 41.425677
Greedy MCTS, 2, 13, None, 100, 0, 0, 1212, 6.5267, 40.205793
Greedy MCTS, 3, 13, None, 100, 0, 0, 1212, 6.3766, 41.420926
Greedy MCTS, 4, 18, None, 100, 0, 0, 1717, 10.1645, 45.630325
Greedy MCTS, 5, 15, None, 100, 0, 0, 1414, 7.9023, 42.892044999999996
Greedy MCTS, 6, 16, None, 100, 0, 0, 1515, 9.3202, 43.938462
Greedy MCTS, 7, 14, None, 100, 0, 0, 1313, 7.0972, 41.457344
Greedy MCTS, 8, 13, None, 100, 0, 0, 1212, 6.5162, 41.498702
Greedy MCTS, 9, 15, None, 100, 0, 0, 1414, 8.5251, 43.240212
Greedy MCTS, 10, 16, None, 100, 0, 0, 1515, 8.9139, 43.700669
Greedy MCTS, 11, 16, None, 100, 0, 0, 1515, 9.3622, 42.968703999999995
Greedy MCTS, 12, 14, None, 100, 0, 0, 1313, 7.7791, 45.375381
Greedy MCTS, 13, 15, None, 100, 0, 0, 1414, 7.2914, 43.785909
Greedy MCTS, 14, 13, None, 100, 0, 0, 1212, 6.5906, 41.302198
Greedy MCTS, 15, 15, None, 100, 0, 0, 1414, 7.8648, 43.334869
Greedy MCTS, 16, 17, None, 100, 0, 0, 1616, 10.3499, 46.233787
Greedy MCTS, 17, 18, None, 100, 0, 0, 1717, 11.6105, 45.187689
Greedy MCTS, 18, 17, None, 100, 0, 0, 1616, 8.9854, 46.890249999999995
Greedy MCTS, 19, 15, None, 100, 0, 0, 1414, 7.9671, 43.498791999999995
Greedy MCTS, 20, 16, None, 100, 0, 0, 1515, 9.1785, 44.326228
Greedy MCTS, 21, 15, None, 100, 0, 0, 1414, 7.7054, 43.748729
Greedy MCTS, 22, 14, None, 100, 0, 0, 1313, 7.2515, 41.859376999999995
Greedy MCTS, 23, 15, None, 100, 0, 0, 1414, 8.4119, 44.333309
Greedy MCTS, 24, 20, None, 100, 0, 0, 1919, 12.3259, 47.676322
Greedy MCTS, 25, 13, None, 100, 0, 0, 1212, 6.3287, 42.93251
Greedy MCTS, 26, 13, None, 100, 0, 0, 1212, 6.1229, 42.842862
Greedy MCTS, 27, 16, None, 100, 0, 0, 1515, 10.1367, 45.787577999999996
Greedy MCTS, 28, 13, None, 100, 0, 0, 1212, 6.4796, 42.817069
Greedy MCTS, 29, 16, None, 100, 0, 0, 1515, 8.9547, 44.803584
Greedy MCTS, 30, 15, None, 100, 0, 0, 1414, 7.6795, 43.806157
