Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 3, None, 100, 0, 0, 202, 0.227, 4.414823
Greedy MCTS, 2, 3, None, 100, 0, 0, 202, 0.2696, 4.427675
Greedy MCTS, 3, 3, None, 100, 0, 0, 202, 0.2453, 4.426559
Greedy MCTS, 4, 3, None, 100, 0, 0, 202, 0.2445, 4.422567
Greedy MCTS, 5, 3, None, 100, 0, 0, 202, 0.2492, 4.433539
Greedy MCTS, 6, 3, None, 100, 0, 0, 202, 0.2532, 4.440491
Greedy MCTS, 7, 3, None, 100, 0, 0, 202, 0.2574, 4.437759
Greedy MCTS, 8, 3, None, 100, 0, 0, 202, 0.244, 4.449056
Greedy MCTS, 9, 3, None, 100, 0, 0, 202, 0.2518, 4.4461949999999995
Greedy MCTS, 10, 3, None, 100, 0, 0, 202, 0.257, 4.453924
Greedy MCTS, 11, 3, None, 100, 0, 0, 202, 0.2507, 4.4677229999999994
Greedy MCTS, 12, 3, None, 100, 0, 0, 202, 0.2431, 4.459417999999999
Greedy MCTS, 13, 3, None, 100, 0, 0, 202, 0.2417, 4.475931999999999
Greedy MCTS, 14, 3, None, 100, 0, 0, 202, 0.2602, 4.4779349999999996
Greedy MCTS, 15, 3, None, 100, 0, 0, 202, 0.2474, 4.482403
Greedy MCTS, 16, 3, None, 100, 0, 0, 202, 0.2474, 4.485325
Greedy MCTS, 17, 3, None, 100, 0, 0, 202, 0.2482, 4.4878219999999995
Greedy MCTS, 18, 3, None, 100, 0, 0, 202, 0.2427, 4.4912209999999995
Greedy MCTS, 19, 3, None, 100, 0, 0, 202, 0.2526, 4.503365
Greedy MCTS, 20, 3, None, 100, 0, 0, 202, 0.2684, 4.515232999999999
Greedy MCTS, 21, 3, None, 100, 0, 0, 202, 0.2667, 4.515117
Greedy MCTS, 22, 4, None, 100, 0, 0, 303, 0.3908, 5.482545
Greedy MCTS, 23, 3, None, 100, 0, 0, 202, 0.2581, 4.5286669999999996
Greedy MCTS, 24, 3, None, 100, 0, 0, 202, 0.2495, 4.5235769999999995
Greedy MCTS, 25, 3, None, 100, 0, 0, 202, 0.2504, 4.529286
Greedy MCTS, 26, 3, None, 100, 0, 0, 202, 0.2523, 4.532602
Greedy MCTS, 27, 3, None, 100, 0, 0, 202, 0.241, 4.542014
Greedy MCTS, 28, 3, None, 100, 0, 0, 202, 0.2599, 4.551232
Greedy MCTS, 29, 3, None, 100, 0, 0, 202, 0.2613, 4.548012
Greedy MCTS, 30, 3, None, 100, 0, 0, 202, 0.2547, 4.567968
