Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, wget, 100, 0, 0, 101, 0.1155
Greedy MCTS, 2, 13, 13, base, 100, 0, 0, 202, 0.1109
Greedy MCTS, 3, 1, 1, wget, 100, 0, 0, 101, 0.1317
Greedy MCTS, 4, 13, 13, base, 100, 0, 0, 202, 0.1348
Greedy MCTS, 5, 1, 1, wget, 100, 0, 0, 101, 0.1216
Greedy MCTS, 6, 13, 13, base, 100, 0, 0, 202, 0.1204
Greedy MCTS, 7, 1, 1, wget, 100, 0, 0, 101, 0.1196
Greedy MCTS, 8, 13, 13, base, 100, 0, 0, 202, 0.1213
Greedy MCTS, 9, 1, 1, wget, 100, 0, 0, 101, 0.1295
Greedy MCTS, 10, 13, 13, base, 100, 0, 0, 202, 0.1156
Greedy MCTS, 11, 1, 1, wget, 100, 0, 0, 101, 0.1269
Greedy MCTS, 12, 13, 13, base, 100, 0, 0, 202, 0.1227
Greedy MCTS, 13, 1, 1, wget, 100, 0, 0, 101, 0.1299
Greedy MCTS, 14, 13, 13, base, 100, 0, 0, 202, 0.1239
Greedy MCTS, 15, 1, 1, wget, 100, 0, 0, 101, 0.1176
Greedy MCTS, 16, 13, 13, base, 100, 0, 0, 202, 0.1226
Greedy MCTS, 17, 1, 1, wget, 100, 0, 0, 101, 0.125
Greedy MCTS, 18, 13, 13, base, 100, 0, 0, 202, 0.1232
Greedy MCTS, 19, 1, 1, wget, 100, 0, 0, 101, 0.1282
Greedy MCTS, 20, 13, 13, base, 100, 0, 0, 202, 0.1253
Greedy MCTS, 21, 1, 1, wget, 100, 0, 0, 101, 0.1332
Greedy MCTS, 22, 13, 13, base, 100, 0, 0, 202, 0.1143
Greedy MCTS, 23, 1, 1, wget, 100, 0, 0, 101, 0.1233
Greedy MCTS, 24, 13, 13, base, 100, 0, 0, 202, 0.1167
Greedy MCTS, 25, 1, 1, wget, 100, 0, 0, 101, 0.1211
Greedy MCTS, 26, 13, 13, base, 100, 0, 0, 202, 0.117
Greedy MCTS, 27, 1, 1, wget, 100, 0, 0, 101, 0.1282
Greedy MCTS, 28, 13, 13, base, 100, 0, 0, 202, 0.1287
Greedy MCTS, 29, 1, 1, wget, 100, 0, 0, 101, 0.1275
Greedy MCTS, 30, 13, 13, base, 100, 0, 0, 202, 0.1161
Greedy MCTS, 31, 1, 1, wget, 100, 0, 0, 101, 0.1264
Greedy MCTS, 32, 13, 13, base, 100, 0, 0, 202, 0.1175
Greedy MCTS, 33, 1, 1, wget, 100, 0, 0, 101, 0.1228
Greedy MCTS, 34, 13, 13, base, 100, 0, 0, 202, 0.1217
Greedy MCTS, 35, 1, 1, wget, 100, 0, 0, 101, 0.1259
Greedy MCTS, 36, 13, 13, base, 100, 0, 0, 202, 0.1137
Greedy MCTS, 37, 1, 1, wget, 100, 0, 0, 101, 0.1281
Greedy MCTS, 38, 13, 13, base, 100, 0, 0, 202, 0.1209
Greedy MCTS, 39, 1, 1, wget, 100, 0, 0, 101, 0.1365
Greedy MCTS, 40, 13, 13, base, 100, 0, 0, 202, 0.1282
Greedy MCTS, 41, 1, 1, wget, 100, 0, 0, 101, 0.1348
Greedy MCTS, 42, 13, 13, base, 100, 0, 0, 202, 0.1285
Greedy MCTS, 43, 1, 1, wget, 100, 0, 0, 101, 0.1189
Greedy MCTS, 44, 13, 13, no_clobber, 100, 0, 0, 202, 0.1135
Greedy MCTS, 45, 12, 12, base, 100, 0, 0, 303, 0.1549
Greedy MCTS, 46, 1, 1, wget, 100, 0, 0, 101, 0.1304
Greedy MCTS, 47, 13, 13, base, 100, 0, 0, 202, 0.1219
Greedy MCTS, 48, 1, 1, wget, 100, 0, 0, 101, 0.119
Greedy MCTS, 49, 13, 13, base, 100, 0, 0, 202, 0.1267
Greedy MCTS, 50, 1, 1, wget, 100, 0, 0, 101, 0.1229
Greedy MCTS, 51, 13, 13, base, 100, 0, 0, 202, 0.1242
Greedy MCTS, 52, 1, 1, wget, 100, 0, 0, 101, 0.1341
Greedy MCTS, 53, 13, 13, base, 100, 0, 0, 202, 0.1149
Greedy MCTS, 54, 1, 1, wget, 100, 0, 0, 101, 0.1187
Greedy MCTS, 55, 13, 13, base, 100, 0, 0, 202, 0.1187
Greedy MCTS, 56, 1, 1, wget, 100, 0, 0, 101, 0.1311
Greedy MCTS, 57, 13, 13, base, 100, 0, 0, 202, 0.1251
Greedy MCTS, 58, 1, 1, wget, 100, 0, 0, 101, 0.1237
Greedy MCTS, 59, 13, 13, base, 100, 0, 0, 202, 0.1342
Greedy MCTS, 60, 1, 1, wget, 100, 0, 0, 101, 0.1238
Greedy MCTS, 61, 13, 13, base, 100, 0, 0, 202, 0.1276
