Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 3, None, 100, 0, 0, 202, 0.2405, 2.288167
UCT MCTS, 2, 3, None, 100, 0, 0, 202, 0.2343, 2.291139
UCT MCTS, 3, 3, None, 100, 0, 0, 202, 0.2408, 2.29468
UCT MCTS, 4, 3, None, 100, 0, 0, 202, 0.2554, 2.300599
UCT MCTS, 5, 3, None, 100, 0, 0, 202, 0.2462, 2.301776
UCT MCTS, 6, 3, None, 100, 0, 0, 202, 0.2463, 2.308461
UCT MCTS, 7, 3, None, 100, 0, 0, 202, 0.2274, 2.309115
UCT MCTS, 8, 3, None, 100, 0, 0, 202, 0.2368, 2.318777
UCT MCTS, 9, 3, None, 100, 0, 0, 202, 0.2424, 2.3178549999999998
UCT MCTS, 10, 3, None, 100, 0, 0, 202, 0.2401, 2.333801
UCT MCTS, 11, 3, None, 100, 0, 0, 202, 0.2436, 2.3344329999999998
UCT MCTS, 12, 3, None, 100, 0, 0, 202, 0.2471, 2.33525
UCT MCTS, 13, 3, None, 100, 0, 0, 202, 0.2368, 2.334625
UCT MCTS, 14, 3, None, 100, 0, 0, 202, 0.2521, 2.345609
UCT MCTS, 15, 3, None, 100, 0, 0, 202, 0.2523, 2.3463089999999998
UCT MCTS, 16, 3, None, 100, 0, 0, 202, 0.2298, 2.3468459999999998
UCT MCTS, 17, 3, None, 100, 0, 0, 202, 0.2361, 2.351949
UCT MCTS, 18, 3, None, 100, 0, 0, 202, 0.246, 2.354257
UCT MCTS, 19, 3, None, 100, 0, 0, 202, 0.2559, 2.354783
UCT MCTS, 20, 3, None, 100, 0, 0, 202, 0.2471, 2.3579529999999997
UCT MCTS, 21, 3, None, 100, 0, 0, 202, 0.2381, 2.361409
UCT MCTS, 22, 3, None, 100, 0, 0, 202, 0.2361, 2.366409
UCT MCTS, 23, 3, None, 100, 0, 0, 202, 0.2379, 2.374165
UCT MCTS, 24, 3, None, 100, 0, 0, 202, 0.2649, 2.3826009999999997
UCT MCTS, 25, 3, None, 100, 0, 0, 202, 0.2431, 2.3831379999999998
UCT MCTS, 26, 3, None, 100, 0, 0, 202, 0.2406, 2.380333
UCT MCTS, 27, 3, None, 100, 0, 0, 202, 0.2392, 2.3807329999999998
UCT MCTS, 28, 3, None, 100, 0, 0, 202, 0.2321, 2.3812699999999998
UCT MCTS, 29, 3, None, 100, 0, 0, 202, 0.2532, 2.3939649999999997
UCT MCTS, 30, 3, None, 100, 0, 0, 202, 0.2409, 2.3945019999999997
Greedy MCTS, 31, 3, None, 100, 0, 0, 202, 0.2269, 4.414007
Greedy MCTS, 32, 3, None, 100, 0, 0, 202, 0.2696, 4.427829
Greedy MCTS, 33, 3, None, 100, 0, 0, 202, 0.2451, 4.428038
Greedy MCTS, 34, 3, None, 100, 0, 0, 202, 0.2444, 4.426902
Greedy MCTS, 35, 3, None, 100, 0, 0, 202, 0.2491, 4.433012
Greedy MCTS, 36, 3, None, 100, 0, 0, 202, 0.2531, 4.439964
Greedy MCTS, 37, 3, None, 100, 0, 0, 202, 0.2573, 4.440962
Greedy MCTS, 38, 3, None, 100, 0, 0, 202, 0.2438, 4.448519999999999
Greedy MCTS, 39, 3, None, 100, 0, 0, 202, 0.2517, 4.449389
Greedy MCTS, 40, 3, None, 100, 0, 0, 202, 0.257, 4.4533879999999995
Greedy MCTS, 41, 3, None, 100, 0, 0, 202, 0.2506, 4.467849
Greedy MCTS, 42, 3, None, 100, 0, 0, 202, 0.243, 4.468293
Greedy MCTS, 43, 3, None, 100, 0, 0, 202, 0.2416, 4.474692999999999
Greedy MCTS, 44, 3, None, 100, 0, 0, 202, 0.2601, 4.478413
Greedy MCTS, 45, 3, None, 100, 0, 0, 202, 0.2472, 4.481876
Greedy MCTS, 46, 3, None, 100, 0, 0, 202, 0.2473, 4.484798
Greedy MCTS, 47, 3, None, 100, 0, 0, 202, 0.2481, 4.487966999999999
Greedy MCTS, 48, 3, None, 100, 0, 0, 202, 0.2427, 4.491883
Greedy MCTS, 49, 3, None, 100, 0, 0, 202, 0.2525, 4.502838
Greedy MCTS, 50, 3, None, 100, 0, 0, 202, 0.2682, 4.515387
Greedy MCTS, 51, 3, None, 100, 0, 0, 202, 0.2667, 4.515522
Greedy MCTS, 52, 4, None, 100, 0, 0, 303, 0.3907, 5.483035
Greedy MCTS, 53, 3, None, 100, 0, 0, 202, 0.258, 5.483389
Greedy MCTS, 54, 3, None, 100, 0, 0, 202, 0.2494, 4.528957999999999
Greedy MCTS, 55, 3, None, 100, 0, 0, 202, 0.2503, 4.5287489999999995
Greedy MCTS, 56, 3, None, 100, 0, 0, 202, 0.2522, 4.5332539999999995
Greedy MCTS, 57, 3, None, 100, 0, 0, 202, 0.2409, 4.5414769999999995
Greedy MCTS, 58, 3, None, 100, 0, 0, 202, 0.2598, 4.550705
Greedy MCTS, 59, 3, None, 100, 0, 0, 202, 0.2613, 4.551576
Greedy MCTS, 60, 3, None, 100, 0, 0, 202, 0.2546, 4.567441
