Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, wget, 100, 0, 0, 101, 0.1182
UCT MCTS, 2, 13, 13, base, 100, 0, 0, 202, 0.1217
UCT MCTS, 3, 1, 1, wget, 100, 0, 0, 101, 0.1217
UCT MCTS, 4, 13, 13, base, 100, 0, 0, 202, 0.1085
UCT MCTS, 5, 1, 1, wget, 100, 0, 0, 101, 0.1122
UCT MCTS, 6, 13, 13, base, 100, 0, 0, 202, 0.1248
UCT MCTS, 7, 1, 1, wget, 100, 0, 0, 101, 0.1333
UCT MCTS, 8, 13, 13, base, 100, 0, 0, 202, 0.1184
UCT MCTS, 9, 1, 1, wget, 100, 0, 0, 101, 0.1263
UCT MCTS, 10, 13, 13, base, 100, 0, 0, 202, 0.1162
UCT MCTS, 11, 1, 1, wget, 100, 0, 0, 101, 0.1195
UCT MCTS, 12, 13, 13, base, 100, 0, 0, 202, 0.1232
UCT MCTS, 13, 1, 1, wget, 100, 0, 0, 101, 0.1188
UCT MCTS, 14, 13, 13, base, 100, 0, 0, 202, 0.1052
UCT MCTS, 15, 1, 1, wget, 100, 0, 0, 101, 0.1122
UCT MCTS, 16, 13, 13, base, 100, 0, 0, 202, 0.1208
UCT MCTS, 17, 1, 1, wget, 100, 0, 0, 101, 0.1287
UCT MCTS, 18, 13, 13, base, 100, 0, 0, 202, 0.1104
UCT MCTS, 19, 1, 1, wget, 100, 0, 0, 101, 0.1176
UCT MCTS, 20, 13, 13, base, 100, 0, 0, 202, 0.1185
UCT MCTS, 21, 1, 1, wget, 100, 0, 0, 101, 0.1207
UCT MCTS, 22, 13, 13, base, 100, 0, 0, 202, 0.1187
UCT MCTS, 23, 1, 1, wget, 100, 0, 0, 101, 0.1215
UCT MCTS, 24, 13, 13, base, 100, 0, 0, 202, 0.1214
UCT MCTS, 25, 1, 1, wget, 100, 0, 0, 101, 0.1201
UCT MCTS, 26, 13, 13, base, 100, 0, 0, 202, 0.1132
UCT MCTS, 27, 1, 1, wget, 100, 0, 0, 101, 0.1313
UCT MCTS, 28, 13, 13, base, 100, 0, 0, 202, 0.1175
UCT MCTS, 29, 1, 1, wget, 100, 0, 0, 101, 0.1265
UCT MCTS, 30, 13, 13, base, 100, 0, 0, 202, 0.1222
UCT MCTS, 31, 1, 1, wget, 100, 0, 0, 101, 0.1115
UCT MCTS, 32, 13, 13, base, 100, 0, 0, 202, 0.1142
UCT MCTS, 33, 1, 1, wget, 100, 0, 0, 101, 0.116
UCT MCTS, 34, 13, 13, base, 100, 0, 0, 202, 0.1161
UCT MCTS, 35, 1, 1, wget, 100, 0, 0, 101, 0.1245
UCT MCTS, 36, 13, 13, base, 100, 0, 0, 202, 0.1174
UCT MCTS, 37, 1, 1, wget, 100, 0, 0, 101, 0.1319
UCT MCTS, 38, 13, 13, base, 100, 0, 0, 202, 0.1201
UCT MCTS, 39, 1, 1, wget, 100, 0, 0, 101, 0.1196
UCT MCTS, 40, 13, 13, base, 100, 0, 0, 202, 0.1234
UCT MCTS, 41, 1, 1, wget, 100, 0, 0, 101, 0.1166
UCT MCTS, 42, 13, 13, base, 100, 0, 0, 202, 0.1173
UCT MCTS, 43, 1, 1, wget, 100, 0, 0, 101, 0.1181
UCT MCTS, 44, 13, 13, base, 100, 0, 0, 202, 0.1139
UCT MCTS, 45, 1, 1, wget, 100, 0, 0, 101, 0.1167
UCT MCTS, 46, 13, 13, base, 100, 0, 0, 202, 0.1173
UCT MCTS, 47, 1, 1, wget, 100, 0, 0, 101, 0.1335
UCT MCTS, 48, 13, 13, base, 100, 0, 0, 202, 0.1272
UCT MCTS, 49, 1, 1, wget, 100, 0, 0, 101, 0.1197
UCT MCTS, 50, 13, 13, base, 100, 0, 0, 202, 0.1189
UCT MCTS, 51, 1, 1, wget, 100, 0, 0, 101, 0.1194
UCT MCTS, 52, 13, 13, base, 100, 0, 0, 202, 0.1169
UCT MCTS, 53, 1, 1, wget, 100, 0, 0, 101, 0.1236
UCT MCTS, 54, 13, 13, base, 100, 0, 0, 202, 0.1117
UCT MCTS, 55, 1, 1, wget, 100, 0, 0, 101, 0.1138
UCT MCTS, 56, 13, 13, base, 100, 0, 0, 202, 0.1147
UCT MCTS, 57, 1, 1, wget, 100, 0, 0, 101, 0.1174
UCT MCTS, 58, 13, 13, base, 100, 0, 0, 202, 0.1321
UCT MCTS, 59, 1, 1, wget, 100, 0, 0, 101, 0.1202
UCT MCTS, 60, 13, 13, base, 100, 0, 0, 202, 0.1167
Greedy MCTS, 61, 1, 1, wget, 100, 0, 0, 101, 0.1154
Greedy MCTS, 62, 13, 13, base, 100, 0, 0, 202, 0.1107
Greedy MCTS, 63, 1, 1, wget, 100, 0, 0, 101, 0.1316
Greedy MCTS, 64, 13, 13, base, 100, 0, 0, 202, 0.1347
Greedy MCTS, 65, 1, 1, wget, 100, 0, 0, 101, 0.1214
Greedy MCTS, 66, 13, 13, base, 100, 0, 0, 202, 0.1202
Greedy MCTS, 67, 1, 1, wget, 100, 0, 0, 101, 0.1195
Greedy MCTS, 68, 13, 13, base, 100, 0, 0, 202, 0.1212
Greedy MCTS, 69, 1, 1, wget, 100, 0, 0, 101, 0.1294
Greedy MCTS, 70, 13, 13, base, 100, 0, 0, 202, 0.1155
Greedy MCTS, 71, 1, 1, wget, 100, 0, 0, 101, 0.1268
Greedy MCTS, 72, 13, 13, base, 100, 0, 0, 202, 0.1226
Greedy MCTS, 73, 1, 1, wget, 100, 0, 0, 101, 0.1298
Greedy MCTS, 74, 13, 13, base, 100, 0, 0, 202, 0.1238
Greedy MCTS, 75, 1, 1, wget, 100, 0, 0, 101, 0.1175
Greedy MCTS, 76, 13, 13, base, 100, 0, 0, 202, 0.1225
Greedy MCTS, 77, 1, 1, wget, 100, 0, 0, 101, 0.1249
Greedy MCTS, 78, 13, 13, base, 100, 0, 0, 202, 0.123
Greedy MCTS, 79, 1, 1, wget, 100, 0, 0, 101, 0.1281
Greedy MCTS, 80, 13, 13, base, 100, 0, 0, 202, 0.1252
Greedy MCTS, 81, 1, 1, wget, 100, 0, 0, 101, 0.1331
Greedy MCTS, 82, 13, 13, base, 100, 0, 0, 202, 0.1143
Greedy MCTS, 83, 1, 1, wget, 100, 0, 0, 101, 0.1232
Greedy MCTS, 84, 13, 13, base, 100, 0, 0, 202, 0.1166
Greedy MCTS, 85, 1, 1, wget, 100, 0, 0, 101, 0.1209
Greedy MCTS, 86, 13, 13, base, 100, 0, 0, 202, 0.1169
Greedy MCTS, 87, 1, 1, wget, 100, 0, 0, 101, 0.1281
Greedy MCTS, 88, 13, 13, base, 100, 0, 0, 202, 0.1286
Greedy MCTS, 89, 1, 1, wget, 100, 0, 0, 101, 0.1274
Greedy MCTS, 90, 13, 13, base, 100, 0, 0, 202, 0.116
Greedy MCTS, 91, 1, 1, wget, 100, 0, 0, 101, 0.1263
Greedy MCTS, 92, 13, 13, base, 100, 0, 0, 202, 0.1174
Greedy MCTS, 93, 1, 1, wget, 100, 0, 0, 101, 0.1227
Greedy MCTS, 94, 13, 13, base, 100, 0, 0, 202, 0.1216
Greedy MCTS, 95, 1, 1, wget, 100, 0, 0, 101, 0.1258
Greedy MCTS, 96, 13, 13, base, 100, 0, 0, 202, 0.1136
Greedy MCTS, 97, 1, 1, wget, 100, 0, 0, 101, 0.128
Greedy MCTS, 98, 13, 13, base, 100, 0, 0, 202, 0.1207
Greedy MCTS, 99, 1, 1, wget, 100, 0, 0, 101, 0.1364
Greedy MCTS, 100, 13, 13, base, 100, 0, 0, 202, 0.1281
Greedy MCTS, 101, 1, 1, wget, 100, 0, 0, 101, 0.1347
Greedy MCTS, 102, 13, 13, base, 100, 0, 0, 202, 0.1284
Greedy MCTS, 103, 1, 1, wget, 100, 0, 0, 101, 0.1188
Greedy MCTS, 104, 13, 13, no_clobber, 100, 0, 0, 202, 0.1134
Greedy MCTS, 105, 12, 12, base, 100, 0, 0, 303, 0.1548
Greedy MCTS, 106, 1, 1, wget, 100, 0, 0, 101, 0.1303
Greedy MCTS, 107, 13, 13, base, 100, 0, 0, 202, 0.1218
Greedy MCTS, 108, 1, 1, wget, 100, 0, 0, 101, 0.1188
Greedy MCTS, 109, 13, 13, base, 100, 0, 0, 202, 0.1266
Greedy MCTS, 110, 1, 1, wget, 100, 0, 0, 101, 0.1228
Greedy MCTS, 111, 13, 13, base, 100, 0, 0, 202, 0.1241
Greedy MCTS, 112, 1, 1, wget, 100, 0, 0, 101, 0.134
Greedy MCTS, 113, 13, 13, base, 100, 0, 0, 202, 0.1148
Greedy MCTS, 114, 1, 1, wget, 100, 0, 0, 101, 0.1186
Greedy MCTS, 115, 13, 13, base, 100, 0, 0, 202, 0.1186
Greedy MCTS, 116, 1, 1, wget, 100, 0, 0, 101, 0.131
Greedy MCTS, 117, 13, 13, base, 100, 0, 0, 202, 0.125
Greedy MCTS, 118, 1, 1, wget, 100, 0, 0, 101, 0.1236
Greedy MCTS, 119, 13, 13, base, 100, 0, 0, 202, 0.1341
Greedy MCTS, 120, 1, 1, wget, 100, 0, 0, 101, 0.1237
Greedy MCTS, 121, 13, 13, base, 100, 0, 0, 202, 0.1275
