Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 3, 3, System, 100, 0, 0, 0, 0.0745
Flat Monte Carlo, 3, 4, 4, Win, 100, 0, 0, 0, 0.0438
Flat Monte Carlo, 4, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 5, 3, 3, System, 100, 0, 0, 0, 0.0728
Flat Monte Carlo, 6, 4, 4, Linux, 100, 0, 0, 0, 0.0462
Flat Monte Carlo, 7, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 8, 3, 3, System, 100, 0, 0, 0, 0.0704
Flat Monte Carlo, 9, 4, 4, Linux, 100, 0, 0, 0, 0.0364
Flat Monte Carlo, 10, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 11, 3, 3, System, 100, 0, 0, 0, 0.0762
Flat Monte Carlo, 12, 4, 4, Linux, 100, 0, 0, 0, 0.0359
Flat Monte Carlo, 13, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 14, 3, 3, System, 100, 0, 0, 0, 0.0749
Flat Monte Carlo, 15, 4, 4, Win, 100, 0, 0, 0, 0.0321
Flat Monte Carlo, 16, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 17, 3, 3, System, 100, 0, 0, 0, 0.0663
Flat Monte Carlo, 18, 4, 4, Win, 100, 0, 0, 0, 0.0375
Flat Monte Carlo, 19, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 20, 3, 3, System, 100, 0, 0, 0, 0.0735
Flat Monte Carlo, 21, 4, 4, Win, 100, 0, 0, 0, 0.0415
Flat Monte Carlo, 22, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 23, 3, 3, System, 100, 0, 0, 0, 0.0735
Flat Monte Carlo, 24, 4, 4, Win, 100, 0, 0, 0, 0.046
Flat Monte Carlo, 25, 0, 0, AAFMFramework, 100, 0, 0, 0, 0.0001
