Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0739
Greedy MCTS, 2, 3, 3, System, 100, 0, 0, 199, 0.1197
Greedy MCTS, 3, 4, 4, Win, 100, 0, 0, 263, 0.1534
Greedy MCTS, 4, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0705
Greedy MCTS, 5, 3, 3, System, 100, 0, 0, 196, 0.1174
Greedy MCTS, 6, 4, 4, Win, 100, 0, 0, 247, 0.1566
Greedy MCTS, 7, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0743
Greedy MCTS, 8, 3, 3, System, 100, 0, 0, 190, 0.1201
Greedy MCTS, 9, 4, 4, Packages, 100, 0, 0, 242, 0.1524
Greedy MCTS, 10, 7, 7, pyglucose, 100, 0, 0, 269, 0.1561
Greedy MCTS, 11, 6, 6, pycosat, 100, 0, 0, 288, 0.1592
Greedy MCTS, 12, 5, 5, python-sat, 100, 0, 0, 290, 0.1361
Greedy MCTS, 13, 4, 4, Win, 100, 0, 0, 290, 0.1125
Greedy MCTS, 14, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0707
Greedy MCTS, 15, 3, 3, System, 100, 0, 0, 193, 0.1159
Greedy MCTS, 16, 4, 4, Linux, 100, 0, 0, 234, 0.148
Greedy MCTS, 17, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.07
Greedy MCTS, 18, 3, 3, System, 100, 0, 0, 185, 0.1138
Greedy MCTS, 19, 4, 4, Win, 100, 0, 0, 248, 0.1478
Greedy MCTS, 20, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0684
Greedy MCTS, 21, 3, 3, System, 100, 0, 0, 190, 0.1177
Greedy MCTS, 22, 4, 4, Linux, 100, 0, 0, 232, 0.1483
Greedy MCTS, 23, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0731
Greedy MCTS, 24, 3, 3, System, 100, 0, 0, 193, 0.1185
Greedy MCTS, 25, 4, 4, Win, 100, 0, 0, 215, 0.1506
Greedy MCTS, 26, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0743
Greedy MCTS, 27, 3, 3, System, 100, 0, 0, 198, 0.1281
Greedy MCTS, 28, 4, 4, Packages, 100, 0, 0, 264, 0.1515
Greedy MCTS, 29, 7, 7, Win, 100, 0, 0, 296, 0.1708
Greedy MCTS, 30, 4, 4, pycosat, 100, 0, 0, 296, 0.1554
Greedy MCTS, 31, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0792
Greedy MCTS, 32, 3, 3, Packages, 100, 0, 0, 194, 0.1222
Greedy MCTS, 33, 6, 6, System, 100, 0, 0, 268, 0.1502
Greedy MCTS, 34, 7, 7, Win, 100, 0, 0, 299, 0.1759
Greedy MCTS, 35, 4, 4, pyglucose, 100, 0, 0, 302, 0.1579
Greedy MCTS, 36, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0737
Greedy MCTS, 37, 3, 3, System, 100, 0, 0, 183, 0.119
Greedy MCTS, 38, 4, 4, Win, 100, 0, 0, 219, 0.1473
Greedy MCTS, 39, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0718
Greedy MCTS, 40, 3, 3, System, 100, 0, 0, 192, 0.1186
Greedy MCTS, 41, 4, 4, Win, 100, 0, 0, 231, 0.1502
Greedy MCTS, 42, 1, 1, AAFMFramework, 100, 0, 0, 94, 0.0896
Greedy MCTS, 43, 3, 3, Solvers, 100, 0, 0, 182, 0.1147
Greedy MCTS, 44, 5, 5, System, 100, 0, 0, 234, 0.1428
Greedy MCTS, 45, 6, 6, Packages, 100, 0, 0, 284, 0.1485
Greedy MCTS, 46, 9, 9, Linux, 100, 0, 0, 306, 0.1682
Greedy MCTS, 47, 7, 7, Glucose, 100, 0, 0, 306, 0.1656
Greedy MCTS, 48, 6, 6, python-sat, 100, 0, 0, 306, 0.1448
Greedy MCTS, 49, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0733
Greedy MCTS, 50, 3, 3, System, 100, 0, 0, 183, 0.1199
Greedy MCTS, 51, 4, 4, Linux, 100, 0, 0, 234, 0.1448
Greedy MCTS, 52, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0697
Greedy MCTS, 53, 3, 3, System, 100, 0, 0, 187, 0.121
Greedy MCTS, 54, 4, 4, Win, 100, 0, 0, 204, 0.1453
Greedy MCTS, 55, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0739
Greedy MCTS, 56, 3, 3, System, 100, 0, 0, 192, 0.1206
Greedy MCTS, 57, 4, 4, Win, 100, 0, 0, 253, 0.1472
Greedy MCTS, 58, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0715
Greedy MCTS, 59, 3, 3, System, 100, 0, 0, 194, 0.12
Greedy MCTS, 60, 4, 4, Win, 100, 0, 0, 252, 0.1526
Greedy MCTS, 61, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0721
Greedy MCTS, 62, 3, 3, System, 100, 0, 0, 199, 0.1184
Greedy MCTS, 63, 4, 4, Win, 100, 0, 0, 248, 0.1598
Greedy MCTS, 64, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0753
Greedy MCTS, 65, 3, 3, System, 100, 0, 0, 195, 0.1317
Greedy MCTS, 66, 4, 4, Win, 100, 0, 0, 252, 0.1507
Greedy MCTS, 67, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0738
Greedy MCTS, 68, 3, 3, System, 100, 0, 0, 198, 0.1184
Greedy MCTS, 69, 4, 4, Win, 100, 0, 0, 271, 0.1547
Greedy MCTS, 70, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0731
Greedy MCTS, 71, 3, 3, System, 100, 0, 0, 197, 0.1234
Greedy MCTS, 72, 4, 4, Linux, 100, 0, 0, 238, 0.1582
Greedy MCTS, 73, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0793
Greedy MCTS, 74, 3, 3, Packages, 100, 0, 0, 195, 0.1209
Greedy MCTS, 75, 6, 6, System, 100, 0, 0, 240, 0.1555
Greedy MCTS, 76, 7, 7, pyglucose, 100, 0, 0, 274, 0.1577
Greedy MCTS, 77, 6, 6, Win, 100, 0, 0, 304, 0.1524
Greedy MCTS, 78, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0705
Greedy MCTS, 79, 3, 3, System, 100, 0, 0, 193, 0.1209
Greedy MCTS, 80, 4, 4, Win, 100, 0, 0, 229, 0.151
Greedy MCTS, 81, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0769
Greedy MCTS, 82, 3, 3, Packages, 100, 0, 0, 195, 0.1224
Greedy MCTS, 83, 6, 6, System, 100, 0, 0, 251, 0.1541
Greedy MCTS, 84, 7, 7, Win, 100, 0, 0, 274, 0.166
Greedy MCTS, 85, 4, 4, Solvers, 100, 0, 0, 275, 0.1478
Greedy MCTS, 86, 6, 6, pyglucose, 100, 0, 0, 275, 0.1334
Greedy MCTS, 87, 5, 5, Glucose, 100, 0, 0, 275, 0.1109
Greedy MCTS, 88, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0738
Greedy MCTS, 89, 3, 3, System, 100, 0, 0, 195, 0.1191
Greedy MCTS, 90, 4, 4, Packages, 100, 0, 0, 258, 0.152
Greedy MCTS, 91, 7, 7, Linux, 100, 0, 0, 283, 0.1709
Greedy MCTS, 92, 5, 5, pyPicosat, 100, 0, 0, 295, 0.1738
Greedy MCTS, 93, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0796
Greedy MCTS, 94, 3, 3, Packages, 100, 0, 0, 199, 0.1202
Greedy MCTS, 95, 6, 6, System, 100, 0, 0, 250, 0.1593
Greedy MCTS, 96, 7, 7, Win, 100, 0, 0, 274, 0.1651
Greedy MCTS, 97, 4, 4, python-sat, 100, 0, 0, 274, 0.1468
Greedy MCTS, 98, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0733
Greedy MCTS, 99, 3, 3, System, 100, 0, 0, 195, 0.1211
Greedy MCTS, 100, 4, 4, Win, 100, 0, 0, 249, 0.1546
Greedy MCTS, 101, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0853
Greedy MCTS, 102, 3, 3, Solvers, 100, 0, 0, 174, 0.1264
Greedy MCTS, 103, 5, 5, System, 100, 0, 0, 237, 0.1484
Greedy MCTS, 104, 6, 6, Packages, 100, 0, 0, 292, 0.1507
Greedy MCTS, 105, 9, 9, Linux, 100, 0, 0, 320, 0.1767
Greedy MCTS, 106, 7, 7, Glucose, 100, 0, 0, 321, 0.1727
Greedy MCTS, 107, 6, 6, python-sat, 100, 0, 0, 321, 0.1479
Greedy MCTS, 108, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0698
Greedy MCTS, 109, 3, 3, System, 100, 0, 0, 188, 0.1217
Greedy MCTS, 110, 4, 4, Linux, 100, 0, 0, 232, 0.1544
Greedy MCTS, 111, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0773
Greedy MCTS, 112, 3, 3, Packages, 100, 0, 0, 196, 0.12
Greedy MCTS, 113, 6, 6, System, 100, 0, 0, 237, 0.153
Greedy MCTS, 114, 7, 7, pyglucose, 100, 0, 0, 264, 0.1542
Greedy MCTS, 115, 6, 6, Win, 100, 0, 0, 292, 0.1547
Greedy MCTS, 116, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0721
Greedy MCTS, 117, 3, 3, System, 100, 0, 0, 194, 0.1211
Greedy MCTS, 118, 4, 4, Win, 100, 0, 0, 239, 0.1577
