Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 13, None, 0, 0, 0, 0, 0.0013, 0.026248
Random strategy., 2, 12, None, 0, 0, 0, 0, 0.0012, 0.049852999999999995
Random strategy., 3, 12, None, 0, 0, 0, 0, 0.0012, 0.069089
Random strategy., 4, 11, None, 0, 0, 0, 0, 0.0012, 0.086369
Random strategy., 5, 12, None, 0, 0, 0, 0, 0.0013, 0.106421
Random strategy., 6, 13, None, 0, 0, 0, 0, 0.0014, 0.12734099999999998
Random strategy., 7, 6, None, 0, 0, 0, 0, 0.0005, 0.135217
Random strategy., 8, 12, None, 0, 0, 0, 0, 0.0012, 0.153157
Random strategy., 9, 11, None, 0, 0, 0, 0, 0.001, 0.170073
Random strategy., 10, 6, None, 0, 0, 0, 0, 0.0006, 0.177981
Random strategy., 11, 11, None, 0, 0, 0, 0, 0.0012, 0.196801
Random strategy., 12, 8, None, 0, 0, 0, 0, 0.0008, 0.20946499999999998
Random strategy., 13, 8, None, 0, 0, 0, 0, 0.0009, 0.22284099999999998
Random strategy., 14, 12, None, 0, 0, 0, 0, 0.0012, 0.24157299999999998
Random strategy., 15, 11, None, 0, 0, 0, 0, 0.0012, 0.260509
Random strategy., 16, 4, None, 0, 0, 0, 0, 0.0004, 0.264529
Random strategy., 17, 12, None, 0, 0, 0, 0, 0.0014, 0.283945
Random strategy., 18, 4, None, 0, 0, 0, 0, 0.0003, 0.288057
Random strategy., 19, 12, None, 0, 0, 0, 0, 0.0012, 0.308073
Random strategy., 20, 13, None, 0, 0, 0, 0, 0.0011, 0.327561
Random strategy., 21, 12, None, 0, 0, 0, 0, 0.0012, 0.346754
Random strategy., 22, 4, None, 0, 0, 0, 0, 0.0002, 0.350774
Random strategy., 23, 13, None, 0, 0, 0, 0, 0.0015, 0.373506
Random strategy., 24, 13, None, 0, 0, 0, 0, 0.0013, 0.393934
Random strategy., 25, 13, None, 0, 0, 0, 0, 0.0012, 0.414915
Random strategy., 26, 4, None, 0, 0, 0, 0, 0.0003, 0.41899899999999995
Random strategy., 27, 12, None, 0, 0, 0, 0, 0.0012, 0.438731
Random strategy., 28, 9, None, 0, 0, 0, 0, 0.0009, 0.453955
Random strategy., 29, 10, None, 0, 0, 0, 0, 0.001, 0.471051
Random strategy., 30, 13, None, 0, 0, 0, 0, 0.0014, 0.492423
