Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.075
UCT MCTS, 2, 3, 3, Packages, 100, 0, 0, 198, 0.1202
UCT MCTS, 3, 6, 6, System, 100, 0, 0, 264, 0.145
UCT MCTS, 4, 7, 7, Linux, 100, 0, 0, 306, 0.1599
UCT MCTS, 5, 5, 5, python-sat, 100, 0, 0, 307, 0.1771
UCT MCTS, 6, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0671
UCT MCTS, 7, 3, 3, System, 100, 0, 0, 197, 0.1081
UCT MCTS, 8, 4, 4, Linux, 100, 0, 0, 265, 0.1421
UCT MCTS, 9, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0687
UCT MCTS, 10, 3, 3, System, 100, 0, 0, 197, 0.1115
UCT MCTS, 11, 4, 4, Linux, 100, 0, 0, 263, 0.1418
UCT MCTS, 12, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0667
UCT MCTS, 13, 3, 3, System, 100, 0, 0, 190, 0.1102
UCT MCTS, 14, 4, 4, Linux, 100, 0, 0, 266, 0.1286
UCT MCTS, 15, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0702
UCT MCTS, 16, 3, 3, System, 100, 0, 0, 198, 0.1107
UCT MCTS, 17, 4, 4, Linux, 100, 0, 0, 255, 0.1408
UCT MCTS, 18, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0655
UCT MCTS, 19, 3, 3, System, 100, 0, 0, 201, 0.1048
UCT MCTS, 20, 4, 4, Linux, 100, 0, 0, 278, 0.1463
UCT MCTS, 21, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0667
UCT MCTS, 22, 3, 3, System, 100, 0, 0, 190, 0.1132
UCT MCTS, 23, 4, 4, Linux, 100, 0, 0, 254, 0.1398
UCT MCTS, 24, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0681
UCT MCTS, 25, 3, 3, System, 100, 0, 0, 194, 0.1102
UCT MCTS, 26, 4, 4, Linux, 100, 0, 0, 245, 0.154
UCT MCTS, 27, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0731
UCT MCTS, 28, 3, 3, Packages, 100, 0, 0, 200, 0.1125
UCT MCTS, 29, 6, 6, System, 100, 0, 0, 267, 0.1481
UCT MCTS, 30, 7, 7, Linux, 100, 0, 0, 306, 0.161
UCT MCTS, 31, 5, 5, python-sat, 100, 0, 0, 308, 0.1741
UCT MCTS, 32, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0697
UCT MCTS, 33, 3, 3, System, 100, 0, 0, 199, 0.1086
UCT MCTS, 34, 4, 4, Linux, 100, 0, 0, 266, 0.1428
UCT MCTS, 35, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0661
UCT MCTS, 36, 3, 3, System, 100, 0, 0, 190, 0.1124
UCT MCTS, 37, 4, 4, Linux, 100, 0, 0, 254, 0.1349
UCT MCTS, 38, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0668
UCT MCTS, 39, 3, 3, System, 100, 0, 0, 197, 0.1114
UCT MCTS, 40, 4, 4, Linux, 100, 0, 0, 253, 0.1439
UCT MCTS, 41, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0696
UCT MCTS, 42, 3, 3, System, 100, 0, 0, 202, 0.1119
UCT MCTS, 43, 4, 4, Packages, 100, 0, 0, 269, 0.1485
UCT MCTS, 44, 7, 7, Linux, 100, 0, 0, 316, 0.1594
UCT MCTS, 45, 5, 5, python-sat, 100, 0, 0, 323, 0.1786
UCT MCTS, 46, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0694
UCT MCTS, 47, 3, 3, System, 100, 0, 0, 198, 0.1134
UCT MCTS, 48, 4, 4, Linux, 100, 0, 0, 245, 0.1473
UCT MCTS, 49, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0902
UCT MCTS, 50, 3, 3, Solvers, 100, 0, 0, 172, 0.1227
UCT MCTS, 51, 5, 5, Glucose, 100, 0, 0, 215, 0.136
UCT MCTS, 52, 4, 4, Packages, 100, 0, 0, 229, 0.1373
UCT MCTS, 53, 7, 7, System, 100, 0, 0, 238, 0.1277
UCT MCTS, 54, 8, 8, Win, 100, 0, 0, 239, 0.1134
UCT MCTS, 55, 5, 5, python-sat, 100, 0, 0, 239, 0.093
UCT MCTS, 56, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0653
UCT MCTS, 57, 3, 3, System, 100, 0, 0, 198, 0.1121
UCT MCTS, 58, 4, 4, Linux, 100, 0, 0, 260, 0.1439
UCT MCTS, 59, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0675
UCT MCTS, 60, 3, 3, System, 100, 0, 0, 200, 0.1091
UCT MCTS, 61, 4, 4, Linux, 100, 0, 0, 277, 0.1423
UCT MCTS, 62, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0781
UCT MCTS, 63, 3, 3, System, 100, 0, 0, 188, 0.1148
UCT MCTS, 64, 4, 4, Linux, 100, 0, 0, 219, 0.143
UCT MCTS, 65, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0673
UCT MCTS, 66, 3, 3, System, 100, 0, 0, 194, 0.1115
UCT MCTS, 67, 4, 4, Linux, 100, 0, 0, 265, 0.1365
UCT MCTS, 68, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0701
UCT MCTS, 69, 3, 3, System, 100, 0, 0, 201, 0.1131
UCT MCTS, 70, 4, 4, Linux, 100, 0, 0, 264, 0.1499
UCT MCTS, 71, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.067
UCT MCTS, 72, 3, 3, System, 100, 0, 0, 197, 0.1119
UCT MCTS, 73, 4, 4, Linux, 100, 0, 0, 253, 0.1438
UCT MCTS, 74, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.069
UCT MCTS, 75, 3, 3, System, 100, 0, 0, 200, 0.1094
UCT MCTS, 76, 4, 4, Packages, 100, 0, 0, 259, 0.1485
UCT MCTS, 77, 7, 7, Linux, 100, 0, 0, 309, 0.1574
UCT MCTS, 78, 5, 5, python-sat, 100, 0, 0, 310, 0.1774
UCT MCTS, 79, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0766
UCT MCTS, 80, 3, 3, Packages, 100, 0, 0, 197, 0.108
UCT MCTS, 81, 6, 6, python-sat, 100, 0, 0, 251, 0.1504
UCT MCTS, 82, 5, 5, System, 100, 0, 0, 296, 0.1497
UCT MCTS, 83, 6, 6, Win, 100, 0, 0, 309, 0.1579
UCT MCTS, 84, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0659
UCT MCTS, 85, 3, 3, System, 100, 0, 0, 191, 0.1117
UCT MCTS, 86, 4, 4, Linux, 100, 0, 0, 229, 0.1422
UCT MCTS, 87, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0687
UCT MCTS, 88, 3, 3, System, 100, 0, 0, 191, 0.1163
UCT MCTS, 89, 4, 4, Linux, 100, 0, 0, 240, 0.144
UCT MCTS, 90, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0686
UCT MCTS, 91, 3, 3, System, 100, 0, 0, 197, 0.1152
UCT MCTS, 92, 4, 4, Linux, 100, 0, 0, 261, 0.1462
UCT MCTS, 93, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0681
UCT MCTS, 94, 3, 3, System, 100, 0, 0, 194, 0.1121
UCT MCTS, 95, 4, 4, Linux, 100, 0, 0, 266, 0.1417
UCT MCTS, 96, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0753
UCT MCTS, 97, 3, 3, System, 100, 0, 0, 199, 0.1119
UCT MCTS, 98, 4, 4, Linux, 100, 0, 0, 267, 0.1442
UCT MCTS, 99, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.067
UCT MCTS, 100, 3, 3, System, 100, 0, 0, 190, 0.1144
UCT MCTS, 101, 4, 4, Linux, 100, 0, 0, 264, 0.1398
UCT MCTS, 102, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0678
UCT MCTS, 103, 3, 3, System, 100, 0, 0, 188, 0.112
UCT MCTS, 104, 4, 4, Linux, 100, 0, 0, 258, 0.1376
Greedy MCTS, 105, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0738
Greedy MCTS, 106, 3, 3, System, 100, 0, 0, 199, 0.1196
Greedy MCTS, 107, 4, 4, Win, 100, 0, 0, 263, 0.1533
Greedy MCTS, 108, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0704
Greedy MCTS, 109, 3, 3, System, 100, 0, 0, 196, 0.1173
Greedy MCTS, 110, 4, 4, Win, 100, 0, 0, 247, 0.1564
Greedy MCTS, 111, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0742
Greedy MCTS, 112, 3, 3, System, 100, 0, 0, 190, 0.1201
Greedy MCTS, 113, 4, 4, Packages, 100, 0, 0, 242, 0.1523
Greedy MCTS, 114, 7, 7, pyglucose, 100, 0, 0, 269, 0.156
Greedy MCTS, 115, 6, 6, pycosat, 100, 0, 0, 288, 0.159
Greedy MCTS, 116, 5, 5, python-sat, 100, 0, 0, 290, 0.1361
Greedy MCTS, 117, 4, 4, Win, 100, 0, 0, 290, 0.1124
Greedy MCTS, 118, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0707
Greedy MCTS, 119, 3, 3, System, 100, 0, 0, 193, 0.1159
Greedy MCTS, 120, 4, 4, Linux, 100, 0, 0, 234, 0.1479
Greedy MCTS, 121, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0699
Greedy MCTS, 122, 3, 3, System, 100, 0, 0, 185, 0.1137
Greedy MCTS, 123, 4, 4, Win, 100, 0, 0, 248, 0.1478
Greedy MCTS, 124, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0683
Greedy MCTS, 125, 3, 3, System, 100, 0, 0, 190, 0.1176
Greedy MCTS, 126, 4, 4, Linux, 100, 0, 0, 232, 0.1482
Greedy MCTS, 127, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.073
Greedy MCTS, 128, 3, 3, System, 100, 0, 0, 193, 0.1184
Greedy MCTS, 129, 4, 4, Win, 100, 0, 0, 215, 0.1505
Greedy MCTS, 130, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0742
Greedy MCTS, 131, 3, 3, System, 100, 0, 0, 198, 0.128
Greedy MCTS, 132, 4, 4, Packages, 100, 0, 0, 264, 0.1514
Greedy MCTS, 133, 7, 7, Win, 100, 0, 0, 296, 0.1708
Greedy MCTS, 134, 4, 4, pycosat, 100, 0, 0, 296, 0.1553
Greedy MCTS, 135, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0791
Greedy MCTS, 136, 3, 3, Packages, 100, 0, 0, 194, 0.1221
Greedy MCTS, 137, 6, 6, System, 100, 0, 0, 268, 0.1502
Greedy MCTS, 138, 7, 7, Win, 100, 0, 0, 299, 0.1759
Greedy MCTS, 139, 4, 4, pyglucose, 100, 0, 0, 302, 0.1578
Greedy MCTS, 140, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0736
Greedy MCTS, 141, 3, 3, System, 100, 0, 0, 183, 0.1189
Greedy MCTS, 142, 4, 4, Win, 100, 0, 0, 219, 0.1472
Greedy MCTS, 143, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0718
Greedy MCTS, 144, 3, 3, System, 100, 0, 0, 192, 0.1185
Greedy MCTS, 145, 4, 4, Win, 100, 0, 0, 231, 0.1501
Greedy MCTS, 146, 1, 1, AAFMFramework, 100, 0, 0, 94, 0.0895
Greedy MCTS, 147, 3, 3, Solvers, 100, 0, 0, 182, 0.1146
Greedy MCTS, 148, 5, 5, System, 100, 0, 0, 234, 0.1427
Greedy MCTS, 149, 6, 6, Packages, 100, 0, 0, 284, 0.1484
Greedy MCTS, 150, 9, 9, Linux, 100, 0, 0, 306, 0.1681
Greedy MCTS, 151, 7, 7, Glucose, 100, 0, 0, 306, 0.1655
Greedy MCTS, 152, 6, 6, python-sat, 100, 0, 0, 306, 0.1447
Greedy MCTS, 153, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0733
Greedy MCTS, 154, 3, 3, System, 100, 0, 0, 183, 0.1198
Greedy MCTS, 155, 4, 4, Linux, 100, 0, 0, 234, 0.1447
Greedy MCTS, 156, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0696
Greedy MCTS, 157, 3, 3, System, 100, 0, 0, 187, 0.1209
Greedy MCTS, 158, 4, 4, Win, 100, 0, 0, 204, 0.1452
Greedy MCTS, 159, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0738
Greedy MCTS, 160, 3, 3, System, 100, 0, 0, 192, 0.1206
Greedy MCTS, 161, 4, 4, Win, 100, 0, 0, 253, 0.1472
Greedy MCTS, 162, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0714
Greedy MCTS, 163, 3, 3, System, 100, 0, 0, 194, 0.1199
Greedy MCTS, 164, 4, 4, Win, 100, 0, 0, 252, 0.1525
Greedy MCTS, 165, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0721
Greedy MCTS, 166, 3, 3, System, 100, 0, 0, 199, 0.1183
Greedy MCTS, 167, 4, 4, Win, 100, 0, 0, 248, 0.1597
Greedy MCTS, 168, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0752
Greedy MCTS, 169, 3, 3, System, 100, 0, 0, 195, 0.1316
Greedy MCTS, 170, 4, 4, Win, 100, 0, 0, 252, 0.1506
Greedy MCTS, 171, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0737
Greedy MCTS, 172, 3, 3, System, 100, 0, 0, 198, 0.1184
Greedy MCTS, 173, 4, 4, Win, 100, 0, 0, 271, 0.1546
Greedy MCTS, 174, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.073
Greedy MCTS, 175, 3, 3, System, 100, 0, 0, 197, 0.1233
Greedy MCTS, 176, 4, 4, Linux, 100, 0, 0, 238, 0.1581
Greedy MCTS, 177, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0792
Greedy MCTS, 178, 3, 3, Packages, 100, 0, 0, 195, 0.1208
Greedy MCTS, 179, 6, 6, System, 100, 0, 0, 240, 0.1554
Greedy MCTS, 180, 7, 7, pyglucose, 100, 0, 0, 274, 0.1577
Greedy MCTS, 181, 6, 6, Win, 100, 0, 0, 304, 0.1523
Greedy MCTS, 182, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0704
Greedy MCTS, 183, 3, 3, System, 100, 0, 0, 193, 0.1208
Greedy MCTS, 184, 4, 4, Win, 100, 0, 0, 229, 0.1509
Greedy MCTS, 185, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0768
Greedy MCTS, 186, 3, 3, Packages, 100, 0, 0, 195, 0.1223
Greedy MCTS, 187, 6, 6, System, 100, 0, 0, 251, 0.154
Greedy MCTS, 188, 7, 7, Win, 100, 0, 0, 274, 0.1659
Greedy MCTS, 189, 4, 4, Solvers, 100, 0, 0, 275, 0.1477
Greedy MCTS, 190, 6, 6, pyglucose, 100, 0, 0, 275, 0.1333
Greedy MCTS, 191, 5, 5, Glucose, 100, 0, 0, 275, 0.1108
Greedy MCTS, 192, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0737
Greedy MCTS, 193, 3, 3, System, 100, 0, 0, 195, 0.1191
Greedy MCTS, 194, 4, 4, Packages, 100, 0, 0, 258, 0.1519
Greedy MCTS, 195, 7, 7, Linux, 100, 0, 0, 283, 0.1708
Greedy MCTS, 196, 5, 5, pyPicosat, 100, 0, 0, 295, 0.1737
Greedy MCTS, 197, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0795
Greedy MCTS, 198, 3, 3, Packages, 100, 0, 0, 199, 0.12
Greedy MCTS, 199, 6, 6, System, 100, 0, 0, 250, 0.1593
Greedy MCTS, 200, 7, 7, Win, 100, 0, 0, 274, 0.1651
Greedy MCTS, 201, 4, 4, python-sat, 100, 0, 0, 274, 0.1467
Greedy MCTS, 202, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0732
Greedy MCTS, 203, 3, 3, System, 100, 0, 0, 195, 0.1211
Greedy MCTS, 204, 4, 4, Win, 100, 0, 0, 249, 0.1545
Greedy MCTS, 205, 1, 1, AAFMFramework, 100, 0, 0, 101, 0.0852
Greedy MCTS, 206, 3, 3, Solvers, 100, 0, 0, 174, 0.1264
Greedy MCTS, 207, 5, 5, System, 100, 0, 0, 237, 0.1483
Greedy MCTS, 208, 6, 6, Packages, 100, 0, 0, 292, 0.1506
Greedy MCTS, 209, 9, 9, Linux, 100, 0, 0, 320, 0.1766
Greedy MCTS, 210, 7, 7, Glucose, 100, 0, 0, 321, 0.1726
