Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 12, None, 0, 0, 0, 0, 90.95, 932.4815279999999
A* search, 2, 12, None, 0, 0, 0, 0, 91.5426, 932.510627
A* search, 3, 12, None, 0, 0, 0, 0, 91.4277, 932.5375869999999
A* search, 4, 12, None, 0, 0, 0, 0, 93.2082, 932.564547
A* search, 5, 12, None, 0, 0, 0, 0, 90.0212, 932.591507
A* search, 6, 12, None, 0, 0, 0, 0, 91.2641, 932.6184989999999
A* search, 7, 12, None, 0, 0, 0, 0, 91.2984, 932.645587
A* search, 8, 12, None, 0, 0, 0, 0, 91.2414, 932.672547
A* search, 9, 12, None, 0, 0, 0, 0, 89.1511, 932.6995069999999
A* search, 10, 12, None, 0, 0, 0, 0, 89.9356, 932.7265309999999
A* search, 11, 12, None, 0, 0, 0, 0, 90.172, 932.7534909999999
A* search, 12, 12, None, 0, 0, 0, 0, 91.0073, 932.780731
A* search, 13, 12, None, 0, 0, 0, 0, 89.1359, 932.807691
A* search, 14, 12, None, 0, 0, 0, 0, 89.4087, 932.834651
A* search, 15, 12, None, 0, 0, 0, 0, 89.1089, 932.8616109999999
A* search, 16, 12, None, 0, 0, 0, 0, 89.3109, 932.888571
A* search, 17, 12, None, 0, 0, 0, 0, 88.9899, 932.915531
A* search, 18, 12, None, 0, 0, 0, 0, 88.5904, 932.942555
A* search, 19, 12, None, 0, 0, 0, 0, 89.0665, 932.969515
A* search, 20, 12, None, 0, 0, 0, 0, 89.1312, 932.9964749999999
A* search, 21, 12, None, 0, 0, 0, 0, 89.3369, 933.023435
A* search, 22, 12, None, 0, 0, 0, 0, 89.5679, 933.050395
A* search, 23, 12, None, 0, 0, 0, 0, 89.1422, 933.0778909999999
A* search, 24, 12, None, 0, 0, 0, 0, 88.6944, 933.1048509999999
A* search, 25, 12, None, 0, 0, 0, 0, 89.3123, 933.131811
A* search, 26, 12, None, 0, 0, 0, 0, 89.0618, 933.158835
A* search, 27, 12, None, 0, 0, 0, 0, 89.1576, 933.185795
A* search, 28, 12, None, 0, 0, 0, 0, 89.0876, 933.2127549999999
A* search, 29, 12, None, 0, 0, 0, 0, 89.6909, 933.2397149999999
A* search, 30, 12, None, 0, 0, 0, 0, 89.2649, 933.266675
