Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 21, None, 0, 0, 0, 0, 0.0043, 0.065133
Random strategy., 2, 20, None, 0, 0, 0, 0, 0.0042, 0.11655599999999999
Random strategy., 3, 20, None, 0, 0, 0, 0, 0.0046, 0.16128399999999998
Random strategy., 4, 21, None, 0, 0, 0, 0, 0.004, 0.20754899999999998
Random strategy., 5, 28, None, 0, 0, 0, 0, 0.0067, 0.28660199999999997
Random strategy., 6, 16, None, 0, 0, 0, 0, 0.0035, 0.322191
Random strategy., 7, 28, None, 0, 0, 0, 0, 0.0061, 0.39431099999999997
Random strategy., 8, 20, None, 0, 0, 0, 0, 0.004, 0.440855
Random strategy., 9, 21, None, 0, 0, 0, 0, 0.0044, 0.489399
Random strategy., 10, 20, None, 0, 0, 0, 0, 0.0041, 0.537867
Random strategy., 11, 21, None, 0, 0, 0, 0, 0.0039, 0.5852069999999999
Random strategy., 12, 21, None, 0, 0, 0, 0, 0.0037, 0.630143
Random strategy., 13, 21, None, 0, 0, 0, 0, 0.0042, 0.680651
Random strategy., 14, 20, None, 0, 0, 0, 0, 0.0042, 0.727943
Random strategy., 15, 21, None, 0, 0, 0, 0, 0.0044, 0.779759
Random strategy., 16, 21, None, 0, 0, 0, 0, 0.004, 0.827403
Random strategy., 17, 21, None, 0, 0, 0, 0, 0.0043, 0.87862
Random strategy., 18, 21, None, 0, 0, 0, 0, 0.0044, 0.92992
Random strategy., 19, 21, None, 0, 0, 0, 0, 0.0042, 0.978692
Random strategy., 20, 29, None, 0, 0, 0, 0, 0.0068, 1.062428
Random strategy., 21, 27, None, 0, 0, 0, 0, 0.0066, 1.133452
Random strategy., 22, 20, None, 0, 0, 0, 0, 0.0045, 1.1842519999999999
Random strategy., 23, 28, None, 0, 0, 0, 0, 0.006, 1.254392
Random strategy., 24, 29, None, 0, 0, 0, 0, 0.0066, 1.3368499999999999
Random strategy., 25, 20, None, 0, 0, 0, 0, 0.0038, 1.380963
Random strategy., 26, 20, None, 0, 0, 0, 0, 0.0038, 1.425019
Random strategy., 27, 28, None, 0, 0, 0, 0, 0.0065, 1.501755
Random strategy., 28, 20, None, 0, 0, 0, 0, 0.0036, 1.546331
Random strategy., 29, 27, None, 0, 0, 0, 0, 0.0062, 1.6196359999999999
Random strategy., 30, 21, None, 0, 0, 0, 0, 0.004, 1.6668479999999999
