Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, JHipster, 100, 0, 0, 101, 0.4489
UCT MCTS, 2, 11, 11, InternationalizationSupport, 100, 0, 0, 202, 0.3167
UCT MCTS, 3, 10, 10, Generator, 100, 0, 0, 303, 0.2947
UCT MCTS, 4, 11, 11, Server, 100, 0, 0, 404, 0.3109
UCT MCTS, 5, 7, 7, Database, 100, 0, 0, 503, 0.3313
UCT MCTS, 6, 9, 9, Cassandra, 100, 0, 0, 597, 0.3467
UCT MCTS, 7, 6, 6, TestingFrameworks, 100, 0, 0, 649, 0.3636
UCT MCTS, 8, 7, 7, Cucumber, 100, 0, 0, 654, 0.3537
UCT MCTS, 9, 6, 6, MicroserviceApplication, 100, 0, 0, 654, 0.3106
UCT MCTS, 10, 4, 4, Authentication, 100, 0, 0, 654, 0.2648
UCT MCTS, 11, 5, 5, Uaa, 100, 0, 0, 654, 0.223
UCT MCTS, 12, 3, 3, BackEnd, 100, 0, 0, 654, 0.1818
UCT MCTS, 13, 4, 4, Gatling, 100, 0, 0, 654, 0.1413
UCT MCTS, 14, 3, 3, Gradle, 100, 0, 0, 654, 0.0993
UCT MCTS, 15, 1, 1, JHipster, 100, 0, 0, 101, 0.4078
UCT MCTS, 16, 11, 11, Database, 100, 0, 0, 202, 0.2663
UCT MCTS, 17, 13, 13, Cassandra, 100, 0, 0, 303, 0.2933
UCT MCTS, 18, 9, 9, Generator, 100, 0, 0, 404, 0.3024
UCT MCTS, 19, 10, 10, Server, 100, 0, 0, 496, 0.3254
UCT MCTS, 20, 7, 7, Authentication, 100, 0, 0, 587, 0.3364
UCT MCTS, 21, 8, 8, MicroserviceApplication, 100, 0, 0, 665, 0.342
UCT MCTS, 22, 6, 6, TestingFrameworks, 100, 0, 0, 687, 0.3548
UCT MCTS, 23, 7, 7, BackEnd, 100, 0, 0, 687, 0.3234
UCT MCTS, 24, 8, 8, Gatling, 100, 0, 0, 687, 0.2791
UCT MCTS, 25, 7, 7, Gradle, 100, 0, 0, 687, 0.2355
UCT MCTS, 26, 5, 5, Cucumber, 100, 0, 0, 687, 0.1895
UCT MCTS, 27, 4, 4, JWT, 100, 0, 0, 687, 0.1461
UCT MCTS, 28, 1, 1, JHipster, 100, 0, 0, 101, 0.4626
UCT MCTS, 29, 11, 11, Generator, 100, 0, 0, 202, 0.3342
UCT MCTS, 30, 12, 12, Server, 100, 0, 0, 303, 0.3644
UCT MCTS, 31, 8, 8, InternationalizationSupport, 100, 0, 0, 404, 0.3446
UCT MCTS, 32, 7, 7, Docker, 100, 0, 0, 505, 0.3339
UCT MCTS, 33, 6, 6, BackEnd, 100, 0, 0, 606, 0.3616
UCT MCTS, 34, 7, 7, Database, 100, 0, 0, 657, 0.3829
UCT MCTS, 35, 9, 9, Cassandra, 100, 0, 0, 657, 0.355
UCT MCTS, 36, 6, 6, Authentication, 100, 0, 0, 657, 0.314
UCT MCTS, 37, 7, 7, TestingFrameworks, 100, 0, 0, 657, 0.2721
UCT MCTS, 38, 8, 8, MicroserviceApplication, 100, 0, 0, 657, 0.2343
UCT MCTS, 39, 6, 6, Gradle, 100, 0, 0, 657, 0.1896
UCT MCTS, 40, 4, 4, Uaa, 100, 0, 0, 657, 0.1444
UCT MCTS, 41, 2, 2, Gatling, 100, 0, 0, 657, 0.1024
UCT MCTS, 42, 1, 1, Cucumber, 100, 0, 0, 657, 0.0609
UCT MCTS, 43, 1, 1, JHipster, 100, 0, 0, 101, 0.4394
UCT MCTS, 44, 11, 11, Generator, 100, 0, 0, 202, 0.3512
UCT MCTS, 45, 12, 12, Server, 100, 0, 0, 269, 0.2854
UCT MCTS, 46, 8, 8, Docker, 100, 0, 0, 270, 0.2418
UCT MCTS, 47, 7, 7, MicroserviceApplication, 100, 0, 0, 270, 0.2213
UCT MCTS, 48, 5, 5, TestingFrameworks, 100, 0, 0, 270, 0.2021
UCT MCTS, 49, 6, 6, Cucumber, 100, 0, 0, 274, 0.1878
UCT MCTS, 50, 5, 5, Gatling, 100, 0, 0, 274, 0.1678
UCT MCTS, 51, 4, 4, Authentication, 100, 0, 0, 277, 0.1528
UCT MCTS, 52, 5, 5, BackEnd, 100, 0, 0, 277, 0.1326
UCT MCTS, 53, 6, 6, JWT, 100, 0, 0, 277, 0.1123
UCT MCTS, 54, 4, 4, Gradle, 100, 0, 0, 277, 0.0935
UCT MCTS, 55, 1, 1, JHipster, 100, 0, 0, 101, 0.4929
UCT MCTS, 56, 11, 11, Generator, 100, 0, 0, 202, 0.4288
UCT MCTS, 57, 12, 12, Server, 100, 0, 0, 303, 0.3328
UCT MCTS, 58, 8, 8, Database, 100, 0, 0, 404, 0.3135
UCT MCTS, 59, 10, 10, MongoDB, 100, 0, 0, 505, 0.3217
UCT MCTS, 60, 7, 7, TestingFrameworks, 100, 0, 0, 604, 0.3374
UCT MCTS, 61, 8, 8, Authentication, 100, 0, 0, 699, 0.3351
UCT MCTS, 62, 9, 9, Cucumber, 100, 0, 0, 782, 0.3379
UCT MCTS, 63, 8, 8, BackEnd, 100, 0, 0, 814, 0.3506
UCT MCTS, 64, 9, 9, Maven, 100, 0, 0, 819, 0.3265
UCT MCTS, 65, 7, 7, Uaa, 100, 0, 0, 819, 0.273
UCT MCTS, 66, 5, 5, Gatling, 100, 0, 0, 819, 0.2193
UCT MCTS, 67, 4, 4, UaaServer, 100, 0, 0, 819, 0.1687
UCT MCTS, 68, 1, 1, JHipster, 100, 0, 0, 101, 0.4452
UCT MCTS, 69, 11, 11, Database, 100, 0, 0, 202, 0.2857
UCT MCTS, 70, 13, 13, Cassandra, 100, 0, 0, 303, 0.3015
UCT MCTS, 71, 9, 9, Generator, 100, 0, 0, 403, 0.3094
UCT MCTS, 72, 10, 10, Server, 100, 0, 0, 501, 0.3338
UCT MCTS, 73, 7, 7, Authentication, 100, 0, 0, 601, 0.3395
UCT MCTS, 74, 8, 8, MicroserviceApplication, 100, 0, 0, 692, 0.3404
UCT MCTS, 75, 6, 6, TestingFrameworks, 100, 0, 0, 743, 0.3431
UCT MCTS, 76, 7, 7, Gatling, 100, 0, 0, 748, 0.345
UCT MCTS, 77, 6, 6, Cucumber, 100, 0, 0, 748, 0.2979
UCT MCTS, 78, 5, 5, BackEnd, 100, 0, 0, 748, 0.2501
UCT MCTS, 79, 6, 6, Maven, 100, 0, 0, 748, 0.2022
UCT MCTS, 80, 4, 4, JWT, 100, 0, 0, 748, 0.1549
UCT MCTS, 81, 1, 1, JHipster, 100, 0, 0, 101, 0.4831
UCT MCTS, 82, 11, 11, TestingFrameworks, 100, 0, 0, 202, 0.4739
UCT MCTS, 83, 13, 13, Generator, 100, 0, 0, 303, 0.366
UCT MCTS, 84, 14, 14, Server, 100, 0, 0, 404, 0.37
UCT MCTS, 85, 9, 9, Authentication, 100, 0, 0, 505, 0.3774
UCT MCTS, 86, 10, 10, BackEnd, 100, 0, 0, 606, 0.3734
UCT MCTS, 87, 11, 11, Cucumber, 100, 0, 0, 707, 0.3902
UCT MCTS, 88, 10, 10, MicroserviceApplication, 100, 0, 0, 808, 0.3752
UCT MCTS, 89, 8, 8, Database, 100, 0, 0, 887, 0.3373
UCT MCTS, 90, 10, 10, MongoDB, 100, 0, 0, 898, 0.3462
UCT MCTS, 91, 7, 7, Gatling, 100, 0, 0, 898, 0.2944
UCT MCTS, 92, 6, 6, Maven, 100, 0, 0, 898, 0.2385
UCT MCTS, 93, 4, 4, Uaa, 100, 0, 0, 898, 0.1825
UCT MCTS, 94, 1, 1, JHipster, 100, 0, 0, 101, 0.4876
UCT MCTS, 95, 11, 11, BackEnd, 100, 0, 0, 202, 0.4939
UCT MCTS, 96, 12, 12, Gradle, 100, 0, 0, 300, 0.357
UCT MCTS, 97, 10, 10, Generator, 100, 0, 0, 325, 0.2845
UCT MCTS, 98, 11, 11, InternationalizationSupport, 100, 0, 0, 325, 0.2634
UCT MCTS, 99, 10, 10, Server, 100, 0, 0, 325, 0.2397
UCT MCTS, 100, 6, 6, UaaServer, 100, 0, 0, 325, 0.2188
UCT MCTS, 101, 4, 4, Database, 100, 0, 0, 325, 0.1949
UCT MCTS, 102, 6, 6, MongoDB, 100, 0, 0, 325, 0.1735
UCT MCTS, 103, 3, 3, Authentication, 100, 0, 0, 325, 0.1518
UCT MCTS, 104, 3, 3, TestingFrameworks, 100, 0, 0, 325, 0.1288
UCT MCTS, 105, 4, 4, Uaa, 100, 0, 0, 325, 0.106
UCT MCTS, 106, 3, 3, Gatling, 100, 0, 0, 325, 0.0834
UCT MCTS, 107, 2, 2, Cucumber, 100, 0, 0, 325, 0.0612
UCT MCTS, 108, 1, 1, JHipster, 100, 0, 0, 101, 0.5067
UCT MCTS, 109, 11, 11, Docker, 100, 0, 0, 202, 0.3079
UCT MCTS, 110, 10, 10, Database, 100, 0, 0, 303, 0.2798
UCT MCTS, 111, 12, 12, Cassandra, 100, 0, 0, 401, 0.3096
UCT MCTS, 112, 8, 8, BackEnd, 100, 0, 0, 468, 0.3342
UCT MCTS, 113, 9, 9, Generator, 100, 0, 0, 476, 0.3315
UCT MCTS, 114, 10, 10, Server, 100, 0, 0, 476, 0.3013
UCT MCTS, 115, 7, 7, Maven, 100, 0, 0, 476, 0.2709
UCT MCTS, 116, 5, 5, TestingFrameworks, 100, 0, 0, 476, 0.2391
UCT MCTS, 117, 6, 6, Authentication, 100, 0, 0, 476, 0.2095
UCT MCTS, 118, 7, 7, MicroserviceApplication, 100, 0, 0, 476, 0.1764
UCT MCTS, 119, 5, 5, Cucumber, 100, 0, 0, 476, 0.1424
