Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 17, None, 100, 0, 0, 0, 8.9574, 3.651926
Flat Monte Carlo, 2, 24, None, 100, 0, 0, 0, 12.0741, 0.485819
Flat Monte Carlo, 3, 24, None, 100, 0, 0, 0, 12.2458, 0.551759
Flat Monte Carlo, 4, 19, None, 100, 0, 0, 0, 9.8445, 0.6166189999999999
Flat Monte Carlo, 5, 22, None, 100, 0, 0, 0, 12.2461, 0.717521
Flat Monte Carlo, 6, 20, None, 100, 0, 0, 0, 10.2706, 0.772257
Flat Monte Carlo, 7, 16, None, 100, 0, 0, 0, 8.8409, 0.830761
Flat Monte Carlo, 8, 22, None, 100, 0, 0, 0, 11.7849, 0.9118649999999999
Flat Monte Carlo, 9, 25, None, 100, 0, 0, 0, 12.5159, 1.023021
Flat Monte Carlo, 10, 22, None, 100, 0, 0, 0, 10.4845, 1.092609
Flat Monte Carlo, 11, 20, None, 100, 0, 0, 0, 10.5234, 1.173381
Flat Monte Carlo, 12, 19, None, 100, 0, 0, 0, 9.731, 1.222321
Flat Monte Carlo, 13, 26, None, 100, 0, 0, 0, 12.2477, 1.308749
Flat Monte Carlo, 14, 17, None, 100, 0, 0, 0, 8.9593, 1.369197
Flat Monte Carlo, 15, 15, None, 100, 0, 0, 0, 8.1311, 1.4359929999999999
Flat Monte Carlo, 16, 16, None, 100, 0, 0, 0, 9.2635, 1.508316
Flat Monte Carlo, 17, 23, None, 100, 0, 0, 0, 10.8651, 1.55226
Flat Monte Carlo, 18, 17, None, 100, 0, 0, 0, 8.8829, 1.634468
Flat Monte Carlo, 19, 18, None, 100, 0, 0, 0, 9.2733, 1.7037959999999999
Flat Monte Carlo, 20, 21, None, 100, 0, 0, 0, 10.7323, 1.7634319999999999
Flat Monte Carlo, 21, 24, None, 100, 0, 0, 0, 12.1643, 1.8614039999999998
Flat Monte Carlo, 22, 20, None, 100, 0, 0, 0, 10.6162, 1.9242119999999998
Flat Monte Carlo, 23, 21, None, 100, 0, 0, 0, 10.7422, 1.99846
Flat Monte Carlo, 24, 22, None, 100, 0, 0, 0, 10.7043, 2.082259
Flat Monte Carlo, 25, 23, None, 100, 0, 0, 0, 10.9193, 2.130563
Flat Monte Carlo, 26, 19, None, 100, 0, 0, 0, 9.3118, 2.226507
Flat Monte Carlo, 27, 22, None, 100, 0, 0, 0, 10.5294, 2.266483
Flat Monte Carlo, 28, 23, None, 100, 0, 0, 0, 11.1826, 2.368795
Flat Monte Carlo, 29, 23, None, 100, 0, 0, 0, 12.6476, 2.4700189999999997
Flat Monte Carlo, 30, 25, None, 100, 0, 0, 0, 11.4497, 2.518931
