Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, MobileMedia2, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 14, 14, Radio, 100, 0, 0, 0, 0.8538
Flat Monte Carlo, 3, 13, 13, Calendar, 100, 0, 0, 0, 0.8127
Flat Monte Carlo, 4, 12, 12, MediaSelection, 100, 0, 0, 0, 0.7799
Flat Monte Carlo, 5, 14, 14, Language, 100, 0, 0, 0, 0.7572
Flat Monte Carlo, 6, 16, 16, Photo, 100, 0, 0, 0, 0.7522
Flat Monte Carlo, 7, 15, 15, Speakerphone, 100, 0, 0, 0, 0.7061
Flat Monte Carlo, 8, 14, 14, OS, 100, 0, 0, 0, 0.6826
Flat Monte Carlo, 9, 17, 17, ScreenSize, 100, 0, 0, 0, 0.6073
Flat Monte Carlo, 10, 19, 19, Screen1, 100, 0, 0, 0, 0.5343
Flat Monte Carlo, 11, 16, 16, WindowsMobile, 100, 0, 0, 0, 0.4794
Flat Monte Carlo, 12, 12, 12, TVDigital, 100, 0, 0, 0, 0.4513
Flat Monte Carlo, 13, 11, 11, GPS, 100, 0, 0, 0, 0.4579
Flat Monte Carlo, 14, 10, 10, English, 100, 0, 0, 0, 0.4205
Flat Monte Carlo, 15, 9, 9, CallManager, 100, 0, 0, 0, 0.395
Flat Monte Carlo, 16, 8, 8, MediaManagement, 100, 0, 0, 0, 0.2644
Flat Monte Carlo, 17, 0, 0, MobileMedia2, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 18, 14, 14, Speakerphone, 100, 0, 0, 0, 0.8762
Flat Monte Carlo, 19, 13, 13, Radio, 100, 0, 0, 0, 0.8148
Flat Monte Carlo, 20, 12, 12, Calendar, 100, 0, 0, 0, 0.7935
Flat Monte Carlo, 21, 11, 11, CallManager, 100, 0, 0, 0, 0.76
Flat Monte Carlo, 22, 10, 10, MediaSelection, 100, 0, 0, 0, 0.705
Flat Monte Carlo, 23, 12, 12, ScreenSize, 100, 0, 0, 0, 0.6937
Flat Monte Carlo, 24, 14, 14, Language, 100, 0, 0, 0, 0.6213
Flat Monte Carlo, 25, 16, 16, MediaManagement, 100, 0, 0, 0, 0.6353
Flat Monte Carlo, 26, 18, 18, Music, 100, 0, 0, 0, 0.6438
Flat Monte Carlo, 27, 17, 17, TVDigital, 100, 0, 0, 0, 0.607
Flat Monte Carlo, 28, 17, 17, ResolutionCamera, 100, 0, 0, 0, 0.6098
Flat Monte Carlo, 29, 18, 18, CopyMedia, 100, 0, 0, 0, 0.5954
Flat Monte Carlo, 30, 17, 17, Video, 100, 0, 0, 0, 0.5545
Flat Monte Carlo, 31, 16, 16, OS, 100, 0, 0, 0, 0.505
Flat Monte Carlo, 32, 19, 19, Spanish, 100, 0, 0, 0, 0.4772
Flat Monte Carlo, 33, 18, 18, Screen2, 100, 0, 0, 0, 0.4399
Flat Monte Carlo, 34, 15, 15, TouchScreen, 100, 0, 0, 0, 0.4113
Flat Monte Carlo, 35, 14, 14, Resolution8MP, 100, 0, 0, 0, 0.374
Flat Monte Carlo, 36, 12, 12, SMSTransfer, 100, 0, 0, 0, 0.3249
Flat Monte Carlo, 37, 13, 13, Photo, 100, 0, 0, 0, 0.2991
Flat Monte Carlo, 38, 12, 12, MusicPlayer, 100, 0, 0, 0, 0.2377
Flat Monte Carlo, 39, 11, 11, iOS, 100, 0, 0, 0, 0.0901
Flat Monte Carlo, 40, 0, 0, MobileMedia2, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 41, 14, 14, MediaSelection, 100, 0, 0, 0, 0.8733
Flat Monte Carlo, 42, 16, 16, Music, 100, 0, 0, 0, 0.8371
Flat Monte Carlo, 43, 16, 16, Photo, 100, 0, 0, 0, 0.8073
Flat Monte Carlo, 44, 15, 15, ScreenSize, 100, 0, 0, 0, 0.7928
Flat Monte Carlo, 45, 17, 17, MediaManagement, 100, 0, 0, 0, 0.772
Flat Monte Carlo, 46, 19, 19, Screen1, 100, 0, 0, 0, 0.794
Flat Monte Carlo, 47, 16, 16, TouchScreen, 100, 0, 0, 0, 0.7417
Flat Monte Carlo, 48, 15, 15, Calendar, 100, 0, 0, 0, 0.7011
Flat Monte Carlo, 49, 14, 14, MusicPlayer, 100, 0, 0, 0, 0.655
Flat Monte Carlo, 50, 13, 13, ResolutionCamera, 100, 0, 0, 0, 0.6156
Flat Monte Carlo, 51, 14, 14, OS, 100, 0, 0, 0, 0.5788
Flat Monte Carlo, 52, 17, 17, Speakerphone, 100, 0, 0, 0, 0.5564
Flat Monte Carlo, 53, 16, 16, WindowsMobile, 100, 0, 0, 0, 0.5148
Flat Monte Carlo, 54, 12, 12, CopyMedia, 100, 0, 0, 0, 0.491
Flat Monte Carlo, 55, 11, 11, CallManager, 100, 0, 0, 0, 0.4518
Flat Monte Carlo, 56, 10, 10, GPS, 100, 0, 0, 0, 0.4218
Flat Monte Carlo, 57, 9, 9, Video, 100, 0, 0, 0, 0.3848
Flat Monte Carlo, 58, 8, 8, Radio, 100, 0, 0, 0, 0.338
Flat Monte Carlo, 59, 7, 7, Language, 100, 0, 0, 0, 0.3059
Flat Monte Carlo, 60, 9, 9, SMSTransfer, 100, 0, 0, 0, 0.2588
Flat Monte Carlo, 61, 10, 10, English, 100, 0, 0, 0, 0.2041
Flat Monte Carlo, 62, 9, 9, Resolution8MP, 100, 0, 0, 0, 0.145
Flat Monte Carlo, 63, 0, 0, MobileMedia2, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 64, 14, 14, ScreenSize, 100, 0, 0, 0, 0.8308
Flat Monte Carlo, 65, 16, 16, Calendar, 100, 0, 0, 0, 0.8286
Flat Monte Carlo, 66, 15, 15, Radio, 100, 0, 0, 0, 0.7916
Flat Monte Carlo, 67, 14, 14, GPS, 100, 0, 0, 0, 0.7694
Flat Monte Carlo, 68, 13, 13, Screen2, 100, 0, 0, 0, 0.7157
Flat Monte Carlo, 69, 10, 10, MediaSelection, 100, 0, 0, 0, 0.6867
Flat Monte Carlo, 70, 12, 12, TouchScreen, 100, 0, 0, 0, 0.6351
Flat Monte Carlo, 71, 11, 11, Photo, 100, 0, 0, 0, 0.6106
Flat Monte Carlo, 72, 10, 10, TVDigital, 100, 0, 0, 0, 0.5813
Flat Monte Carlo, 73, 9, 9, Language, 100, 0, 0, 0, 0.5653
Flat Monte Carlo, 74, 11, 11, OS, 100, 0, 0, 0, 0.5377
