Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 27, None, 100, 0, 0, 2616, 26.8974, 73.81456899999999
Greedy MCTS, 2, 15, None, 100, 0, 0, 1414, 11.463, 60.413925
Greedy MCTS, 3, 17, None, 100, 0, 0, 1616, 12.8264, 64.22649299999999
Greedy MCTS, 4, 16, None, 100, 0, 0, 1515, 12.6621, 62.388887
Greedy MCTS, 5, 17, None, 100, 0, 0, 1616, 13.454, 60.364160999999996
Greedy MCTS, 6, 16, None, 100, 0, 0, 1515, 12.453, 63.203629
Greedy MCTS, 7, 18, None, 100, 0, 0, 1717, 14.1268, 65.018253
Greedy MCTS, 8, 20, None, 100, 0, 0, 1919, 16.6896, 66.73420899999999
Greedy MCTS, 9, 19, None, 100, 0, 0, 1818, 15.8339, 62.939176999999994
Greedy MCTS, 10, 16, None, 100, 0, 0, 1515, 12.3072, 61.888636
Greedy MCTS, 11, 18, None, 100, 0, 0, 1717, 14.7117, 64.49934499999999
Greedy MCTS, 12, 19, None, 100, 0, 0, 1818, 15.022, 65.445053
Greedy MCTS, 13, 24, None, 100, 0, 0, 2323, 20.5088, 70.779453
Greedy MCTS, 14, 17, None, 100, 0, 0, 1616, 13.8392, 63.751048999999995
Greedy MCTS, 15, 19, None, 100, 0, 0, 1818, 15.749, 67.901037
Greedy MCTS, 16, 24, None, 100, 0, 0, 2323, 19.1424, 74.356489
Greedy MCTS, 17, 17, None, 100, 0, 0, 1616, 13.8847, 71.167141
Greedy MCTS, 18, 18, None, 100, 0, 0, 1717, 14.6408, 67.693561
Greedy MCTS, 19, 24, None, 100, 0, 0, 2323, 19.5247, 75.995301
Greedy MCTS, 20, 20, None, 100, 0, 0, 1919, 16.7346, 65.708457
Greedy MCTS, 21, 17, None, 100, 0, 0, 1616, 13.8078, 63.626953
Greedy MCTS, 22, 17, None, 100, 0, 0, 1616, 13.3008, 62.702164999999994
Greedy MCTS, 23, 17, None, 100, 0, 0, 1616, 13.9811, 65.278016
Greedy MCTS, 24, 15, None, 100, 0, 0, 1414, 11.7135, 64.417949
Greedy MCTS, 25, 16, None, 100, 0, 0, 1515, 12.9213, 64.78217699999999
Greedy MCTS, 26, 19, None, 100, 0, 0, 1818, 15.773, 76.34272899999999
Greedy MCTS, 27, 20, None, 100, 0, 0, 1919, 18.0933, 72.934045
Greedy MCTS, 28, 26, None, 100, 0, 0, 2525, 21.5794, 76.31835099999999
Greedy MCTS, 29, 22, None, 100, 0, 0, 2121, 19.8338, 69.860103
Greedy MCTS, 30, 15, None, 100, 0, 0, 1414, 11.543, 62.164390999999995
