Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9656
Greedy MCTS, 2, 14, 14, OS, 100, 0, 0, 202, 0.9371
Greedy MCTS, 3, 17, 17, TVDigital, 100, 0, 0, 303, 0.938
Greedy MCTS, 4, 16, 16, CallManager, 100, 0, 0, 404, 0.9338
Greedy MCTS, 5, 15, 15, iOS, 100, 0, 0, 505, 0.8536
Greedy MCTS, 6, 11, 11, Calendar, 100, 0, 0, 606, 0.8641
Greedy MCTS, 7, 10, 10, TouchScreen, 100, 0, 0, 707, 0.8507
Greedy MCTS, 8, 9, 9, Radio, 100, 0, 0, 808, 0.8788
Greedy MCTS, 9, 8, 8, Speakerphone, 100, 0, 0, 909, 0.9482
Greedy MCTS, 10, 7, 7, ResolutionCamera, 100, 0, 0, 1010, 1.0586
Greedy MCTS, 11, 8, 8, ScreenSize, 100, 0, 0, 1111, 1.1335
Greedy MCTS, 12, 10, 10, MediaSelection, 100, 0, 0, 1212, 1.2042
Greedy MCTS, 13, 12, 12, Resolution8MP, 100, 0, 0, 1313, 1.2244
Greedy MCTS, 14, 10, 10, Language, 100, 0, 0, 1414, 1.1587
Greedy MCTS, 15, 12, 12, Portuguese, 100, 0, 0, 1515, 1.1081
Greedy MCTS, 16, 11, 11, Screen2, 100, 0, 0, 1616, 1.0456
Greedy MCTS, 17, 8, 8, Photo, 100, 0, 0, 1717, 1.0332
Greedy MCTS, 18, 7, 7, GPS, 100, 0, 0, 1818, 1.0158
Greedy MCTS, 19, 6, 6, Music, 100, 0, 0, 1919, 1.0531
Greedy MCTS, 20, 6, 6, English, 100, 0, 0, 2020, 1.0773
Greedy MCTS, 21, 5, 5, Video, 100, 0, 0, 2121, 1.1038
Greedy MCTS, 22, 4, 4, MusicPlayer, 100, 0, 0, 2222, 1.01
Greedy MCTS, 23, 3, 3, Connectivity, 100, 0, 0, 2323, 1.0765
Greedy MCTS, 24, 4, 4, Bluetooth, 100, 0, 0, 2424, 1.0325
Greedy MCTS, 25, 3, 3, Spanish, 100, 0, 0, 2525, 1.0973
Greedy MCTS, 26, 2, 2, MediaManagement, 100, 0, 0, 2616, 1.2874
Greedy MCTS, 27, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9274
Greedy MCTS, 28, 14, 14, CallManager, 100, 0, 0, 202, 0.9336
Greedy MCTS, 29, 13, 13, Radio, 100, 0, 0, 303, 0.9332
Greedy MCTS, 30, 12, 12, ScreenSize, 100, 0, 0, 404, 0.8785
Greedy MCTS, 31, 14, 14, OS, 100, 0, 0, 505, 0.8728
Greedy MCTS, 32, 17, 17, MediaSelection, 100, 0, 0, 606, 0.823
Greedy MCTS, 33, 19, 19, Photo, 100, 0, 0, 707, 0.8922
Greedy MCTS, 34, 18, 18, Symbia, 100, 0, 0, 808, 0.7537
Greedy MCTS, 35, 14, 14, Language, 100, 0, 0, 909, 0.7014
Greedy MCTS, 36, 16, 16, Speakerphone, 100, 0, 0, 1010, 0.7139
Greedy MCTS, 37, 15, 15, Calendar, 100, 0, 0, 1111, 0.7516
Greedy MCTS, 38, 14, 14, English, 100, 0, 0, 1212, 0.7658
Greedy MCTS, 39, 13, 13, Screen1, 100, 0, 0, 1313, 0.7532
Greedy MCTS, 40, 10, 10, MediaManagement, 100, 0, 0, 1414, 0.7109
Greedy MCTS, 41, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9549
