Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 17, None, 100, 0, 0, 1616, 12.1148, 29.754165999999998
UCT MCTS, 2, 20, None, 100, 0, 0, 1919, 14.7522, 33.97605
UCT MCTS, 3, 15, None, 100, 0, 0, 1414, 10.5104, 33.975079
UCT MCTS, 4, 17, None, 100, 0, 0, 1616, 12.1903, 29.616115999999998
UCT MCTS, 5, 19, None, 100, 0, 0, 1818, 15.2047, 27.385209999999997
UCT MCTS, 6, 19, None, 100, 0, 0, 1818, 13.8116, 33.33287
UCT MCTS, 7, 20, None, 100, 0, 0, 1919, 14.6284, 33.333311
UCT MCTS, 8, 18, None, 100, 0, 0, 1717, 13.008, 33.074526
UCT MCTS, 9, 17, None, 100, 0, 0, 1616, 12.2612, 33.074643
UCT MCTS, 10, 25, None, 100, 0, 0, 2424, 18.1292, 41.398337999999995
UCT MCTS, 11, 15, None, 100, 0, 0, 1414, 10.3555, 41.395182
UCT MCTS, 12, 27, None, 100, 0, 0, 2626, 20.6102, 43.07067
UCT MCTS, 13, 20, None, 100, 0, 0, 1919, 14.7276, 43.067056
UCT MCTS, 14, 15, None, 100, 0, 0, 1414, 10.8853, 32.829693
UCT MCTS, 15, 18, None, 100, 0, 0, 1717, 13.469, 30.840902
UCT MCTS, 16, 27, None, 100, 0, 0, 2626, 22.3159, 47.234061999999994
UCT MCTS, 17, 19, None, 100, 0, 0, 1818, 15.0841, 47.230121999999994
UCT MCTS, 18, 18, None, 100, 0, 0, 1717, 13.796, 34.347426
UCT MCTS, 19, 18, None, 100, 0, 0, 1717, 13.6648, 34.347544
UCT MCTS, 20, 19, None, 100, 0, 0, 1818, 14.8608, 31.579545
UCT MCTS, 21, 16, None, 100, 0, 0, 1515, 12.0832, 31.42065
UCT MCTS, 22, 17, None, 100, 0, 0, 1616, 12.2068, 31.420711999999998
UCT MCTS, 23, 16, None, 100, 0, 0, 1515, 11.1033, 29.481817999999997
UCT MCTS, 24, 16, None, 100, 0, 0, 1515, 11.6238, 30.398238
UCT MCTS, 25, 19, None, 100, 0, 0, 1818, 14.2558, 34.065802
UCT MCTS, 26, 19, None, 100, 0, 0, 1818, 14.793, 36.894861999999996
UCT MCTS, 27, 18, None, 100, 0, 0, 1717, 12.8412, 36.890297
UCT MCTS, 28, 20, None, 100, 0, 0, 1919, 15.0126, 37.863794
UCT MCTS, 29, 17, None, 100, 0, 0, 1616, 12.7895, 37.859221
UCT MCTS, 30, 19, None, 100, 0, 0, 1818, 13.7616, 36.341566
Greedy MCTS, 31, 27, None, 100, 0, 0, 2616, 26.8972, 73.817747
Greedy MCTS, 32, 15, None, 100, 0, 0, 1414, 11.4628, 73.81524399999999
Greedy MCTS, 33, 17, None, 100, 0, 0, 1616, 12.8262, 64.23085499999999
Greedy MCTS, 34, 16, None, 100, 0, 0, 1515, 12.6619, 64.2268
Greedy MCTS, 35, 17, None, 100, 0, 0, 1616, 13.4539, 62.389196
Greedy MCTS, 36, 16, None, 100, 0, 0, 1515, 12.4528, 63.208003
Greedy MCTS, 37, 18, None, 100, 0, 0, 1717, 14.1267, 65.02220299999999
Greedy MCTS, 38, 20, None, 100, 0, 0, 1919, 16.6894, 66.735599
Greedy MCTS, 39, 19, None, 100, 0, 0, 1818, 15.8337, 66.734588
Greedy MCTS, 40, 16, None, 100, 0, 0, 1515, 12.307, 62.939493
Greedy MCTS, 41, 18, None, 100, 0, 0, 1717, 14.7115, 64.503303
Greedy MCTS, 42, 19, None, 100, 0, 0, 1818, 15.0218, 65.449427
Greedy MCTS, 43, 24, None, 100, 0, 0, 2323, 20.5087, 70.782403
Greedy MCTS, 44, 17, None, 100, 0, 0, 1616, 13.8391, 70.779761
Greedy MCTS, 45, 19, None, 100, 0, 0, 1818, 15.7488, 67.90093499999999
Greedy MCTS, 46, 24, None, 100, 0, 0, 2323, 19.1422, 74.360359
Greedy MCTS, 47, 17, None, 100, 0, 0, 1616, 13.8846, 74.356797
Greedy MCTS, 48, 18, None, 100, 0, 0, 1717, 14.6407, 71.16744899999999
Greedy MCTS, 49, 24, None, 100, 0, 0, 2323, 19.5246, 76.00291899999999
Greedy MCTS, 50, 20, None, 100, 0, 0, 1919, 16.7344, 75.995601
Greedy MCTS, 51, 17, None, 100, 0, 0, 1616, 13.8076, 65.708765
Greedy MCTS, 52, 17, None, 100, 0, 0, 1616, 13.3007, 63.627261
Greedy MCTS, 53, 17, None, 100, 0, 0, 1616, 13.981, 65.282303
Greedy MCTS, 54, 15, None, 100, 0, 0, 1414, 11.7134, 65.278325
Greedy MCTS, 55, 16, None, 100, 0, 0, 1515, 12.9211, 64.78210299999999
Greedy MCTS, 56, 19, None, 100, 0, 0, 1818, 15.7729, 76.347191
Greedy MCTS, 57, 20, None, 100, 0, 0, 1919, 18.0932, 76.34304399999999
Greedy MCTS, 58, 26, None, 100, 0, 0, 2525, 21.5792, 76.32221299999999
Greedy MCTS, 59, 22, None, 100, 0, 0, 2121, 19.8337, 76.318659
Greedy MCTS, 60, 15, None, 100, 0, 0, 1414, 11.5428, 69.860411
