Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.8921
UCT MCTS, 2, 14, 14, MediaSelection, 100, 0, 0, 202, 0.8865
UCT MCTS, 3, 16, 16, OS, 100, 0, 0, 303, 0.8987
UCT MCTS, 4, 19, 19, Music, 100, 0, 0, 404, 0.8982
UCT MCTS, 5, 19, 19, Symbia, 100, 0, 0, 505, 0.8233
UCT MCTS, 6, 15, 15, MusicPlayer, 100, 0, 0, 606, 0.8168
UCT MCTS, 7, 14, 14, CallManager, 100, 0, 0, 707, 0.7741
UCT MCTS, 8, 13, 13, ScreenSize, 100, 0, 0, 808, 0.7674
UCT MCTS, 9, 15, 15, Speakerphone, 100, 0, 0, 909, 0.7228
UCT MCTS, 10, 14, 14, Radio, 100, 0, 0, 1010, 0.7266
UCT MCTS, 11, 13, 13, Language, 100, 0, 0, 1111, 0.6849
UCT MCTS, 12, 15, 15, Portuguese, 100, 0, 0, 1212, 0.6458
UCT MCTS, 13, 14, 14, Photo, 100, 0, 0, 1313, 0.6286
UCT MCTS, 14, 13, 13, Screen2, 100, 0, 0, 1414, 0.669
UCT MCTS, 15, 10, 10, Calendar, 100, 0, 0, 1515, 0.6587
UCT MCTS, 16, 9, 9, MediaManagement, 100, 0, 0, 1616, 0.6179
UCT MCTS, 17, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.911
UCT MCTS, 18, 14, 14, MediaSelection, 100, 0, 0, 202, 0.8753
UCT MCTS, 19, 16, 16, GPS, 100, 0, 0, 303, 0.8735
UCT MCTS, 20, 15, 15, Music, 100, 0, 0, 404, 0.8744
UCT MCTS, 21, 15, 15, Radio, 100, 0, 0, 505, 0.8581
UCT MCTS, 22, 14, 14, Language, 100, 0, 0, 606, 0.8204
UCT MCTS, 23, 16, 16, OS, 100, 0, 0, 707, 0.8137
UCT MCTS, 24, 19, 19, Calendar, 100, 0, 0, 808, 0.7835
UCT MCTS, 25, 18, 18, ScreenSize, 100, 0, 0, 909, 0.783
UCT MCTS, 26, 20, 20, Screen2, 100, 0, 0, 1010, 0.755
UCT MCTS, 27, 17, 17, Androide, 100, 0, 0, 1111, 0.6934
UCT MCTS, 28, 13, 13, Speakerphone, 100, 0, 0, 1212, 0.6666
UCT MCTS, 29, 12, 12, Video, 100, 0, 0, 1313, 0.6516
UCT MCTS, 30, 11, 11, TVDigital, 100, 0, 0, 1414, 0.7465
UCT MCTS, 31, 10, 10, MusicPlayer, 100, 0, 0, 1515, 0.7502
UCT MCTS, 32, 9, 9, CallManager, 100, 0, 0, 1616, 0.6978
UCT MCTS, 33, 8, 8, Photo, 100, 0, 0, 1717, 0.7155
UCT MCTS, 34, 7, 7, Spanish, 100, 0, 0, 1818, 0.7158
UCT MCTS, 35, 6, 6, MediaManagement, 100, 0, 0, 1919, 0.7222
UCT MCTS, 36, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.8927
UCT MCTS, 37, 14, 14, CallManager, 100, 0, 0, 202, 0.895
UCT MCTS, 38, 13, 13, MediaSelection, 100, 0, 0, 303, 0.8593
UCT MCTS, 39, 15, 15, Language, 100, 0, 0, 404, 0.8296
UCT MCTS, 40, 17, 17, Speakerphone, 100, 0, 0, 505, 0.8603
UCT MCTS, 41, 16, 16, ScreenSize, 100, 0, 0, 606, 0.8136
UCT MCTS, 42, 18, 18, Photo, 100, 0, 0, 707, 0.7888
UCT MCTS, 43, 17, 17, OS, 100, 0, 0, 808, 0.7629
UCT MCTS, 44, 20, 20, Screen1, 100, 0, 0, 909, 0.7385
UCT MCTS, 45, 17, 17, English, 100, 0, 0, 1010, 0.7
UCT MCTS, 46, 16, 16, Radio, 100, 0, 0, 1111, 0.5743
UCT MCTS, 47, 15, 15, Calendar, 100, 0, 0, 1212, 0.5906
UCT MCTS, 48, 14, 14, MediaManagement, 100, 0, 0, 1313, 0.5768
UCT MCTS, 49, 16, 16, Androide, 100, 0, 0, 1414, 0.5785
UCT MCTS, 50, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9096
UCT MCTS, 51, 14, 14, ScreenSize, 100, 0, 0, 202, 0.8827
UCT MCTS, 52, 16, 16, CallManager, 100, 0, 0, 303, 0.8408
UCT MCTS, 53, 15, 15, Screen2, 100, 0, 0, 404, 0.8167
UCT MCTS, 54, 12, 12, MediaSelection, 100, 0, 0, 505, 0.8462
UCT MCTS, 55, 14, 14, Photo, 100, 0, 0, 606, 0.7928
UCT MCTS, 56, 13, 13, TVDigital, 100, 0, 0, 707, 0.7755
UCT MCTS, 57, 12, 12, OS, 100, 0, 0, 808, 0.7757
UCT MCTS, 58, 15, 15, Calendar, 100, 0, 0, 909, 0.7138
UCT MCTS, 59, 14, 14, Radio, 100, 0, 0, 1010, 0.7045
UCT MCTS, 60, 13, 13, Speakerphone, 100, 0, 0, 1111, 0.6784
UCT MCTS, 61, 12, 12, Video, 100, 0, 0, 1212, 0.7106
UCT MCTS, 62, 11, 11, Language, 100, 0, 0, 1313, 0.745
UCT MCTS, 63, 13, 13, English, 100, 0, 0, 1414, 0.6583
UCT MCTS, 64, 12, 12, WindowsMobile, 100, 0, 0, 1515, 0.6102
UCT MCTS, 65, 8, 8, MediaManagement, 100, 0, 0, 1616, 0.6851
UCT MCTS, 66, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9188
UCT MCTS, 67, 14, 14, TouchScreen, 100, 0, 0, 202, 0.8992
UCT MCTS, 68, 13, 13, MediaSelection, 100, 0, 0, 303, 0.8182
UCT MCTS, 69, 15, 15, GPS, 100, 0, 0, 404, 0.8232
UCT MCTS, 70, 14, 14, Video, 100, 0, 0, 505, 0.7879
UCT MCTS, 71, 13, 13, Calendar, 100, 0, 0, 606, 0.8083
UCT MCTS, 72, 12, 12, Speakerphone, 100, 0, 0, 707, 0.7862
UCT MCTS, 73, 11, 11, Photo, 100, 0, 0, 808, 0.7618
UCT MCTS, 74, 10, 10, OS, 100, 0, 0, 909, 0.8191
UCT MCTS, 75, 13, 13, CallManager, 100, 0, 0, 1010, 0.8591
UCT MCTS, 76, 12, 12, TVDigital, 100, 0, 0, 1111, 0.8622
UCT MCTS, 77, 11, 11, Radio, 100, 0, 0, 1212, 0.8919
UCT MCTS, 78, 10, 10, Symbia, 100, 0, 0, 1313, 0.9047
UCT MCTS, 79, 6, 6, ScreenSize, 100, 0, 0, 1414, 0.9646
UCT MCTS, 80, 8, 8, Language, 100, 0, 0, 1515, 0.8681
UCT MCTS, 81, 10, 10, Screen3, 100, 0, 0, 1616, 0.7863
UCT MCTS, 82, 7, 7, MediaManagement, 100, 0, 0, 1717, 0.8367
UCT MCTS, 83, 9, 9, English, 100, 0, 0, 1818, 0.7676
UCT MCTS, 84, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.8754
UCT MCTS, 85, 14, 14, ResolutionCamera, 100, 0, 0, 202, 0.8892
UCT MCTS, 86, 15, 15, ScreenSize, 100, 0, 0, 303, 0.869
UCT MCTS, 87, 17, 17, MediaSelection, 100, 0, 0, 404, 0.8366
UCT MCTS, 88, 19, 19, Screen1, 100, 0, 0, 505, 0.8515
UCT MCTS, 89, 16, 16, Radio, 100, 0, 0, 606, 0.8032
UCT MCTS, 90, 15, 15, Video, 100, 0, 0, 707, 0.7867
UCT MCTS, 91, 14, 14, Language, 100, 0, 0, 808, 0.7702
UCT MCTS, 92, 16, 16, Resolution3MP, 100, 0, 0, 909, 0.7617
UCT MCTS, 93, 14, 14, OS, 100, 0, 0, 1010, 0.7301
UCT MCTS, 94, 17, 17, GPS, 100, 0, 0, 1111, 0.7112
UCT MCTS, 95, 16, 16, Photo, 100, 0, 0, 1212, 0.7103
UCT MCTS, 96, 15, 15, Speakerphone, 100, 0, 0, 1313, 0.6869
UCT MCTS, 97, 14, 14, WindowsMobile, 100, 0, 0, 1414, 0.7482
UCT MCTS, 98, 10, 10, CallManager, 100, 0, 0, 1515, 0.7661
UCT MCTS, 99, 9, 9, Calendar, 100, 0, 0, 1616, 0.6823
UCT MCTS, 100, 8, 8, MediaManagement, 100, 0, 0, 1717, 0.6679
UCT MCTS, 101, 10, 10, English, 100, 0, 0, 1818, 0.6262
UCT MCTS, 102, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9322
UCT MCTS, 103, 14, 14, ScreenSize, 100, 0, 0, 202, 0.8325
UCT MCTS, 104, 16, 16, TVDigital, 100, 0, 0, 303, 0.8519
UCT MCTS, 105, 15, 15, Calendar, 100, 0, 0, 404, 0.8299
UCT MCTS, 106, 14, 14, MediaSelection, 100, 0, 0, 505, 0.8271
UCT MCTS, 107, 16, 16, Photo, 100, 0, 0, 606, 0.801
UCT MCTS, 108, 15, 15, Speakerphone, 100, 0, 0, 707, 0.7801
UCT MCTS, 109, 14, 14, Video, 100, 0, 0, 808, 0.7751
UCT MCTS, 110, 13, 13, Music, 100, 0, 0, 909, 0.7602
UCT MCTS, 111, 13, 13, CallManager, 100, 0, 0, 1010, 0.7105
UCT MCTS, 112, 12, 12, MusicPlayer, 100, 0, 0, 1111, 0.7361
UCT MCTS, 113, 11, 11, Radio, 100, 0, 0, 1212, 0.7986
UCT MCTS, 114, 10, 10, Screen1, 100, 0, 0, 1313, 0.8435
UCT MCTS, 115, 7, 7, Language, 100, 0, 0, 1414, 0.75
UCT MCTS, 116, 9, 9, OS, 100, 0, 0, 1515, 0.6962
UCT MCTS, 117, 12, 12, WindowsMobile, 100, 0, 0, 1616, 0.638
UCT MCTS, 118, 8, 8, English, 100, 0, 0, 1717, 0.6496
UCT MCTS, 119, 7, 7, TouchScreen, 100, 0, 0, 1818, 0.682
UCT MCTS, 120, 6, 6, MediaManagement, 100, 0, 0, 1919, 0.6837
UCT MCTS, 121, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.8995
UCT MCTS, 122, 14, 14, MediaSelection, 100, 0, 0, 202, 0.9071
UCT MCTS, 123, 16, 16, ScreenSize, 100, 0, 0, 303, 0.9286
UCT MCTS, 124, 18, 18, Video, 100, 0, 0, 404, 0.8821
UCT MCTS, 125, 17, 17, OS, 100, 0, 0, 505, 0.8517
UCT MCTS, 126, 20, 20, Speakerphone, 100, 0, 0, 606, 0.8459
UCT MCTS, 127, 19, 19, Photo, 100, 0, 0, 707, 0.8086
UCT MCTS, 128, 18, 18, Language, 100, 0, 0, 808, 0.804
UCT MCTS, 129, 20, 20, Screen2, 100, 0, 0, 909, 0.7996
UCT MCTS, 130, 17, 17, Radio, 100, 0, 0, 1010, 0.7234
UCT MCTS, 131, 16, 16, English, 100, 0, 0, 1111, 0.6865
UCT MCTS, 132, 15, 15, Calendar, 100, 0, 0, 1212, 0.6322
UCT MCTS, 133, 14, 14, TVDigital, 100, 0, 0, 1313, 0.6803
UCT MCTS, 134, 13, 13, CallManager, 100, 0, 0, 1414, 0.6647
UCT MCTS, 135, 12, 12, MediaManagement, 100, 0, 0, 1515, 0.6657
UCT MCTS, 136, 14, 14, SMSTransfer, 100, 0, 0, 1616, 0.6057
UCT MCTS, 137, 15, 15, iOS, 100, 0, 0, 1717, 0.5753
UCT MCTS, 138, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9147
UCT MCTS, 139, 14, 14, Language, 100, 0, 0, 202, 0.8755
UCT MCTS, 140, 16, 16, Calendar, 100, 0, 0, 303, 0.8756
UCT MCTS, 141, 15, 15, ScreenSize, 100, 0, 0, 404, 0.8733
UCT MCTS, 142, 17, 17, TouchScreen, 100, 0, 0, 505, 0.8404
UCT MCTS, 143, 16, 16, Speakerphone, 100, 0, 0, 606, 0.8763
UCT MCTS, 144, 15, 15, CallManager, 100, 0, 0, 707, 0.7882
UCT MCTS, 145, 14, 14, Radio, 100, 0, 0, 808, 0.7003
UCT MCTS, 146, 13, 13, MediaSelection, 100, 0, 0, 909, 0.7014
UCT MCTS, 147, 15, 15, Music, 100, 0, 0, 1010, 0.6992
UCT MCTS, 148, 15, 15, MusicPlayer, 100, 0, 0, 1111, 0.7285
UCT MCTS, 149, 14, 14, OS, 100, 0, 0, 1212, 0.6866
UCT MCTS, 150, 17, 17, Screen2, 100, 0, 0, 1313, 0.6976
UCT MCTS, 151, 14, 14, MediaManagement, 100, 0, 0, 1414, 0.7078
UCT MCTS, 152, 16, 16, Portuguese, 100, 0, 0, 1515, 0.639
UCT MCTS, 153, 15, 15, iOS, 100, 0, 0, 1616, 0.6046
UCT MCTS, 154, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.8765
UCT MCTS, 155, 14, 14, OS, 100, 0, 0, 202, 0.8813
UCT MCTS, 156, 17, 17, Symbia, 100, 0, 0, 303, 0.8616
UCT MCTS, 157, 13, 13, MediaSelection, 100, 0, 0, 404, 0.8566
UCT MCTS, 158, 15, 15, ScreenSize, 100, 0, 0, 505, 0.8534
UCT MCTS, 159, 17, 17, Language, 100, 0, 0, 606, 0.8334
UCT MCTS, 160, 19, 19, Photo, 100, 0, 0, 707, 0.8342
UCT MCTS, 161, 18, 18, Speakerphone, 100, 0, 0, 808, 0.7753
UCT MCTS, 162, 17, 17, Portuguese, 100, 0, 0, 909, 0.7648
UCT MCTS, 163, 16, 16, CallManager, 100, 0, 0, 1010, 0.7464
UCT MCTS, 164, 15, 15, Screen3, 100, 0, 0, 1111, 0.7165
UCT MCTS, 165, 12, 12, ResolutionCamera, 100, 0, 0, 1212, 0.7053
UCT MCTS, 166, 13, 13, Music, 100, 0, 0, 1313, 0.6774
UCT MCTS, 167, 13, 13, Radio, 100, 0, 0, 1414, 0.6713
UCT MCTS, 168, 12, 12, Video, 100, 0, 0, 1515, 0.7556
UCT MCTS, 169, 11, 11, Calendar, 100, 0, 0, 1616, 0.7088
UCT MCTS, 170, 10, 10, MusicPlayer, 100, 0, 0, 1717, 0.7239
UCT MCTS, 171, 9, 9, Resolution3MP, 100, 0, 0, 1818, 0.7123
UCT MCTS, 172, 7, 7, GPS, 100, 0, 0, 1919, 0.6716
UCT MCTS, 173, 6, 6, TVDigital, 100, 0, 0, 2020, 0.6552
UCT MCTS, 174, 5, 5, Connectivity, 100, 0, 0, 2121, 0.7015
UCT MCTS, 175, 6, 6, WiFi, 100, 0, 0, 2222, 0.7312
UCT MCTS, 176, 8, 8, GoogleMaps, 100, 0, 0, 2323, 0.674
UCT MCTS, 177, 7, 7, MediaManagement, 100, 0, 0, 2424, 0.6898
UCT MCTS, 178, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9021
UCT MCTS, 179, 14, 14, Calendar, 100, 0, 0, 202, 0.833
UCT MCTS, 180, 13, 13, Radio, 100, 0, 0, 303, 0.8048
UCT MCTS, 181, 12, 12, OS, 100, 0, 0, 404, 0.7956
UCT MCTS, 182, 15, 15, Speakerphone, 100, 0, 0, 505, 0.8043
UCT MCTS, 183, 14, 14, MediaSelection, 100, 0, 0, 606, 0.8475
UCT MCTS, 184, 16, 16, Language, 100, 0, 0, 707, 0.8127
UCT MCTS, 185, 18, 18, ScreenSize, 100, 0, 0, 808, 0.7983
UCT MCTS, 186, 20, 20, Video, 100, 0, 0, 909, 0.67
UCT MCTS, 187, 19, 19, CallManager, 100, 0, 0, 1010, 0.67
UCT MCTS, 188, 18, 18, Spanish, 100, 0, 0, 1111, 0.6375
UCT MCTS, 189, 17, 17, MediaManagement, 100, 0, 0, 1212, 0.6104
UCT MCTS, 190, 19, 19, Screen1, 100, 0, 0, 1313, 0.561
UCT MCTS, 191, 16, 16, iOS, 100, 0, 0, 1414, 0.5462
UCT MCTS, 192, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9035
UCT MCTS, 193, 14, 14, ResolutionCamera, 100, 0, 0, 202, 0.9253
UCT MCTS, 194, 15, 15, MediaSelection, 100, 0, 0, 303, 0.8996
UCT MCTS, 195, 17, 17, TVDigital, 100, 0, 0, 404, 0.8888
UCT MCTS, 196, 16, 16, Video, 100, 0, 0, 505, 0.8392
UCT MCTS, 197, 15, 15, Resolution8MP, 100, 0, 0, 606, 0.8482
UCT MCTS, 198, 13, 13, OS, 100, 0, 0, 707, 0.8093
UCT MCTS, 199, 16, 16, Symbia, 100, 0, 0, 808, 0.7744
