Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 8, None, 100, 0, 0, 0, 0.3996, 0.058696
Flat Monte Carlo, 2, 8, None, 100, 0, 0, 0, 0.3902, 0.072965
Flat Monte Carlo, 3, 8, None, 100, 0, 0, 0, 0.3975, 0.083079
Flat Monte Carlo, 4, 8, None, 100, 0, 0, 0, 0.4044, 0.093571
Flat Monte Carlo, 5, 8, None, 100, 0, 0, 0, 0.393, 0.10352299999999999
Flat Monte Carlo, 6, 8, None, 100, 0, 0, 0, 0.3968, 0.115519
Flat Monte Carlo, 7, 8, None, 100, 0, 0, 0, 0.3998, 0.126695
Flat Monte Carlo, 8, 8, None, 100, 0, 0, 0, 0.4031, 0.13463899999999998
Flat Monte Carlo, 9, 8, None, 100, 0, 0, 0, 0.4082, 0.14660299999999998
Flat Monte Carlo, 10, 8, None, 100, 0, 0, 0, 0.4014, 0.15661899999999998
Flat Monte Carlo, 11, 8, None, 100, 0, 0, 0, 0.4258, 0.16458299999999998
Flat Monte Carlo, 12, 8, None, 100, 0, 0, 0, 0.3972, 0.174791
Flat Monte Carlo, 13, 8, None, 100, 0, 0, 0, 0.3905, 0.187167
Flat Monte Carlo, 14, 8, None, 100, 0, 0, 0, 0.3836, 0.197207
Flat Monte Carlo, 15, 8, None, 100, 0, 0, 0, 0.3861, 0.20715899999999998
Flat Monte Carlo, 16, 8, None, 100, 0, 0, 0, 0.3995, 0.21911899999999998
Flat Monte Carlo, 17, 8, None, 100, 0, 0, 0, 0.3977, 0.229075
Flat Monte Carlo, 18, 8, None, 100, 0, 0, 0, 0.383, 0.237087
Flat Monte Carlo, 19, 8, None, 100, 0, 0, 0, 0.4047, 0.249051
Flat Monte Carlo, 20, 8, None, 100, 0, 0, 0, 0.3921, 0.256995
Flat Monte Carlo, 21, 8, None, 100, 0, 0, 0, 0.3986, 0.268959
Flat Monte Carlo, 22, 8, None, 100, 0, 0, 0, 0.3872, 0.276899
Flat Monte Carlo, 23, 8, None, 100, 0, 0, 0, 0.3873, 0.287391
Flat Monte Carlo, 24, 8, None, 100, 0, 0, 0, 0.3888, 0.29734299999999997
Flat Monte Carlo, 25, 8, None, 100, 0, 0, 0, 0.3984, 0.313919
Flat Monte Carlo, 26, 8, None, 100, 0, 0, 0, 0.4005, 0.32192699999999996
Flat Monte Carlo, 27, 8, None, 100, 0, 0, 0, 0.4004, 0.333891
Flat Monte Carlo, 28, 8, None, 100, 0, 0, 0, 0.3893, 0.343807
Flat Monte Carlo, 29, 8, None, 100, 0, 0, 0, 0.391, 0.35179099999999996
Flat Monte Carlo, 30, 8, None, 100, 0, 0, 0, 0.3917, 0.361743
