Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, Pizza, 100, 0, 0, 66, 0.0869
Greedy MCTS, 2, 4, 4, Dough, 100, 0, 0, 81, 0.0709
Greedy MCTS, 3, 5, 5, Neapolitan, 100, 0, 0, 94, 0.0676
Greedy MCTS, 4, 3, 3, Topping, 100, 0, 0, 94, 0.055
Greedy MCTS, 5, 5, 5, Size, 100, 0, 0, 94, 0.0549
Greedy MCTS, 6, 6, 6, Normal, 100, 0, 0, 94, 0.0451
Greedy MCTS, 7, 3, 3, Mozzarella, 100, 0, 0, 94, 0.0326
Greedy MCTS, 8, 1, 1, Pizza, 100, 0, 0, 92, 0.0877
Greedy MCTS, 9, 4, 4, Size, 100, 0, 0, 144, 0.1001
Greedy MCTS, 10, 5, 5, CheesyCrust, 100, 0, 0, 151, 0.0869
Greedy MCTS, 11, 3, 3, Dough, 100, 0, 0, 166, 0.0967
Greedy MCTS, 12, 4, 4, Topping, 100, 0, 0, 166, 0.0858
Greedy MCTS, 13, 6, 6, Neapolitan, 100, 0, 0, 166, 0.0741
Greedy MCTS, 14, 4, 4, Big, 100, 0, 0, 166, 0.0592
Greedy MCTS, 15, 3, 3, Salami, 100, 0, 0, 166, 0.0465
Greedy MCTS, 16, 1, 1, Pizza, 100, 0, 0, 91, 0.0887
Greedy MCTS, 17, 4, 4, Dough, 100, 0, 0, 133, 0.1006
Greedy MCTS, 18, 5, 5, Size, 100, 0, 0, 146, 0.0874
Greedy MCTS, 19, 6, 6, Normal, 100, 0, 0, 147, 0.0728
Greedy MCTS, 20, 3, 3, Neapolitan, 100, 0, 0, 147, 0.061
Greedy MCTS, 21, 1, 1, Topping, 100, 0, 0, 147, 0.0493
Greedy MCTS, 22, 3, 3, Mozzarella, 100, 0, 0, 147, 0.0402
Greedy MCTS, 23, 1, 1, Pizza, 100, 0, 0, 87, 0.0859
Greedy MCTS, 24, 4, 4, Size, 100, 0, 0, 120, 0.0874
Greedy MCTS, 25, 5, 5, Normal, 100, 0, 0, 136, 0.0831
Greedy MCTS, 26, 2, 2, Dough, 100, 0, 0, 136, 0.0679
Greedy MCTS, 27, 3, 3, Neapolitan, 100, 0, 0, 136, 0.0583
Greedy MCTS, 28, 1, 1, Topping, 100, 0, 0, 136, 0.0468
Greedy MCTS, 29, 3, 3, Salami, 100, 0, 0, 136, 0.0383
Greedy MCTS, 30, 1, 1, Pizza, 100, 0, 0, 87, 0.0881
Greedy MCTS, 31, 4, 4, Size, 100, 0, 0, 121, 0.0894
Greedy MCTS, 32, 5, 5, Normal, 100, 0, 0, 130, 0.0801
Greedy MCTS, 33, 2, 2, Dough, 100, 0, 0, 130, 0.0667
Greedy MCTS, 34, 3, 3, Neapolitan, 100, 0, 0, 130, 0.0567
Greedy MCTS, 35, 1, 1, Topping, 100, 0, 0, 130, 0.0457
Greedy MCTS, 36, 3, 3, Salami, 100, 0, 0, 130, 0.0382
Greedy MCTS, 37, 1, 1, Pizza, 100, 0, 0, 92, 0.0846
Greedy MCTS, 38, 4, 4, Size, 100, 0, 0, 136, 0.0975
Greedy MCTS, 39, 5, 5, Dough, 100, 0, 0, 140, 0.0814
Greedy MCTS, 40, 6, 6, Normal, 100, 0, 0, 144, 0.0719
Greedy MCTS, 41, 3, 3, Topping, 100, 0, 0, 144, 0.0601
Greedy MCTS, 42, 5, 5, Neapolitan, 100, 0, 0, 144, 0.053
Greedy MCTS, 43, 3, 3, Salami, 100, 0, 0, 144, 0.041
Greedy MCTS, 44, 1, 1, Pizza, 100, 0, 0, 83, 0.0891
Greedy MCTS, 45, 4, 4, Dough, 100, 0, 0, 112, 0.0817
