Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 8, None, 100, 0, 0, 150, 0.492, 0.79503
UCT MCTS, 2, 8, None, 100, 0, 0, 151, 0.4737, 0.8279139999999999
UCT MCTS, 3, 8, None, 100, 0, 0, 173, 0.5192, 0.922854
UCT MCTS, 4, 8, None, 100, 0, 0, 172, 0.5297, 0.922936
UCT MCTS, 5, 8, None, 100, 0, 0, 165, 0.5052, 0.918924
UCT MCTS, 6, 8, None, 100, 0, 0, 166, 0.5062, 0.91335
UCT MCTS, 7, 8, None, 100, 0, 0, 183, 0.5414, 1.008856
UCT MCTS, 8, 8, None, 100, 0, 0, 158, 0.5034, 1.008938
UCT MCTS, 9, 8, None, 100, 0, 0, 170, 0.5137, 0.9667359999999999
UCT MCTS, 10, 8, None, 100, 0, 0, 178, 0.5425, 1.037831
UCT MCTS, 11, 8, None, 100, 0, 0, 165, 0.5092, 1.037914
UCT MCTS, 12, 8, None, 100, 0, 0, 169, 0.5141, 0.9827349999999999
UCT MCTS, 13, 8, None, 100, 0, 0, 155, 0.4832, 0.9828279999999999
UCT MCTS, 14, 8, None, 100, 0, 0, 171, 0.5198, 1.022719
UCT MCTS, 15, 8, None, 100, 0, 0, 170, 0.5258, 1.021474
UCT MCTS, 16, 8, None, 100, 0, 0, 177, 0.5354, 1.080339
UCT MCTS, 17, 8, None, 100, 0, 0, 170, 0.5247, 1.080358
UCT MCTS, 18, 8, None, 100, 0, 0, 162, 0.5121, 1.052822
UCT MCTS, 19, 8, None, 100, 0, 0, 156, 0.4907, 1.026394
UCT MCTS, 20, 8, None, 100, 0, 0, 169, 0.5131, 1.062695
UCT MCTS, 21, 8, None, 100, 0, 0, 173, 0.5198, 1.113719
UCT MCTS, 22, 8, None, 100, 0, 0, 165, 0.5166, 1.113802
UCT MCTS, 23, 8, None, 100, 0, 0, 187, 0.5515, 1.188385
UCT MCTS, 24, 8, None, 100, 0, 0, 159, 0.4974, 1.1884679999999999
UCT MCTS, 25, 8, None, 100, 0, 0, 157, 0.4928, 1.0833089999999999
UCT MCTS, 26, 8, None, 100, 0, 0, 166, 0.521, 1.115025
UCT MCTS, 27, 8, None, 100, 0, 0, 160, 0.5118, 1.1216409999999999
UCT MCTS, 28, 8, None, 100, 0, 0, 152, 0.5058, 1.121734
UCT MCTS, 29, 8, None, 100, 0, 0, 182, 0.5526, 1.2159689999999999
UCT MCTS, 30, 8, None, 100, 0, 0, 156, 0.5015, 1.216062
Greedy MCTS, 31, 8, None, 100, 0, 0, 94, 0.4147, 1.280633
Greedy MCTS, 32, 9, None, 100, 0, 0, 166, 0.6399, 1.5349249999999999
Greedy MCTS, 33, 8, None, 100, 0, 0, 147, 0.5024, 1.535534
Greedy MCTS, 34, 8, None, 100, 0, 0, 136, 0.4699, 1.492926
Greedy MCTS, 35, 8, None, 100, 0, 0, 130, 0.4672, 1.4622979999999999
Greedy MCTS, 36, 8, None, 100, 0, 0, 144, 0.4921, 1.492975
Greedy MCTS, 37, 8, None, 100, 0, 0, 120, 0.4416, 1.493974
Greedy MCTS, 38, 8, None, 100, 0, 0, 119, 0.4219, 1.4366489999999998
Greedy MCTS, 39, 8, None, 100, 0, 0, 139, 0.4717, 1.552389
Greedy MCTS, 40, 8, None, 100, 0, 0, 64, 0.3444, 1.553097
Greedy MCTS, 41, 8, None, 100, 0, 0, 96, 0.4005, 1.402072
Greedy MCTS, 42, 8, None, 100, 0, 0, 133, 0.4655, 1.542892
Greedy MCTS, 43, 8, None, 100, 0, 0, 121, 0.4408, 1.54342
Greedy MCTS, 44, 8, None, 100, 0, 0, 144, 0.5136, 1.624812
Greedy MCTS, 45, 8, None, 100, 0, 0, 142, 0.5213, 1.6412559999999998
Greedy MCTS, 46, 8, None, 100, 0, 0, 141, 0.492, 1.642004
Greedy MCTS, 47, 8, None, 100, 0, 0, 148, 0.4955, 1.680496
Greedy MCTS, 48, 8, None, 100, 0, 0, 143, 0.4893, 1.6810239999999999
Greedy MCTS, 49, 8, None, 100, 0, 0, 128, 0.4615, 1.6728619999999998
Greedy MCTS, 50, 8, None, 100, 0, 0, 101, 0.3697, 1.629192
Greedy MCTS, 51, 8, None, 100, 0, 0, 121, 0.4489, 1.623804
Greedy MCTS, 52, 8, None, 100, 0, 0, 104, 0.4001, 1.624321
Greedy MCTS, 53, 8, None, 100, 0, 0, 114, 0.4464, 1.6334119999999999
Greedy MCTS, 54, 8, None, 100, 0, 0, 164, 0.57, 1.8616119999999998
Greedy MCTS, 55, 8, None, 100, 0, 0, 101, 0.398, 1.8621299999999998
Greedy MCTS, 56, 8, None, 100, 0, 0, 142, 0.5035, 1.805732
Greedy MCTS, 57, 8, None, 100, 0, 0, 154, 0.4978, 1.847232
Greedy MCTS, 58, 8, None, 100, 0, 0, 144, 0.4936, 1.8477599999999998
Greedy MCTS, 59, 8, None, 100, 0, 0, 140, 0.4956, 1.833928
Greedy MCTS, 60, 8, None, 100, 0, 0, 121, 0.4521, 1.832562
