Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, GPL, 100, 0, 0, 101, 0.1719
Greedy MCTS, 2, 5, 5, Driver, 100, 0, 0, 202, 0.195
Greedy MCTS, 3, 5, 5, GraphType, 100, 0, 0, 303, 0.2294
Greedy MCTS, 4, 6, 6, Weight, 100, 0, 0, 404, 0.3016
Greedy MCTS, 5, 5, 5, Directed, 100, 0, 0, 504, 0.298
Greedy MCTS, 6, 4, 4, Search, 100, 0, 0, 586, 0.3717
Greedy MCTS, 7, 5, 5, Undirected, 100, 0, 0, 664, 0.3502
Greedy MCTS, 8, 4, 4, Algorithms, 100, 0, 0, 733, 0.366
Greedy MCTS, 9, 10, 10, Benchmark, 100, 0, 0, 792, 0.3819
Greedy MCTS, 10, 9, 9, Kruskal, 100, 0, 0, 807, 0.4177
Greedy MCTS, 11, 1, 1, GPL, 100, 0, 0, 101, 0.1442
Greedy MCTS, 12, 5, 5, Driver, 100, 0, 0, 202, 0.1809
Greedy MCTS, 13, 5, 5, Benchmark, 100, 0, 0, 303, 0.2634
Greedy MCTS, 14, 4, 4, Weight, 100, 0, 0, 404, 0.2556
Greedy MCTS, 15, 3, 3, GraphType, 100, 0, 0, 505, 0.296
Greedy MCTS, 16, 4, 4, Search, 100, 0, 0, 604, 0.3265
Greedy MCTS, 17, 5, 5, Algorithms, 100, 0, 0, 693, 0.345
Greedy MCTS, 18, 11, 11, Num, 100, 0, 0, 778, 0.3519
Greedy MCTS, 19, 1, 1, GPL, 100, 0, 0, 101, 0.1628
Greedy MCTS, 20, 5, 5, GraphType, 100, 0, 0, 202, 0.1817
Greedy MCTS, 21, 6, 6, Weight, 100, 0, 0, 303, 0.2518
Greedy MCTS, 22, 5, 5, Driver, 100, 0, 0, 404, 0.2928
Greedy MCTS, 23, 5, 5, Search, 100, 0, 0, 502, 0.3032
